Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,60,85,76,83,89,93,98,112,120,127,,
Quarterly Results,Expenses,42,54,50,57,56,61,65,72,78,81,,
Quarterly Results,Operating Profit,17,30,26,26,33,31,33,40,43,46,,
Quarterly Results,OPM %,29%,36%,35%,32%,37%,34%,34%,36%,36%,36%,,
Quarterly Results,Other Income,3,5,0,11,18,3,1,2,5,3,,
Quarterly Results,Interest,13,11,10,12,19,6,3,5,6,4,,
Quarterly Results,Depreciation,4,4,5,5,5,5,6,7,7,9,,
Quarterly Results,Profit before tax,3,20,11,20,27,23,24,30,34,36,,
Quarterly Results,Tax %,-31%,26%,35%,3%,37%,34%,30%,30%,30%,31%,,
Quarterly Results,Net Profit,4,15,7,19,17,15,17,21,24,25,,
Quarterly Results,EPS in Rs,23.31,89.78,44.80,3.92,2.84,2.53,2.90,3.55,4.05,3.91,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,252,,,,341,,,,457,123,194
Profit & Loss,Expenses,,179,,,,224,,,,296,95,132
Profit & Loss,Operating Profit,,72,,,,117,,,,161,28,62
Profit & Loss,OPM %,,29%,,,,34%,,,,35%,23%,32%
Profit & Loss,Other Income,,10,,,,32,,,,11,2,5
Profit & Loss,Interest,,52,,,,47,,,,18,5,14
Profit & Loss,Depreciation,,17,,,,21,,,,29,9,13
Profit & Loss,Profit before tax,,13,,,,81,,,,124,16,40
Profit & Loss,Tax %,,36%,,,,27%,,,,30%,29%,27%
Profit & Loss,Net Profit,,8,,,,59,,,,87,12,29
Profit & Loss,EPS in Rs,,51.28,,,,9.91,,,,13.52,76.00,194.69
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,2,,,,12,,,,13,2,2
Balance Sheet,Reserves,,202,,,,633,,,,1381,89,118
Balance Sheet,Borrowings,,301,,,,39,,,,263,88,197
Balance Sheet,Other Liabilities,,85,,,,113,,,,204,77,87
Balance Sheet,Total Liabilities,,589,,,,797,,,,1861,256,404
Balance Sheet,Fixed Assets,,217,,,,257,,,,436,121,144
Balance Sheet,CWIP,,38,,,,45,,,,80,0,24
Balance Sheet,Investments,,0,,,,0,,,,0,0,0
Balance Sheet,Other Assets,,335,,,,494,,,,1345,135,236
Balance Sheet,Total Assets,,589,,,,797,,,,1861,256,404
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-10,,,,-7,,,,54,5,21
Cash Flows,Cash from Investing Activity,,-101,,,,-55,,,,-918,-35,-114
Cash Flows,Cash from Financing Activity,,126,,,,71,,,,877,24,96
Cash Flows,Net Cash Flow,,15,,,,9,,,,13,-6,3
,,,,,,,,,,,,,
Ratios,Debtor Days,,172,,,,182,,,,178,156,140
Ratios,Inventory Days,,1042,,,,1055,,,,1085,906,1009
Ratios,Days Payable,,599,,,,396,,,,459,986,748
Ratios,Cash Conversion Cycle,,615,,,,840,,,,804,77,401
Ratios,Working Capital Days,,236,,,,294,,,,275,126,144
Ratios,ROCE %,,16%,,,,20%,,,,12%,,22%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,65.90%,65.90%,65.90%,65.90%,65.90%,60.32%,,
Shareholding Pattern (Quarterly),FIIs,,,,,4.68%,6.98%,9.69%,9.74%,9.98%,14.23%,,
Shareholding Pattern (Quarterly),DIIs,,,,,5.71%,5.00%,3.44%,5.74%,6.57%,8.23%,,
Shareholding Pattern (Quarterly),Public,,,,,23.70%,22.13%,20.98%,18.61%,17.56%,17.21%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,135090,106231,102445,128846,117613,124539,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,65.90%,,,,60.32%,,
Shareholding Pattern (Yearly),FIIs,,,,,,6.98%,,,,14.23%,,
Shareholding Pattern (Yearly),DIIs,,,,,,5.00%,,,,8.23%,,
Shareholding Pattern (Yearly),Public,,,,,,22.13%,,,,17.21%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,106231,,,,124539,,
,,,,,,,,,,,,,
