Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1671,1610,1538,1571,1569,1613,1666,1786,1847,1964,,,,,,,,
Quarterly Results,Expenses,1415,1221,1017,1092,1120,1218,1229,1373,1523,1570,,,,,,,,
Quarterly Results,Operating Profit,256,390,521,479,449,395,437,413,325,394,,,,,,,,
Quarterly Results,OPM %,15%,24%,34%,30%,29%,24%,26%,23%,18%,20%,,,,,,,,
Quarterly Results,Other Income,32,34,39,44,48,44,36,47,42,42,,,,,,,,
Quarterly Results,Interest,2,2,3,2,3,6,3,3,3,4,,,,,,,,
Quarterly Results,Depreciation,59,64,62,66,68,81,83,85,91,93,,,,,,,,
Quarterly Results,Profit before tax,227,357,496,454,426,352,386,372,272,339,,,,,,,,
Quarterly Results,Tax %,24%,25%,26%,25%,26%,26%,25%,24%,19%,27%,,,,,,,,
Quarterly Results,Net Profit,172,269,368,338,317,261,289,284,221,247,,,,,,,,
Quarterly Results,EPS in Rs,17.42,27.21,37.30,34.27,32.11,26.38,29.24,28.70,22.40,25.01,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,6299,,,,6290,,,,7264,,,,,,,,
Profit & Loss,Expenses,,5115,,,,4446,,,,5695,,,,,,,,
Profit & Loss,Operating Profit,,1184,,,,1844,,,,1569,,,,,,,,
Profit & Loss,OPM %,,19%,,,,29%,,,,22%,,,,,,,,
Profit & Loss,Other Income,,112,,,,175,,,,167,,,,,,,,
Profit & Loss,Interest,,9,,,,13,,,,14,,,,,,,,
Profit & Loss,Depreciation,,231,,,,284,,,,352,,,,,,,,
Profit & Loss,Profit before tax,,1056,,,,1722,,,,1370,,,,,,,,
Profit & Loss,Tax %,,25%,,,,26%,,,,24%,,,,,,,,
Profit & Loss,Net Profit,,790,,,,1276,,,,1040,,,,,,,,
Profit & Loss,EPS in Rs,,79.98,,,,129.22,,,,105.34,,,,,,,,
Profit & Loss,Dividend Payout %,,20%,,,,23%,,,,28%,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,99,,,,99,,,,99,,,,,,,,
Balance Sheet,Reserves,,4035,,,,5031,,,,5781,,,,,,,,
Balance Sheet,Borrowings,,115,,,,141,,,,201,,,,,,,,
Balance Sheet,Other Liabilities,,1783,,,,2110,,,,2189,,,,,,,,
Balance Sheet,Total Liabilities,,6032,,,,7381,,,,8270,,,,,,,,
Balance Sheet,Fixed Assets,,3026,,,,4366,,,,4854,,,,,,,,
Balance Sheet,CWIP,,709,,,,823,,,,1068,,,,,,,,
Balance Sheet,Investments,,1310,,,,1069,,,,1162,,,,,,,,
Balance Sheet,Other Assets,,988,,,,1123,,,,1186,,,,,,,,
Balance Sheet,Total Assets,,6032,,,,7381,,,,8270,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,969,,,,1568,,,,1406,,,,,,,,
Cash Flows,Cash from Investing Activity,,-649,,,,-1057,,,,-1052,,,,,,,,
Cash Flows,Cash from Financing Activity,,-285,,,,-499,,,,-332,,,,,,,,
Cash Flows,Net Cash Flow,,35,,,,11,,,,22,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,17,,,,17,,,,18,,,,,,,,
Ratios,Inventory Days,,3,,,,4,,,,4,,,,,,,,
Ratios,Days Payable,,26,,,,35,,,,34,,,,,,,,
Ratios,Cash Conversion Cycle,,-7,,,,-13,,,,-11,,,,,,,,
Ratios,Working Capital Days,,-62,,,,-70,,,,-11,,,,,,,,
Ratios,ROCE %,,,,,,36%,,,,24%,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,,,,,,
Shareholding Pattern (Quarterly),FIIs,29.73%,30.95%,32.38%,30.51%,30.85%,30.54%,31.49%,34.20%,25.75%,23.76%,25.81%,28.37%,,,,,,
Shareholding Pattern (Quarterly),DIIs,15.61%,14.93%,15.15%,16.10%,17.23%,17.40%,16.67%,15.46%,21.10%,23.82%,16.06%,15.58%,,,,,,
Shareholding Pattern (Quarterly),Government,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,,,,,,
Shareholding Pattern (Quarterly),Public,12.15%,11.60%,9.96%,10.89%,9.43%,9.55%,9.32%,7.84%,10.64%,9.92%,15.63%,13.56%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,181222,167717,154383,153582,141617,149718,147540,142738,173905,167650,214250,199724,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,32.50%,,,,32.50%,,,,32.50%,,,65.00%,65.00%,42.50%,32.50%,32.50%,32.50%
Shareholding Pattern (Yearly),FIIs,,30.95%,,,,30.54%,,,,23.76%,,,9.80%,9.68%,24.36%,31.28%,31.11%,24.98%
Shareholding Pattern (Yearly),DIIs,,14.93%,,,,17.40%,,,,23.82%,,,8.04%,5.56%,12.86%,17.03%,17.17%,17.34%
Shareholding Pattern (Yearly),Government,,10.00%,,,,10.00%,,,,10.00%,,,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%
Shareholding Pattern (Yearly),Public,,11.60%,,,,9.55%,,,,9.92%,,,7.16%,9.76%,10.28%,9.19%,9.22%,15.18%
Shareholding Pattern (Yearly),No. of Shareholders,,167717,,,,149718,,,,167650,,,86278,108221,117880,120271,148404,218221
,,,,,,,,,,,,,,,,,,,
