Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,11,68,42,94,135,63,30,9,9,8,4,9,12,,
Quarterly Results,Expenses,282,13,19,80,97,22,39,4,14,23,29,21,95,,
Quarterly Results,Operating Profit,-271,55,23,14,38,41,-9,6,-4,-15,-24,-11,-84,,
Quarterly Results,OPM %,-2366%,80%,55%,15%,28%,65%,-32%,60%,-43%,-178%,-566%,-120%,-708%,,
Quarterly Results,Other Income,31,3,17,15,1,2,5,2,1,1,1,2,2,,
Quarterly Results,Interest,40,37,27,24,29,34,12,35,42,13,49,19,25,,
Quarterly Results,Depreciation,3,2,2,1,2,1,2,2,2,2,3,2,2,,
Quarterly Results,Profit before tax,-283,18,10,4,8,7,-18,-28,-47,-28,-76,-31,-109,,
Quarterly Results,Tax %,-14%,49%,21%,67%,82%,5%,-106%,18%,10%,11%,-11%,-8%,-4%,,
Quarterly Results,Net Profit,-243,9,8,1,2,7,1,-33,-52,-31,-67,-29,-105,,
Quarterly Results,EPS in Rs,-8.23,0.32,0.28,0.04,0.05,0.24,0.04,-1.13,-1.75,-1.04,-2.28,-0.97,-3.54,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,251,,,,369,,,,111,,,,34,137,191
Profit & Loss,Expenses,435,,,,205,,,,63,,,,167,112,191
Profit & Loss,Operating Profit,-184,,,,164,,,,48,,,,-133,25,-0
Profit & Loss,OPM %,-74%,,,,44%,,,,43%,,,,-395%,19%,-0%
Profit & Loss,Other Income,50,,,,2,,,,9,,,,5,72,30
Profit & Loss,Interest,86,,,,117,,,,136,,,,106,25,21
Profit & Loss,Depreciation,9,,,,7,,,,6,,,,9,8,8
Profit & Loss,Profit before tax,-229,,,,41,,,,-86,,,,-243,65,1
Profit & Loss,Tax %,1%,,,,50%,,,,-10%,,,,-5%,18%,-563%
Profit & Loss,Net Profit,-233,,,,20,,,,-77,,,,-231,53,6
Profit & Loss,EPS in Rs,-7.89,,,,0.69,,,,-2.61,,,,-7.84,,0.21
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,59,,,,59,,,,59,,,,59,59,59
Balance Sheet,Reserves,1273,,,,1293,,,,1216,,,,984,1499,1505
Balance Sheet,Borrowings,1179,,,,1386,,,,1393,,,,1954,1298,1321
Balance Sheet,Other Liabilities,468,,,,428,,,,796,,,,1219,471,521
Balance Sheet,Total Liabilities,2979,,,,3166,,,,3463,,,,4216,3327,3407
Balance Sheet,Fixed Assets,1053,,,,1066,,,,1107,,,,1215,1564,1662
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,73,0
Balance Sheet,Investments,68,,,,68,,,,68,,,,68,138,138
Balance Sheet,Other Assets,1858,,,,2032,,,,2289,,,,2933,1552,1607
Balance Sheet,Total Assets,2979,,,,3166,,,,3463,,,,4216,3327,3407
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-81,,,,-81,,,,158,,,,43,116,144
Cash Flows,Cash from Investing Activity,367,,,,75,,,,-39,,,,-68,17,23
Cash Flows,Cash from Financing Activity,-279,,,,96,,,,-166,,,,14,-143,-161
Cash Flows,Net Cash Flow,7,,,,89,,,,-47,,,,-11,-9,6
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,7,,,,9,,,,20,,,,107,8,32
Ratios,Inventory Days,,,,,,,,,,,,,16427,,
Ratios,Days Payable,,,,,,,,,,,,,517,,
Ratios,Cash Conversion Cycle,7,,,,9,,,,20,,,,16017,8,32
Ratios,Working Capital Days,1193,,,,1007,,,,2572,,,,10883,483,839
Ratios,ROCE %,-5%,,,,6%,,,,2%,,,,-5%,,1%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.57%,65.92%,65.92%,64.96%,64.96%,64.96%,64.96%,64.96%,64.96%,64.96%,64.96%,65.12%,,
Shareholding Pattern (Quarterly),FIIs,,2.35%,1.40%,1.57%,1.37%,2.15%,1.85%,1.92%,2.40%,2.89%,2.72%,2.35%,2.46%,,
Shareholding Pattern (Quarterly),DIIs,,0.27%,0.27%,0.02%,0.02%,0.36%,0.42%,0.89%,1.29%,1.95%,3.31%,4.34%,4.89%,,
Shareholding Pattern (Quarterly),Public,,31.82%,32.41%,32.48%,33.65%,32.53%,32.77%,32.22%,31.35%,30.20%,29.01%,28.35%,27.54%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,65489,64694,63165,61463,54043,54087,56710,61015,60052,59935,62404,62161,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.57%,,,,64.96%,,,,64.96%,,,,65.12%,,65.56%
Shareholding Pattern (Yearly),FIIs,4.62%,,,,1.37%,,,,2.40%,,,,2.46%,,5.78%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.02%,,,,1.29%,,,,4.89%,,0.02%
Shareholding Pattern (Yearly),Public,29.80%,,,,33.65%,,,,31.35%,,,,27.54%,,28.64%
Shareholding Pattern (Yearly),No. of Shareholders,60857,,,,61463,,,,61015,,,,62161,,44894
,,,,,,,,,,,,,,,,
