Section,,Mar 2022,Mar 2023,Mar 2024
Quarterly Results,Sales,,,
Quarterly Results,Expenses,,,
Quarterly Results,Operating Profit,,,
Quarterly Results,OPM %,,,
Quarterly Results,Other Income,,,
Quarterly Results,Interest,,,
Quarterly Results,Depreciation,,,
Quarterly Results,Profit before tax,,,
Quarterly Results,Tax %,,,
Quarterly Results,Net Profit,,,
Quarterly Results,EPS in Rs,,,
Quarterly Results,Raw PDF,,,
,,,,
Profit & Loss,Sales,486,551,553
Profit & Loss,Expenses,442,501,493
Profit & Loss,Operating Profit,45,49,59
Profit & Loss,OPM %,9%,9%,11%
Profit & Loss,Other Income,4,1,-2
Profit & Loss,Interest,6,11,12
Profit & Loss,Depreciation,8,8,9
Profit & Loss,Profit before tax,36,31,36
Profit & Loss,Tax %,26%,26%,21%
Profit & Loss,Net Profit,26,23,29
Profit & Loss,EPS in Rs,11.25,9.75,12.15
Profit & Loss,Dividend Payout %,0%,0%,0%
,,,,
Balance Sheet,Equity Capital,24,24,24
Balance Sheet,Reserves,157,180,209
Balance Sheet,Borrowings,102,189,155
Balance Sheet,Other Liabilities,139,121,154
Balance Sheet,Total Liabilities,421,513,541
Balance Sheet,Fixed Assets,53,65,45
Balance Sheet,CWIP,9,9,22
Balance Sheet,Investments,0,0,0
Balance Sheet,Other Assets,359,439,473
Balance Sheet,Total Assets,421,513,541
,,,,
Cash Flows,Cash from Operating Activity,-9,31,36
Cash Flows,Cash from Investing Activity,-10,0,-37
Cash Flows,Cash from Financing Activity,20,0,0
Cash Flows,Net Cash Flow,0,31,-1
,,,,
Ratios,Debtor Days,115,117,146
Ratios,Inventory Days,167,201,195
Ratios,Days Payable,111,79,109
Ratios,Cash Conversion Cycle,171,239,231
Ratios,Working Capital Days,152,205,204
Ratios,ROCE %,,12%,13%
,,,,
