Section,,Dec 2023,Mar 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023
Quarterly Results,Sales,44.94,84.23,103.98,36.61,,
Quarterly Results,Expenses,14.84,34.97,33.06,23.42,,
Quarterly Results,Operating Profit,30.10,49.26,70.92,13.19,,
Quarterly Results,OPM %,66.98%,58.48%,68.21%,36.03%,,
Quarterly Results,Other Income,0.00,0.49,0.03,0.00,,
Quarterly Results,Interest,0.30,0.32,0.37,1.46,,
Quarterly Results,Depreciation,1.63,1.66,1.28,2.61,,
Quarterly Results,Profit before tax,28.17,47.77,69.30,9.12,,
Quarterly Results,Tax %,25.13%,30.88%,25.67%,6.80%,,
Quarterly Results,Net Profit,21.09,33.02,51.51,8.50,,
Quarterly Results,EPS in Rs,,,7.29,1.20,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,181,,250,93,85
Profit & Loss,Expenses,,79,,104,60,67
Profit & Loss,Operating Profit,,102,,147,33,18
Profit & Loss,OPM %,,56%,,59%,35%,22%
Profit & Loss,Other Income,,1,,-0,1,-0
Profit & Loss,Interest,,1,,2,1,1
Profit & Loss,Depreciation,,6,,7,5,5
Profit & Loss,Profit before tax,,95,,137,28,12
Profit & Loss,Tax %,,26%,,24%,22%,27%
Profit & Loss,Net Profit,,71,,104,22,9
Profit & Loss,EPS in Rs,,,,14.68,,
Profit & Loss,Dividend Payout %,,5%,,7%,0%,16%
,,,,,,,
Balance Sheet,Equity Capital,,14,,14,,14
Balance Sheet,Reserves,,148,,250,,81
Balance Sheet,Borrowings,,5,,4,,3
Balance Sheet,Other Liabilities,,47,,133,,1103
Balance Sheet,Total Liabilities,,215,,401,,1201
Balance Sheet,Fixed Assets,,10,,94,,11
Balance Sheet,CWIP,,0,,12,,1
Balance Sheet,Investments,,4,,5,,6
Balance Sheet,Other Assets,,201,,289,,1183
Balance Sheet,Total Assets,,215,,401,,1201
,,,,,,,
Cash Flows,Cash from Operating Activity,,-595,,96,37,679
Cash Flows,Cash from Investing Activity,,658,,-72,-28,-671
Cash Flows,Cash from Financing Activity,,-4,,-10,-3,-4
Cash Flows,Net Cash Flow,,59,,14,6,4
,,,,,,,
Ratios,Debtor Days,,48,,36,,801
Ratios,Inventory Days,,,,,,
Ratios,Days Payable,,,,,,
Ratios,Cash Conversion Cycle,,48,,36,,801
Ratios,Working Capital Days,,-15,,-129,,-2908
Ratios,ROCE %,,73%,,64%,,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,40.00%,40.00%,,
Shareholding Pattern (Quarterly),FIIs,,,4.75%,3.31%,,
Shareholding Pattern (Quarterly),DIIs,,,14.82%,11.15%,,
Shareholding Pattern (Quarterly),Public,,,40.44%,45.52%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,176333,169737,,
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,40.00%,,
Shareholding Pattern (Yearly),FIIs,,,,3.31%,,
Shareholding Pattern (Yearly),DIIs,,,,11.15%,,
Shareholding Pattern (Yearly),Public,,,,45.52%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,169737,,
,,,,,,,
