Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,4364,4415,4038,4299,5100,5036,4774,5193,5401,5124,4054,4573,5532,,,,,,,,,
Quarterly Results,Expenses,3445,3614,3495,3573,4211,4091,3888,3930,3979,4197,3441,3608,4103,,,,,,,,,
Quarterly Results,Operating Profit,919,801,543,727,889,945,886,1264,1422,927,613,965,1429,,,,,,,,,
Quarterly Results,OPM %,21%,18%,13%,17%,17%,19%,19%,24%,26%,18%,15%,21%,26%,,,,,,,,,
Quarterly Results,Other Income,137,-20,159,174,146,169,132,147,150,139,181,111,158,,,,,,,,,
Quarterly Results,Interest,52,55,66,70,71,74,67,55,62,56,56,52,41,,,,,,,,,
Quarterly Results,Depreciation,297,350,396,443,473,339,412,444,702,704,716,799,788,,,,,,,,,
Quarterly Results,Profit before tax,707,376,240,388,491,700,539,913,807,306,23,225,758,,,,,,,,,
Quarterly Results,Tax %,7%,26%,24%,27%,-7%,18%,17%,23%,16%,9%,-229%,14%,24%,,,,,,,,,
Quarterly Results,Net Profit,659,279,183,282,525,572,447,702,676,278,77,194,575,,,,,,,,,
Quarterly Results,EPS in Rs,182.16,77.47,50.82,78.18,145.72,158.62,123.79,194.53,187.05,77.22,21.19,53.60,159.18,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,15010,,,,17852,,,,20521,,,,19283,5715,6259,5514,8594,9833,12555,12868,13560,
Profit & Loss,Expenses,11300,,,,14893,,,,16003,,,,15349,4325,4916,4107,6081,7360,9758,9098,9468,
Profit & Loss,Operating Profit,3710,,,,2960,,,,4518,,,,3934,1390,1344,1407,2513,2473,2797,3771,4091,
Profit & Loss,OPM %,25%,,,,17%,,,,22%,,,,20%,24%,21%,26%,29%,25%,22%,29%,30%,
Profit & Loss,Other Income,544,,,,459,,,,597,,,,589,104,102,673,362,389,69,263,426,
Profit & Loss,Interest,216,,,,263,,,,258,,,,205,129,121,76,129,135,248,291,251,
Profit & Loss,Depreciation,1146,,,,1661,,,,1897,,,,3007,550,925,828,1215,899,1472,1808,1262,
Profit & Loss,Profit before tax,2892,,,,1495,,,,2959,,,,1312,815,401,1176,1531,1827,1146,1934,3004,
Profit & Loss,Tax %,19%,,,,15%,,,,19%,,,,14%,3%,-6%,3%,13%,24%,11%,20%,24%,
Profit & Loss,Net Profit,2337,,,,1269,,,,2396,,,,1124,787,426,1143,1339,1384,1015,1544,2290,
Profit & Loss,EPS in Rs,646.31,,,,352.18,,,,663.98,,,,311.18,225.97,122.37,328.13,384.38,397.32,288.86,425.67,633.54,
Profit & Loss,Dividend Payout %,14%,,,,28%,,,,16%,,,,35%,10%,20%,7%,36%,13%,21%,26%,9%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,36,,,,36,,,,36,,,,36,35,35,,35,35,35,36,36,35
Balance Sheet,Reserves,17424,,,,18600,,,,20667,,,,21502,4676,5241,,7663,8862,9636,13133,15361,6811
Balance Sheet,Borrowings,2129,,,,2725,,,,1656,,,,1046,1200,917,,1293,3403,2803,3146,2230,881
Balance Sheet,Other Liabilities,4159,,,,4973,,,,5566,,,,5908,1418,1805,,2175,2842,3019,3629,3886,1737
Balance Sheet,Total Liabilities,23749,,,,26334,,,,27925,,,,28492,7329,7998,,11166,15142,15493,19944,21513,9463
Balance Sheet,Fixed Assets,7282,,,,7481,,,,9591,,,,9315,2194,3004,,2599,3589,6182,6163,6216,3050
Balance Sheet,CWIP,1054,,,,2797,,,,1930,,,,3796,758,511,,710,1427,1129,1197,997,264
Balance Sheet,Investments,9033,,,,8683,,,,7556,,,,7849,2244,1662,,4042,5434,2286,6358,8500,3030
Balance Sheet,Other Assets,6380,,,,7373,,,,8848,,,,7532,2132,2820,,3814,4691,5896,6227,5800,3118
Balance Sheet,Total Assets,23749,,,,26334,,,,27925,,,,28492,7329,7998,,11166,15142,15493,19944,21513,9463
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2668,,,,2569,,,,3347,,,,4920,1401,1239,,2202,1879,2080,3973,4254,1566
Cash Flows,Cash from Investing Activity,-2143,,,,-2405,,,,-1418,,,,-3728,-1234,-990,,-2048,-3595,-720,-5590,-2651,-1265
Cash Flows,Cash from Financing Activity,-849,,,,-277,,,,-1710,,,,-1296,-156,-259,,-167,1726,-1276,1581,-1233,-271
Cash Flows,Net Cash Flow,-324,,,,-113,,,,220,,,,-104,11,-10,,-13,10,84,-36,370,31
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,19,,,,25,,,,23,,,,27,19,28,,14,17,30,31,18,22
Ratios,Inventory Days,878,,,,703,,,,827,,,,444,703,708,,765,743,672,631,585,657
Ratios,Days Payable,313,,,,305,,,,282,,,,247,163,225,,205,345,193,242,301,207
Ratios,Cash Conversion Cycle,584,,,,423,,,,567,,,,223,559,511,,575,416,509,420,302,472
Ratios,Working Capital Days,17,,,,14,,,,21,,,,117,37,31,,55,55,75,25,-7,45
Ratios,ROCE %,17%,,,,9%,,,,15%,,,,7%,18%,9%,,20%,18%,13%,15%,19%,18%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,62.55%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,11.85%,12.37%,12.50%,12.82%,12.62%,12.22%,12.31%,12.47%,11.85%,10.39%,9.88%,9.70%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,11.23%,10.96%,11.79%,11.58%,11.83%,12.37%,12.37%,12.14%,12.78%,14.22%,14.78%,15.07%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.16%,0.17%,0.17%,0.17%,0.17%,0.17%,0.18%,0.23%,0.23%,0.25%,0.25%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,14.37%,13.97%,13.00%,12.90%,12.83%,12.69%,12.60%,12.64%,12.59%,12.60%,12.53%,12.42%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,62628,58486,36126,31219,32176,27738,24852,28268,26744,29903,25531,24779,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.55%,,,,62.56%,,,,62.56%,,,,62.56%,,,,64.79%,64.79%,64.79%,62.55%,62.55%,
Shareholding Pattern (Yearly),FIIs,12.20%,,,,12.82%,,,,12.47%,,,,9.70%,,,,14.60%,12.82%,12.97%,11.90%,12.51%,
Shareholding Pattern (Yearly),DIIs,11.16%,,,,11.58%,,,,12.14%,,,,15.07%,,,,14.65%,16.68%,6.22%,11.22%,10.80%,
Shareholding Pattern (Yearly),Government,0.00%,,,,0.17%,,,,0.18%,,,,0.25%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),Public,14.09%,,,,12.90%,,,,12.64%,,,,12.42%,,,,5.96%,5.71%,16.03%,14.32%,14.14%,
Shareholding Pattern (Yearly),No. of Shareholders,56833,,,,31219,,,,28268,,,,24779,,,,20910,27872,27800,39836,41632,
,,,,,,,,,,,,,,,,,,,,,,,
