Section,,Jun 2006,Jun 2018,Sep 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,85,35,36,43,32,33,44,38,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,46,106,110,42,43,40,55,52,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,40,-71,-73,1,-11,-7,-11,-15,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,46%,-202%,-202%,2%,-33%,-22%,-26%,-39%,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,48,7,9,-28,6,27,215,3,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,9,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,9,3,2,3,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,70,-67,-67,-30,-8,17,201,-17,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,12%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,62,-67,-67,-30,-8,17,201,-17,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.33,-1.06,-1.06,-0.47,-0.12,0.26,3.19,-0.27,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,154,,,,146,454,449,464,572,645,718,636,661,698,138,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,238,,,,183,296,325,332,508,530,573,545,508,523,150,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,-83,,,,-37,158,124,132,63,114,145,92,153,175,-12,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,-54%,,,,-25%,35%,28%,28%,11%,18%,20%,14%,23%,25%,-9%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,-25,,,,244,127,30,42,383,8,50,-138,-13,41,2,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,0,,,,1,27,24,54,321,405,502,198,88,90,0,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,10,,,,12,65,68,63,102,139,181,227,240,141,13,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,-119,,,,194,193,61,56,23,-421,-487,-470,-187,-15,-23,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,0%,,,,0%,25%,32%,33%,20%,3%,-9%,-12%,-4%,0%,0%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,-119,,,,194,145,41,38,19,-433,-442,-416,-180,-15,-23,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,-1.89,,,,3.07,3.84,1.09,0.98,0.48,-10.35,-9.78,-8.91,-3.86,-0.33,-0.37,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,10%,18%,15%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,126,,,,126,76,76,78,78,84,90,93,93,93,126,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,139,,,,331,1864,1978,2025,1513,1139,780,325,144,38,258,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,3610,,,,33,2451,2879,3803,4176,4659,4905,5034,4329,4182,3781,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,313,,,,169,433,406,392,484,470,510,376,396,421,396,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,4189,,,,660,4823,5339,6298,6250,6351,6285,5828,4963,4734,4561,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,344,,,,329,3489,3723,4108,4572,5700,5634,5380,4480,4072,3911,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,1,,,,1,935,1265,1598,1104,166,159,18,39,13,5,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,0,,,,0,0,0,0,100,0,0,0,0,0,0,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,3844,,,,330,400,351,592,474,484,492,430,443,649,645,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,4189,,,,660,4823,5339,6298,6250,6351,6285,5828,4963,4734,4561,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,209,,,,139,203,33,69,250,153,177,231,174,220,192,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,129,,,,3824,-604,-547,-876,-307,-52,-14,-64,697,3,27,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-327,,,,-3976,137,497,849,17,-83,-171,-169,-852,-233,-214,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,11,,,,-14,-264,-17,43,-40,18,-8,-2,20,-9,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,155,,,,19,25,31,37,34,33,36,29,35,37,219,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,531,518,649,508,510,378,320,260,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,918,712,309,279,321,379,395,396,,,,,,,,,,,,,,,,
