Section,,Mar 2014,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,154,201,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,112,139,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,42,62,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,27%,31%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,4,7,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,6,6,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,15,16,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,25,47,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,0%,0%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,25,47,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.94,1.79,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,39,39,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,-29,18,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,128,293,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,28,43,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,167,393,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,32,19,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,1,1,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,134,374,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,167,393,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,45,61,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-13,-197,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-26,160,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,6,24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,139,131,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,139,131,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,48,433,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,22%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,74.05%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.13%,0.14%,0.09%,0.00%,0.00%,0.00%,0.04%,0.28%,0.03%,0.03%,0.01%,0.01%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,5.47%,5.47%,5.47%,5.06%,4.90%,1.40%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,,,,,,
Shareholding Pattern (Quarterly),Public,,,20.35%,20.34%,20.40%,20.89%,21.06%,24.55%,25.91%,25.67%,25.92%,25.91%,25.91%,25.93%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,33102,31505,30116,32646,32933,34806,43742,53698,52267,51881,51641,51329,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,74.05%,,,,74.05%,,,,74.05%,71.40%,71.40%,73.65%,74.05%,74.05%,74.05%
Shareholding Pattern (Yearly),FIIs,,,,,,0.00%,,,,0.28%,,,,0.01%,3.97%,4.51%,1.18%,0.16%,0.14%,0.16%
Shareholding Pattern (Yearly),DIIs,,,,,,5.06%,,,,0.00%,,,,0.01%,5.88%,8.27%,10.21%,14.73%,8.06%,5.47%
Shareholding Pattern (Yearly),Public,,,,,,20.89%,,,,25.67%,,,,25.93%,18.76%,15.82%,14.96%,11.06%,17.75%,20.31%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,32646,,,,53698,,,,51329,47732,19740,21805,23411,27655,33620
,,,,,,,,,,,,,,,,,,,,,
