Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,384,439,396,440,580,,,,
Quarterly Results,Expenses,287,315,293,320,422,,,,
Quarterly Results,Operating Profit,96,125,102,120,158,,,,
Quarterly Results,OPM %,25%,28%,26%,27%,27%,,,,
Quarterly Results,Other Income,11,3,10,9,10,,,,
Quarterly Results,Interest,23,21,21,23,11,,,,
Quarterly Results,Depreciation,31,31,36,34,37,,,,
Quarterly Results,Profit before tax,53,76,55,72,119,,,,
Quarterly Results,Tax %,25%,26%,25%,25%,26%,,,,
Quarterly Results,Net Profit,40,56,42,54,88,,,,
Quarterly Results,EPS in Rs,,,,2.59,4.24,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,1465,,,1695,695,760,870,1217
Profit & Loss,Expenses,,1178,,,1289,520,593,743,1048
Profit & Loss,Operating Profit,,287,,,406,176,167,126,169
Profit & Loss,OPM %,,20%,,,24%,25%,22%,15%,14%
Profit & Loss,Other Income,,29,,,37,6,27,28,27
Profit & Loss,Interest,,88,,,76,24,33,54,81
Profit & Loss,Depreciation,,119,,,139,44,80,90,99
Profit & Loss,Profit before tax,,109,,,228,113,82,10,16
Profit & Loss,Tax %,,24%,,,25%,35%,25%,36%,39%
Profit & Loss,Net Profit,,83,,,170,73,61,6,10
Profit & Loss,EPS in Rs,,,,,8.16,,,,
Profit & Loss,Dividend Payout %,,0%,,,0%,0%,0%,1117%,676%
,,,,,,,,,,
Balance Sheet,Equity Capital,,18,,,21,16,17,18,18
Balance Sheet,Reserves,,957,,,2108,703,845,861,870
Balance Sheet,Borrowings,,929,,,352,249,637,752,933
Balance Sheet,Other Liabilities,,359,,,679,247,318,527,358
Balance Sheet,Total Liabilities,,2262,,,3160,1215,1817,2157,2179
Balance Sheet,Fixed Assets,,1180,,,1488,373,701,751,1037
Balance Sheet,CWIP,,107,,,124,116,246,410,151
Balance Sheet,Investments,,2,,,2,0,0,0,2
Balance Sheet,Other Assets,,973,,,1545,726,870,997,989
Balance Sheet,Total Assets,,2262,,,3160,1215,1817,2157,2179
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,263,,,314,129,-36,105,219
Cash Flows,Cash from Investing Activity,,-191,,,-537,-158,-260,-102,-99
Cash Flows,Cash from Financing Activity,,-95,,,301,268,296,72,-201
Cash Flows,Net Cash Flow,,-24,,,79,239,-1,75,-80
,,,,,,,,,,
Ratios,Debtor Days,,64,,,76,123,99,102,85
Ratios,Inventory Days,,72,,,93,86,127,179,121
Ratios,Days Payable,,163,,,253,207,230,279,180
Ratios,Cash Conversion Cycle,,-28,,,-83,1,-4,2,25
Ratios,Working Capital Days,,130,,,107,133,249,233,178
Ratios,ROCE %,,11%,,,14%,,,3%,6%
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,35.23%,35.16%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,11.72%,12.36%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,11.95%,13.26%,,,,
Shareholding Pattern (Quarterly),Public,,,,41.08%,39.21%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,181122,140677,,,,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,35.16%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,12.36%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,13.26%,,,,
Shareholding Pattern (Yearly),Public,,,,,39.21%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,140677,,,,
,,,,,,,,,,
