Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,55.73,73.17,34.92,68.29,78.48,70.77,41.91,82.69,88.19,81.34,,,,,
Quarterly Results,Expenses,45.45,57.76,27.83,56.04,63.43,60.86,36.02,70.82,72.83,71.77,,,,,
Quarterly Results,Operating Profit,10.28,15.41,7.09,12.25,15.05,9.91,5.89,11.87,15.36,9.57,,,,,
Quarterly Results,OPM %,18.45%,21.06%,20.30%,17.94%,19.18%,14.00%,14.05%,14.35%,17.42%,11.77%,,,,,
Quarterly Results,Other Income,0.00,0.05,0.00,0.03,0.00,0.01,0.55,0.49,0.19,1.23,,,,,
Quarterly Results,Interest,2.02,3.02,2.18,2.16,2.23,2.45,1.26,1.55,1.14,1.29,,,,,
Quarterly Results,Depreciation,0.66,0.65,0.49,0.51,0.52,0.44,0.36,0.47,0.48,0.52,,,,,
Quarterly Results,Profit before tax,7.60,11.79,4.42,9.61,12.30,7.03,4.82,10.34,13.93,8.99,,,,,
Quarterly Results,Tax %,26.84%,31.55%,21.95%,27.89%,21.63%,-17.78%,11.20%,34.53%,24.19%,35.26%,,,,,
Quarterly Results,Net Profit,5.56,8.07,3.44,6.94,9.64,8.28,4.28,6.77,10.56,5.81,,,,,
Quarterly Results,EPS in Rs,4.43,1.24,0.53,1.06,1.48,0.89,0.46,0.73,1.14,0.63,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,211,,,,252,,,,294,116,131,138,161,186
Profit & Loss,Expenses,,172,,,,208,,,,251,100,118,123,142,158
Profit & Loss,Operating Profit,,39,,,,44,,,,43,15,13,15,18,28
Profit & Loss,OPM %,,18%,,,,18%,,,,15%,13%,10%,11%,11%,15%
Profit & Loss,Other Income,,0,,,,0,,,,2,0,0,0,0,0
Profit & Loss,Interest,,9,,,,9,,,,5,3,4,6,8,7
Profit & Loss,Depreciation,,2,,,,2,,,,2,2,2,2,2,2
Profit & Loss,Profit before tax,,28,,,,33,,,,38,10,7,6,9,18
Profit & Loss,Tax %,,27%,,,,15%,,,,28%,34%,34%,36%,27%,26%
Profit & Loss,Net Profit,,20,,,,28,,,,27,6,5,4,6,14
Profit & Loss,EPS in Rs,,3.14,,,,3.06,,,,2.96,5.10,3.90,3.09,5.02,10.92
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,13,,,,18,,,,18,13,13,13,13,13
Balance Sheet,Reserves,,51,,,,175,,,,201,9,14,18,17,31
Balance Sheet,Borrowings,,71,,,,61,,,,55,30,31,46,51,64
Balance Sheet,Other Liabilities,,46,,,,44,,,,61,45,61,64,67,53
Balance Sheet,Total Liabilities,,181,,,,298,,,,336,97,119,141,147,160
Balance Sheet,Fixed Assets,,17,,,,16,,,,16,15,17,16,17,18
Balance Sheet,CWIP,,1,,,,1,,,,18,2,1,0,0,0
Balance Sheet,Investments,,0,,,,0,,,,0,0,0,0,0,0
Balance Sheet,Other Assets,,163,,,,282,,,,302,80,102,125,130,142
Balance Sheet,Total Assets,,181,,,,298,,,,336,97,119,141,147,160
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,6,,,,1,,,,-18,3,3,-8,5,2
Cash Flows,Cash from Investing Activity,,-2,,,,-23,,,,-26,-6,-3,-1,-3,-4
Cash Flows,Cash from Financing Activity,,-2,,,,82,,,,-12,3,-1,10,-2,3
Cash Flows,Net Cash Flow,,2,,,,59,,,,-57,-0,0,-0,0,1
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,183,,,,178,,,,224,132,159,213,193,183
Ratios,Inventory Days,,123,,,,114,,,,116,197,208,192,133,122
Ratios,Days Payable,,80,,,,60,,,,81,207,233,225,174,108
Ratios,Cash Conversion Cycle,,226,,,,233,,,,259,123,134,180,152,197
Ratios,Working Capital Days,,192,,,,209,,,,254,105,112,159,144,166
Ratios,ROCE %,,31%,,,,22%,,,,16%,,20%,19%,21%,27%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,59.38%,59.38%,59.38%,59.38%,59.38%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.72%,3.14%,0.05%,0.14%,0.05%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,3.27%,1.82%,1.41%,1.41%,1.30%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,29.92%,32.97%,36.45%,36.37%,36.57%,,,,,
Shareholding Pattern (Quarterly),Others,,,,,,2.70%,2.70%,2.70%,2.70%,2.70%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,82101,81807,89527,87354,86998,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,59.38%,,,,59.38%,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,4.72%,,,,0.05%,,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,3.27%,,,,1.30%,,,,,
Shareholding Pattern (Yearly),Public,,,,,,29.92%,,,,36.57%,,,,,
Shareholding Pattern (Yearly),Others,,,,,,2.70%,,,,2.70%,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,82101,,,,86998,,,,,
,,,,,,,,,,,,,,,,
