Section,,Dec 2019,Mar 2020,Dec 2020,Mar 2021,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,200,154,295,235,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,184,155,252,210,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,16,-1,43,25,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,8%,-1%,15%,11%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,0,0,1,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,5,6,6,3,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,3,3,4,4,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,9,-10,33,19,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,9,-10,33,19,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.65,-4.15,13.54,5.89,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,670,,859,481,499,493,524,641,,,,,,,,,,,,,
Profit & Loss,Expenses,,636,,746,481,517,489,514,611,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,34,,113,-0,-18,5,10,30,,,,,,,,,,,,,
Profit & Loss,OPM %,,5%,,13%,-0%,-4%,1%,2%,5%,,,,,,,,,,,,,
Profit & Loss,Other Income,,3,,2,2,1,3,6,2,,,,,,,,,,,,,
Profit & Loss,Interest,,21,,19,17,16,15,17,18,,,,,,,,,,,,,
Profit & Loss,Depreciation,,12,,14,-4,11,12,12,12,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,4,,81,-11,-43,-19,-13,1,,,,,,,,,,,,,
Profit & Loss,Tax %,,10%,,0%,12%,1%,1%,-4%,40%,,,,,,,,,,,,,
Profit & Loss,Net Profit,,3,,81,-12,-44,-19,-13,1,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,1.28,,24.99,-6.49,-23.28,-10.19,-6.75,0.30,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,25,,33,19,19,19,19,25,,,,,,,,,,,,,
Balance Sheet,Reserves,,-85,,269,-123,-166,-185,-198,-89,,,,,,,,,,,,,
Balance Sheet,Borrowings,,338,,52,340,365,372,396,321,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,193,,216,114,124,148,178,169,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,471,,570,350,342,353,395,426,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,193,,220,178,195,191,184,179,,,,,,,,,,,,,
Balance Sheet,CWIP,,8,,19,15,0,0,1,2,,,,,,,,,,,,,
Balance Sheet,Investments,,0,,0,0,0,0,0,0,,,,,,,,,,,,,
Balance Sheet,Other Assets,,271,,331,157,146,162,210,245,,,,,,,,,,,,,
Balance Sheet,Total Assets,,471,,570,350,342,353,395,426,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,16,,110,,19,29,11,13,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-27,,-66,,-13,-5,-6,-7,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-2,,-29,,-6,-25,-5,22,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-14,,14,,0,0,-0,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,56,,36,50,36,44,55,51,,,,,,,,,,,,,
Ratios,Inventory Days,,96,,102,74,71,78,109,81,,,,,,,,,,,,,
Ratios,Days Payable,,125,,115,95,90,117,150,112,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,28,,23,28,17,5,14,21,,,,,,,,,,,,,
Ratios,Working Capital Days,,30,,36,28,14,16,21,21,,,,,,,,,,,,,
Ratios,ROCE %,,9%,,32%,,-12%,-2%,2%,8%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,56.19%,56.19%,56.19%,55.92%,55.92%,55.92%,55.88%,55.88%,55.88%,55.88%,55.88%,55.84%,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,7.96%,7.17%,5.50%,3.16%,0.98%,0.46%,0.42%,0.78%,0.92%,1.53%,1.68%,1.21%,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,9.04%,9.83%,9.67%,6.68%,1.15%,2.39%,3.02%,3.44%,4.69%,5.48%,5.41%,7.03%,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,26.81%,26.80%,28.64%,34.24%,41.95%,41.23%,40.68%,39.92%,38.50%,37.11%,37.04%,35.95%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,61860,59749,62803,78882,86063,79536,77766,74196,69598,57889,55179,54786,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,54.36%,,,,,,,,,55.92%,,,,55.88%,,,,55.84%,56.38%
Shareholding Pattern (Yearly),FIIs,,,,8.22%,,,,,,,,,3.16%,,,,0.78%,,,,1.21%,8.39%
Shareholding Pattern (Yearly),DIIs,,,,9.52%,,,,,,,,,6.68%,,,,3.44%,,,,7.03%,9.34%
Shareholding Pattern (Yearly),Public,,,,27.89%,,,,,,,,,34.24%,,,,39.92%,,,,35.95%,25.89%
Shareholding Pattern (Yearly),No. of Shareholders,,,,19739,,,,,,,,,78882,,,,74196,,,,54786,47563
,,,,,,,,,,,,,,,,,,,,,,,
