Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,2728,2662,2816,3192,807,841,929,955,974,1002,1086,1050,1000,,,,,,,,,
Quarterly Results,Expenses,2267,2370,2498,2743,687,722,787,805,817,841,869,864,818,,,,,,,,,
Quarterly Results,Operating Profit,460,292,319,449,120,119,142,149,156,161,217,186,182,,,,,,,,,
Quarterly Results,OPM %,17%,11%,11%,14%,15%,14%,15%,16%,16%,16%,20%,18%,18%,,,,,,,,,
Quarterly Results,Other Income,22,37,18,10,149,-17,-64,153,-40,5120,35,9,5,,,,,,,,,
Quarterly Results,Interest,62,69,77,87,25,25,30,25,30,29,31,31,32,,,,,,,,,
Quarterly Results,Depreciation,170,175,189,198,54,51,54,57,58,60,62,62,64,,,,,,,,,
Quarterly Results,Profit before tax,250,85,71,173,190,26,-7,220,28,5191,159,102,91,,,,,,,,,
Quarterly Results,Tax %,2%,6%,23%,8%,4%,24%,120%,5%,108%,1%,33%,37%,6%,,,,,,,,,
Quarterly Results,Net Profit,246,80,54,159,183,20,-15,209,-2,5152,106,64,86,,,,,,,,,
Quarterly Results,EPS in Rs,4.53,1.37,0.93,2.79,3.42,0.10,-0.62,3.59,-0.48,103.00,1.94,1.14,1.58,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,10253,,,,2994,,,,3699,,,,4138,2871,3876,5250,5931,6721,7963,8652,8608,
Profit & Loss,Expenses,8720,,,,2547,,,,3124,,,,3393,2421,3370,4805,5582,6089,6886,7187,7506,
Profit & Loss,Operating Profit,1533,,,,447,,,,575,,,,746,451,506,445,349,632,1077,1465,1103,
Profit & Loss,OPM %,15%,,,,15%,,,,16%,,,,18%,16%,13%,8%,6%,9%,14%,17%,13%,
Profit & Loss,Other Income,51,,,,353,,,,32,,,,5169,19,23,25,453,177,-155,-158,53,
Profit & Loss,Interest,307,,,,96,,,,119,,,,124,48,79,189,371,204,205,391,334,
Profit & Loss,Depreciation,641,,,,192,,,,220,,,,249,111,144,243,322,298,306,586,618,
Profit & Loss,Profit before tax,637,,,,511,,,,268,,,,5542,310,306,38,108,308,410,330,205,
Profit & Loss,Tax %,6%,,,,7%,,,,21%,,,,2%,9%,11%,78%,10%,8%,10%,5%,13%,
Profit & Loss,Net Profit,601,,,,475,,,,212,,,,5408,284,272,8,98,282,367,315,178,
Profit & Loss,EPS in Rs,10.53,,,,8.51,,,,2.59,,,,107.66,4.69,7.00,0.20,2.52,5.32,6.59,5.54,2.96,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,77%,,,,114%,35%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,500,,,,500,,,,500,,,,500,375,389,403,403,505,505,497,497,
Balance Sheet,Reserves,3080,,,,3574,,,,3686,,,,2929,536,1096,17,1472,2327,2709,2775,2875,
Balance Sheet,Borrowings,5282,,,,6075,,,,1758,,,,2018,886,1091,3321,2758,2352,2788,5605,4804,
Balance Sheet,Other Liabilities,3661,,,,4687,,,,12039,,,,1161,1097,1834,2003,2171,2296,2926,3528,3444,
Balance Sheet,Total Liabilities,12521,,,,14836,,,,17983,,,,6606,2894,4409,5743,6804,7479,8928,12405,11620,
Balance Sheet,Fixed Assets,7009,,,,9052,,,,3175,,,,3922,1087,2237,2507,3520,3738,4289,7124,6749,
Balance Sheet,CWIP,998,,,,279,,,,170,,,,291,357,197,358,290,402,550,736,934,
Balance Sheet,Investments,45,,,,80,,,,17,,,,245,7,3,39,32,38,22,34,63,
Balance Sheet,Other Assets,4470,,,,5425,,,,14620,,,,2148,1442,1972,2839,2962,3302,4067,4511,3874,
Balance Sheet,Total Assets,12521,,,,14836,,,,17983,,,,6606,2894,4409,5743,6804,7479,8928,12405,11620,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1314,,,,1834,,,,158,,,,425,,236,203,361,537,601,1223,1569,
Cash Flows,Cash from Investing Activity,-563,,,,-951,,,,-878,,,,6015,,-439,-775,-1136,-522,-702,-658,-333,
Cash Flows,Cash from Financing Activity,-686,,,,-817,,,,1053,,,,-6358,,203,578,654,46,134,-675,-1116,
Cash Flows,Net Cash Flow,65,,,,66,,,,332,,,,82,,-1,5,-122,61,33,-110,120,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,72,,,,285,,,,23,,,,23,86,83,93,79,84,93,100,86,
Ratios,Inventory Days,129,,,,612,,,,44,,,,36,71,93,92,102,111,110,138,122,
Ratios,Days Payable,267,,,,1400,,,,183,,,,166,176,178,187,151,150,153,303,290,
Ratios,Cash Conversion Cycle,-66,,,,-503,,,,-116,,,,-107,-18,-2,-1,30,45,50,-65,-83,
Ratios,Working Capital Days,40,,,,129,,,,297,,,,-15,61,69,68,57,59,57,40,38,
Ratios,ROCE %,10%,,,,3%,,,,4%,,,,11%,18%,14%,6%,1%,7%,13%,12%,6%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,37.88%,37.88%,41.88%,41.88%,41.88%,41.88%,41.88%,41.88%,41.88%,41.88%,41.89%,,,,,,,,,40.38%
Shareholding Pattern (Quarterly),FIIs,,,11.77%,42.49%,38.63%,38.82%,40.22%,41.00%,33.48%,27.08%,23.86%,22.62%,21.66%,,,,,,,,,23.62%
Shareholding Pattern (Quarterly),DIIs,,,8.99%,8.93%,8.93%,8.62%,7.64%,7.15%,13.70%,16.35%,20.91%,22.91%,24.58%,,,,,,,,,24.63%
Shareholding Pattern (Quarterly),Public,,,40.91%,10.25%,10.12%,10.26%,9.85%,9.61%,10.59%,14.38%,13.05%,12.30%,11.60%,,,,,,,,,11.11%
Shareholding Pattern (Quarterly),Others,,,0.45%,0.44%,0.43%,0.42%,0.41%,0.37%,0.35%,0.32%,0.30%,0.28%,0.26%,,,,,,,,,0.00%
Shareholding Pattern (Quarterly),No. of Shareholders,,,80913,84573,82129,71379,67673,67331,80931,206660,174171,159038,154014,,,,,,,,,151664
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,37.88%,,,,41.88%,,,,41.88%,,,,41.89%,,,,,37.46%,37.80%,37.87%,37.88%,40.38%
Shareholding Pattern (Yearly),FIIs,11.03%,,,,38.63%,,,,33.48%,,,,21.66%,,,,,6.84%,7.45%,10.81%,10.57%,23.62%
Shareholding Pattern (Yearly),DIIs,8.64%,,,,8.93%,,,,13.70%,,,,24.58%,,,,,2.77%,2.29%,6.51%,8.72%,24.63%
Shareholding Pattern (Yearly),Public,41.99%,,,,10.12%,,,,10.59%,,,,11.60%,,,,,52.20%,51.86%,44.23%,42.33%,11.11%
Shareholding Pattern (Yearly),Others,0.46%,,,,0.43%,,,,0.35%,,,,0.26%,,,,,0.73%,0.59%,0.58%,0.50%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,80427,,,,82129,,,,80931,,,,154014,,,,,149169,90750,84716,78719,151664
,,,,,,,,,,,,,,,,,,,,,,,
