Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,255.01,248.84,238.12,212.82,177.55,142.14,207.37,187.47,171.35,202.17,253.15,254.24,236.50,,,
Quarterly Results,Expenses,254.53,238.28,233.74,205.13,165.52,139.42,204.92,183.05,156.91,193.20,246.51,246.88,229.37,,,
Quarterly Results,Operating Profit,0.48,10.56,4.38,7.69,12.03,2.72,2.45,4.42,14.44,8.97,6.64,7.36,7.13,,,
Quarterly Results,OPM %,0.19%,4.24%,1.84%,3.61%,6.78%,1.91%,1.18%,2.36%,8.43%,4.44%,2.62%,2.89%,3.01%,,,
Quarterly Results,Other Income,0.88,0.20,0.85,0.65,-0.24,0.29,0.66,-0.37,0.05,0.22,0.37,0.19,0.28,,,
Quarterly Results,Interest,2.37,3.03,2.98,3.54,2.21,3.02,2.74,2.71,2.79,2.81,3.09,3.21,3.05,,,
Quarterly Results,Depreciation,3.35,2.59,3.07,3.54,3.14,3.02,3.20,3.31,3.46,2.82,3.01,2.91,3.42,,,
Quarterly Results,Profit before tax,-4.36,5.14,-0.82,1.26,6.44,-3.03,-2.83,-1.97,8.24,3.56,0.91,1.43,0.94,,,
Quarterly Results,Tax %,0.92%,50.58%,-108.54%,107.94%,11.34%,23.10%,-26.50%,46.70%,-11.29%,30.62%,51.65%,32.17%,18.09%,,,
Quarterly Results,Net Profit,-4.39,2.54,0.07,-0.10,5.71,-3.72,-2.08,-2.89,9.18,2.48,0.44,0.97,0.77,,,
Quarterly Results,EPS in Rs,-0.30,0.14,0.03,-0.01,0.38,-0.25,-0.14,-0.19,0.61,0.16,0.03,0.06,0.05,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,824,,,,877,,,,708,,,,946,339,348,375
Profit & Loss,Expenses,776,,,,842,,,,684,,,,916,314,320,345
Profit & Loss,Operating Profit,48,,,,35,,,,24,,,,30,25,28,30
Profit & Loss,OPM %,6%,,,,4%,,,,3%,,,,3%,7%,8%,8%
Profit & Loss,Other Income,2,,,,1,,,,1,,,,1,5,1,1
Profit & Loss,Interest,10,,,,12,,,,12,,,,12,5,8,6
Profit & Loss,Depreciation,13,,,,12,,,,13,,,,12,12,16,12
Profit & Loss,Profit before tax,27,,,,12,,,,0,,,,7,12,5,13
Profit & Loss,Tax %,32%,,,,32%,,,,-16%,,,,32%,34%,24%,29%
Profit & Loss,Net Profit,18,,,,8,,,,0,,,,5,8,4,9
Profit & Loss,EPS in Rs,1.20,,,,0.55,,,,0.03,,,,0.31,0.54,0.27,0.59
Profit & Loss,Dividend Payout %,416%,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,,,,15,,,,15,,,,15,15,15,15
Balance Sheet,Reserves,93,,,,101,,,,101,,,,106,54,58,67
Balance Sheet,Borrowings,117,,,,109,,,,109,,,,130,67,78,90
