Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,359,344,359,341,377,370,399,393,375,353,390,403,535,,
Quarterly Results,Expenses,264,256,263,250,284,274,295,295,292,268,293,306,427,,
Quarterly Results,Operating Profit,95,87,96,91,93,95,103,98,83,85,97,97,108,,
Quarterly Results,OPM %,26%,25%,27%,27%,25%,26%,26%,25%,22%,24%,25%,24%,20%,,
Quarterly Results,Other Income,18,4,4,4,16,6,4,4,8,5,5,395,-241,,
Quarterly Results,Interest,16,12,11,11,12,11,12,12,12,11,11,10,15,,
Quarterly Results,Depreciation,29,26,27,26,26,25,23,24,23,26,26,26,37,,
Quarterly Results,Profit before tax,68,54,62,59,71,66,73,66,57,53,65,455,-186,,
Quarterly Results,Tax %,-26%,-8%,4%,6%,4%,3%,-1%,3%,0%,7%,8%,-0%,3%,,
Quarterly Results,Net Profit,85,58,60,55,69,64,74,65,56,49,60,456,-191,,
Quarterly Results,EPS in Rs,1.70,1.15,1.18,1.10,1.37,1.26,1.46,1.27,1.10,0.97,1.20,9.11,-3.86,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1374,,,,1421,,,,1536,,,,1681,1292,1179
Profit & Loss,Expenses,1004,,,,1052,,,,1156,,,,1295,983,866
Profit & Loss,Operating Profit,369,,,,369,,,,380,,,,386,309,314
Profit & Loss,OPM %,27%,,,,26%,,,,25%,,,,23%,24%,27%
Profit & Loss,Other Income,34,,,,27,,,,23,,,,164,25,11
Profit & Loss,Interest,65,,,,46,,,,47,,,,48,103,80
Profit & Loss,Depreciation,128,,,,104,,,,95,,,,115,133,131
Profit & Loss,Profit before tax,210,,,,246,,,,261,,,,387,98,113
Profit & Loss,Tax %,-7%,,,,2%,,,,1%,,,,3%,-6%,17%
Profit & Loss,Net Profit,224,,,,242,,,,258,,,,374,104,94
Profit & Loss,EPS in Rs,4.48,,,,4.80,,,,5.13,,,,7.42,5.11,4.69
Profit & Loss,Dividend Payout %,28%,,,,42%,,,,39%,,,,27%,0%,212%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,500,,,,500,,,,500,,,,500,109,500
Balance Sheet,Reserves,1137,,,,1277,,,,1433,,,,1704,1208,975
Balance Sheet,Borrowings,619,,,,530,,,,510,,,,720,950,718
Balance Sheet,Other Liabilities,171,,,,190,,,,201,,,,533,166,204
Balance Sheet,Total Liabilities,2428,,,,2496,,,,2644,,,,3457,2433,2397
Balance Sheet,Fixed Assets,1790,,,,1897,,,,1922,,,,2610,1963,1845
Balance Sheet,CWIP,10,,,,15,,,,36,,,,63,5,29
Balance Sheet,Investments,141,,,,141,,,,204,,,,79,60,140
Balance Sheet,Other Assets,487,,,,444,,,,481,,,,705,404,382
Balance Sheet,Total Assets,2428,,,,2496,,,,2644,,,,3457,2433,2397
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,366,,,,324,,,,321,,,,385,303,308
Cash Flows,Cash from Investing Activity,-43,,,,-207,,,,-116,,,,-111,-19,24
Cash Flows,Cash from Financing Activity,-211,,,,-215,,,,-272,,,,-267,-336,-228
Cash Flows,Net Cash Flow,112,,,,-98,,,,-67,,,,7,-52,103
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,31,,,,35,,,,37,,,,59,37,40
Ratios,Inventory Days,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,31,,,,35,,,,37,,,,59,37,40
Ratios,Working Capital Days,-4,,,,-1,,,,2,,,,39,-16,-8
Ratios,ROCE %,12%,,,,13%,,,,13%,,,,11%,,9%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,32.12%,32.13%,32.13%,32.33%,32.33%,32.33%,32.33%,32.32%,32.32%,32.32%,32.32%,32.32%,,
Shareholding Pattern (Quarterly),FIIs,,17.23%,16.45%,15.07%,14.07%,13.79%,12.85%,13.43%,12.39%,11.82%,10.51%,9.64%,8.43%,,
Shareholding Pattern (Quarterly),DIIs,,37.07%,37.55%,38.59%,39.78%,40.29%,41.79%,41.56%,42.65%,43.60%,42.88%,39.73%,39.34%,,
Shareholding Pattern (Quarterly),Public,,13.57%,13.89%,14.22%,13.83%,13.61%,13.04%,12.69%,12.65%,12.26%,14.28%,18.31%,19.93%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,49082,53010,56101,58769,60495,69794,81046,89419,93227,105146,118158,122166,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,32.12%,,,,32.33%,,,,32.32%,,,,32.32%,,
Shareholding Pattern (Yearly),FIIs,19.44%,,,,14.07%,,,,12.39%,,,,8.43%,,
Shareholding Pattern (Yearly),DIIs,32.77%,,,,39.78%,,,,42.65%,,,,39.34%,,
Shareholding Pattern (Yearly),Public,15.67%,,,,13.83%,,,,12.65%,,,,19.93%,,
Shareholding Pattern (Yearly),No. of Shareholders,46468,,,,58769,,,,89419,,,,122166,,
,,,,,,,,,,,,,,,,
