Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,400,489,525,526,514,611,625,604,597,647,632,639,633,
Quarterly Results,Expenses,380,460,500,497,487,562,569,536,528,584,569,570,559,
Quarterly Results,Operating Profit,20,29,25,30,27,48,56,68,69,63,63,70,73,
Quarterly Results,OPM %,5%,6%,5%,6%,5%,8%,9%,11%,12%,10%,10%,11%,12%,
Quarterly Results,Other Income,-16,13,11,8,4,7,3,4,5,14,0,9,8,
Quarterly Results,Interest,27,23,24,26,32,31,32,32,47,37,38,40,46,
Quarterly Results,Depreciation,59,70,67,68,80,79,79,80,119,92,91,93,96,
Quarterly Results,Profit before tax,-82,-51,-55,-56,-80,-54,-51,-40,-92,-52,-65,-55,-60,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Quarterly Results,Net Profit,-82,-51,-55,-56,-80,-54,-51,-40,-92,-52,-65,-55,-60,
Quarterly Results,EPS in Rs,-1.36,-0.96,-1.01,-1.02,-1.48,-1.02,-0.93,-0.73,-1.72,-0.99,-1.21,-1.01,-0.97,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,1490,,,,2054,,,,2437,,,,2551,1004
Profit & Loss,Expenses,1394,,,,1943,,,,2195,,,,2282,979
Profit & Loss,Operating Profit,97,,,,112,,,,242,,,,268,25
Profit & Loss,OPM %,6%,,,,5%,,,,10%,,,,11%,2%
Profit & Loss,Other Income,-3,,,,36,,,,18,,,,31,26
Profit & Loss,Interest,95,,,,105,,,,141,,,,161,104
Profit & Loss,Depreciation,234,,,,284,,,,356,,,,371,229
Profit & Loss,Profit before tax,-235,,,,-242,,,,-237,,,,-233,-282
Profit & Loss,Tax %,0%,,,,0%,,,,0%,,,,0%,0%
Profit & Loss,Net Profit,-235,,,,-242,,,,-237,,,,-233,-282
Profit & Loss,EPS in Rs,-3.98,,,,-4.47,,,,-4.39,,,,-3.71,-6.42
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,493,,,,495,,,,496,,,,582,383
Balance Sheet,Reserves,548,,,,331,,,,130,,,,326,-298
Balance Sheet,Borrowings,887,,,,1168,,,,1430,,,,1832,901
Balance Sheet,Other Liabilities,451,,,,500,,,,652,,,,722,977
Balance Sheet,Total Liabilities,2378,,,,2493,,,,2709,,,,3463,1963
Balance Sheet,Fixed Assets,1514,,,,1953,,,,2320,,,,2603,1391
Balance Sheet,CWIP,18,,,,35,,,,49,,,,34,47
Balance Sheet,Investments,402,,,,147,,,,83,,,,24,124
Balance Sheet,Other Assets,444,,,,358,,,,256,,,,802,401
Balance Sheet,Total Assets,2378,,,,2493,,,,2709,,,,3463,1963
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,78,,,,124,,,,346,,,,350,48
Cash Flows,Cash from Investing Activity,-1091,,,,16,,,,-219,,,,-212,-322
Cash Flows,Cash from Financing Activity,1112,,,,-170,,,,-251,,,,385,357
Cash Flows,Net Cash Flow,99,,,,-30,,,,-124,,,,523,82
,,,,,,,,,,,,,,,
Ratios,Debtor Days,3,,,,3,,,,4,,,,5,3
Ratios,Inventory Days,15,,,,16,,,,14,,,,18,18
Ratios,Days Payable,152,,,,133,,,,119,,,,155,226
Ratios,Cash Conversion Cycle,-134,,,,-114,,,,-101,,,,-133,-205
Ratios,Working Capital Days,-78,,,,-60,,,,-65,,,,-60,-304
Ratios,ROCE %,-8%,,,,-7%,,,,-5%,,,,-3%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,40.91%,40.90%,40.82%,40.81%,40.80%,15.43%,15.39%,15.39%,15.33%,13.17%,13.16%,11.27%,
Shareholding Pattern (Quarterly),FIIs,,27.06%,28.16%,27.82%,27.51%,27.37%,29.92%,26.90%,24.86%,18.78%,17.53%,15.34%,20.37%,
Shareholding Pattern (Quarterly),DIIs,,8.92%,9.04%,9.81%,9.92%,9.68%,22.21%,23.67%,23.15%,28.37%,37.75%,38.84%,40.45%,
Shareholding Pattern (Quarterly),Public,,23.11%,21.90%,21.56%,21.76%,22.13%,32.43%,34.04%,36.61%,37.51%,31.55%,32.66%,27.93%,
Shareholding Pattern (Quarterly),No. of Shareholders,,281192,260231,250348,244855,239857,243318,239542,236346,228755,224862,230770,227465,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,40.96%,,,,40.81%,,,,15.39%,,,,11.27%,52.69%
Shareholding Pattern (Yearly),FIIs,28.76%,,,,27.51%,,,,24.86%,,,,20.37%,14.65%
Shareholding Pattern (Yearly),DIIs,7.69%,,,,9.92%,,,,23.15%,,,,40.45%,5.62%
Shareholding Pattern (Yearly),Public,22.60%,,,,21.76%,,,,36.61%,,,,27.93%,27.03%
Shareholding Pattern (Yearly),No. of Shareholders,289568,,,,244855,,,,236346,,,,227465,288440
,,,,,,,,,,,,,,,
