Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,50.19,55.96,57.13,61.05,67.27,55.00,66.90,62.06,93.31,86.06,131.10,124.63,99.94,,,,,
Quarterly Results,Expenses,49.60,55.37,57.29,59.91,65.88,53.72,63.76,61.81,93.10,84.01,129.69,123.01,99.90,,,,,
Quarterly Results,Operating Profit,0.59,0.59,-0.16,1.14,1.39,1.28,3.14,0.25,0.21,2.05,1.41,1.62,0.04,,,,,
Quarterly Results,OPM %,1.18%,1.05%,-0.28%,1.87%,2.07%,2.33%,4.69%,0.40%,0.23%,2.38%,1.08%,1.30%,0.04%,,,,,
Quarterly Results,Other Income,0.00,0.00,2.33,1.11,0.88,1.47,7.94,1.78,7.32,2.13,0.16,1.78,2.50,,,,,
Quarterly Results,Interest,0.05,0.00,0.00,0.00,0.01,0.03,0.26,0.14,0.14,0.14,0.21,0.51,0.67,,,,,
Quarterly Results,Depreciation,0.00,0.00,0.01,0.01,0.01,0.88,0.95,0.94,0.94,0.80,0.99,1.04,1.02,,,,,
Quarterly Results,Profit before tax,0.54,0.59,2.16,2.24,2.25,1.84,9.87,0.95,6.45,3.24,0.37,1.85,0.85,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,25.33%,35.87%,23.00%,25.26%,8.06%,24.07%,24.32%,32.97%,105.88%,,,,,
Quarterly Results,Net Profit,0.54,0.58,2.16,2.24,1.69,1.18,7.59,0.71,5.93,2.45,0.28,1.24,-0.05,,,,,
Quarterly Results,EPS in Rs,0.01,0.01,0.02,0.02,0.02,0.01,0.07,0.01,0.06,0.02,0.00,0.01,-0.00,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,69,,,,241,,,,277,,,,442,,,,,
Profit & Loss,Expenses,67,,,,238,,,,272,,,,437,,,,,
Profit & Loss,Operating Profit,1,,,,3,,,,5,,,,5,,,,,
Profit & Loss,OPM %,2%,,,,1%,,,,2%,,,,1%,,,,,
Profit & Loss,Other Income,0,,,,4,,,,18,,,,6,,,,,
Profit & Loss,Interest,0,,,,0,,,,1,,,,2,,,,,
Profit & Loss,Depreciation,0,,,,0,,,,4,,,,4,,,,,
Profit & Loss,Profit before tax,1,,,,7,,,,19,,,,6,,,,,
Profit & Loss,Tax %,0%,,,,8%,,,,19%,,,,38%,,,,,
Profit & Loss,Net Profit,1,,,,7,,,,15,,,,4,,,,,
Profit & Loss,EPS in Rs,0.01,,,,0.06,,,,0.14,,,,0.04,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,46,,,,91,,,,107,,,,,
Balance Sheet,Reserves,-40,,,,30,,,,26,,,,63,,,,,
Balance Sheet,Borrowings,29,,,,28,,,,7,,,,26,,,,,
Balance Sheet,Other Liabilities,17,,,,57,,,,77,,,,25,,,,,
Balance Sheet,Total Liabilities,17,,,,161,,,,202,,,,221,,,,,
Balance Sheet,Fixed Assets,0,,,,40,,,,38,,,,53,,,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,,,,,
Balance Sheet,Investments,0,,,,20,,,,36,,,,29,,,,,
Balance Sheet,Other Assets,17,,,,101,,,,128,,,,139,,,,,
