Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,23.16,31.93,32.88,33.88,35.19,37.85,,,,,,,,,,,,
Quarterly Results,Expenses,18.08,25.01,25.39,25.67,26.30,29.53,,,,,,,,,,,,
Quarterly Results,Operating Profit,5.08,6.92,7.49,8.21,8.89,8.32,,,,,,,,,,,,
Quarterly Results,OPM %,21.93%,21.67%,22.78%,24.23%,25.26%,21.98%,,,,,,,,,,,,
Quarterly Results,Other Income,0.41,0.69,0.55,1.00,0.83,2.07,,,,,,,,,,,,
Quarterly Results,Interest,0.00,0.03,0.07,0.10,0.08,0.06,,,,,,,,,,,,
Quarterly Results,Depreciation,0.26,0.35,0.38,0.41,0.63,0.65,,,,,,,,,,,,
Quarterly Results,Profit before tax,5.23,7.23,7.59,8.70,9.01,9.68,,,,,,,,,,,,
Quarterly Results,Tax %,26.00%,21.58%,24.37%,25.17%,25.42%,24.17%,,,,,,,,,,,,
Quarterly Results,Net Profit,3.87,5.67,5.73,6.51,6.73,7.35,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.08,3.05,3.08,3.50,3.62,3.96,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,83,,,,140,,,,,,,,,,,,
Profit & Loss,Expenses,,63,,,,107,,,,,,,,,,,,
Profit & Loss,Operating Profit,,20,,,,33,,,,,,,,,,,,
Profit & Loss,OPM %,,24%,,,,24%,,,,,,,,,,,,
Profit & Loss,Other Income,,2,,,,4,,,,,,,,,,,,
Profit & Loss,Interest,,0,,,,0,,,,,,,,,,,,
Profit & Loss,Depreciation,,1,,,,2,,,,,,,,,,,,
Profit & Loss,Profit before tax,,20,,,,35,,,,,,,,,,,,
Profit & Loss,Tax %,,24%,,,,25%,,,,,,,,,,,,
Profit & Loss,Net Profit,,16,,,,26,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,8.35,,,,14.17,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,19,,,,19,,,,,,,,,,,,
Balance Sheet,Reserves,,16,,,,43,,,,,,,,,,,,
Balance Sheet,Borrowings,,2,,,,2,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,23,,,,50,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,60,,,,113,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,4,,,,7,,,,,,,,,,,,
Balance Sheet,CWIP,,0,,,,0,,,,,,,,,,,,
Balance Sheet,Investments,,18,,,,20,,,,,,,,,,,,
Balance Sheet,Other Assets,,38,,,,86,,,,,,,,,,,,
Balance Sheet,Total Assets,,60,,,,113,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,10,,,,24,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-14,,,,-6,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,2,,,,-0,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-2,,,,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,99,,,,128,,,,,,,,,,,,
Ratios,Inventory Days,,0,,,,0,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,99,,,,128,,,,,,,,,,,,
Ratios,Working Capital Days,,29,,,,78,,,,,,,,,,,,
Ratios,ROCE %,,,,,,70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,47.25%,47.29%,47.29%,47.37%,47.37%,47.37%,47.27%,47.23%,47.23%,47.23%,47.23%,47.23%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.01%,0.00%,0.01%,0.01%,0.11%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,52.74%,52.70%,52.70%,52.61%,52.50%,52.61%,52.73%,52.77%,52.76%,52.76%,52.77%,52.78%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,7000,7522,8105,10150,10288,9975,67,77,135,1629,3023,6475,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,47.29%,,,,47.37%,,,,47.23%,,,46.62%,47.24%,47.24%,47.24%,47.31%,47.38%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.02%,,,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,52.70%,,,,52.61%,,,,52.76%,,,53.38%,52.76%,52.76%,52.76%,52.69%,52.62%
Shareholding Pattern (Yearly),No. of Shareholders,,7522,,,,9975,,,,1629,,,97,86,80,75,79,66
,,,,,,,,,,,,,,,,,,,
