Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,224,229,354,373,424,617,691,727,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,174,208,328,354,382,530,606,629,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,51,22,26,19,42,87,86,98,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,23%,9%,7%,5%,10%,14%,12%,14%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,16,9,15,7,10,13,10,9,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,9,11,20,22,23,25,32,35,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,12,19,21,21,22,24,26,30,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,46,1,0,-17,7,52,39,42,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,36%,121%,512%,6%,53%,31%,25%,28%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,30,-0,-1,-18,3,35,29,30,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,19.65,20.93,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,13%,0%,0%,0%,39%,11%,1%,1%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,15,15,15,15,15,16,16,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,107,107,107,90,93,132,163,190,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,186,268,270,309,271,316,372,364,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,48,68,86,58,76,98,97,109,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,356,458,478,472,455,561,648,679,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,187,281,285,270,258,267,278,382,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,20,7,0,1,1,10,90,1,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,1,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,148,169,193,201,196,283,276,295,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,356,458,478,472,455,561,648,679,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-10,33,33,-9,67,24,85,97,,,,,,,,,,,,,,,,,,
