Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2015
Quarterly Results,Sales,128,150,95,79,73,105,63,94,137,128,115,116,116,,,,,,,,,
Quarterly Results,Expenses,1181,165,110,84,166,147,104,134,170,79,73,83,69,,,,,,,,,
Quarterly Results,Operating Profit,-1053,-15,-15,-5,-93,-42,-40,-39,-33,50,42,33,47,,,,,,,,,
Quarterly Results,OPM %,-820%,-10%,-16%,-7%,-128%,-40%,-63%,-42%,-24%,39%,37%,28%,41%,,,,,,,,,
Quarterly Results,Other Income,8,92,103,11,18,14,12,12,10,25,158,4,5,,,,,,,,,
Quarterly Results,Interest,269,277,270,275,287,276,265,274,277,273,277,279,280,,,,,,,,,
Quarterly Results,Depreciation,34,12,12,12,11,21,23,22,31,33,33,27,25,,,,,,,,,
Quarterly Results,Profit before tax,-1347,-212,-194,-282,-373,-325,-316,-324,-330,-231,-110,-270,-253,,,,,,,,,
Quarterly Results,Tax %,-0%,1%,7%,2%,2%,2%,0%,1%,3%,3%,5%,2%,3%,,,,,,,,,
Quarterly Results,Net Profit,-1345,-213,-208,-287,-381,-333,-318,-327,-340,-238,-115,-277,-260,,,,,,,,,
Quarterly Results,EPS in Rs,-230.51,-36.47,-35.56,-49.24,-65.21,-57.10,-54.43,-55.99,-58.28,-40.72,-19.76,-47.38,-44.52,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,598,,,,397,,,,400,,,,476,3936,4041,3335,1758,1467,848,974,1069,
Profit & Loss,Expenses,1580,,,,528,,,,556,,,,304,1732,1662,1443,851,2053,4369,8340,2018,
Profit & Loss,Operating Profit,-982,,,,-131,,,,-156,,,,172,2204,2379,1892,907,-586,-3520,-7365,-949,
Profit & Loss,OPM %,-164%,,,,-33%,,,,-39%,,,,36%,56%,59%,57%,52%,-40%,-415%,-756%,-89%,
Profit & Loss,Other Income,69,,,,225,,,,48,,,,192,31,44,21,15,14,113,13,257,
Profit & Loss,Interest,1097,,,,1110,,,,1092,,,,1110,1141,1091,1038,1090,1282,1137,1203,1106,
Profit & Loss,Depreciation,145,,,,47,,,,97,,,,118,548,598,902,701,665,675,845,195,
Profit & Loss,Profit before tax,-2154,,,,-1063,,,,-1297,,,,-864,546,734,-27,-870,-2518,-5220,-9401,-1992,
Profit & Loss,Tax %,1%,,,,3%,,,,2%,,,,3%,28%,26%,806%,20%,4%,1%,-5%,-1%,
Profit & Loss,Net Profit,-2177,,,,-1091,,,,-1318,,,,-889,393,545,-241,-1041,-2606,-5273,-8973,-1973,
Profit & Loss,EPS in Rs,-373.01,,,,-186.88,,,,-225.79,,,,-152.38,90.33,94.35,-41.30,-178.33,-446.58,-903.52,-1537.32,-337.96,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,4%,4%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,9,12,12,12,12,12,12,12,
Balance Sheet,Reserves,-19524,,,,-22308,,,,-23884,,,,-25414,3877,5408,3682,2624,7,-5320,-15332,-16834,
Balance Sheet,Borrowings,15249,,,,15135,,,,15308,,,,15697,14842,14341,14716,14005,13740,14351,15688,15185,
Balance Sheet,Other Liabilities,7232,,,,8889,,,,10079,,,,11238,1320,1212,1820,2087,3179,4615,5643,6257,
Balance Sheet,Total Liabilities,2968,,,,1727,,,,1515,,,,1533,20047,20973,20229,18728,16938,13657,6011,4619,
Balance Sheet,Fixed Assets,704,,,,693,,,,669,,,,651,17866,18363,17197,16203,14369,11262,4052,3191,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,19,0,9,0,6,0,0,
Balance Sheet,Investments,23,,,,23,,,,22,,,,22,8,13,16,27,27,26,23,23,
Balance Sheet,Other Assets,2241,,,,1010,,,,824,,,,860,2173,2578,3016,2488,2542,2363,1935,1405,
Balance Sheet,Total Assets,2968,,,,1727,,,,1515,,,,1533,20047,20973,20229,18728,16938,13657,6011,4619,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-434,,,,130,,,,-72,,,,139,2992,-664,1299,1802,396,978,-976,679,
Cash Flows,Cash from Investing Activity,206,,,,1400,,,,-11,,,,18,-1425,-921,-845,257,-68,-1590,-636,11,
Cash Flows,Cash from Financing Activity,253,,,,-1470,,,,-22,,,,-9,-1565,1559,-452,-2102,-319,656,1635,-620,
Cash Flows,Net Cash Flow,26,,,,61,,,,-105,,,,147,2,-26,3,-43,9,44,23,70,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,255,,,,301,,,,127,,,,62,119,144,254,385,466,479,411,184,
Ratios,Inventory Days,,,,,,,,,,,,,935,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,1422,,,,,,,,,
Ratios,Cash Conversion Cycle,255,,,,301,,,,127,,,,-425,119,144,254,385,466,479,411,184,
Ratios,Working Capital Days,-3913,,,,-7556,,,,-8727,,,,-8334,-235,23,18,-271,-3450,-6962,-7300,-6901,
Ratios,ROCE %,,,,,,,,,,,,,,9%,9%,5%,1%,-8%,-36%,-174%,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,46.00%,46.00%,46.00%,46.00%,46.00%,46.00%,46.00%,46.00%,46.00%,46.00%,46.00%,46.00%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.10%,0.11%,0.09%,0.17%,0.12%,0.08%,0.09%,0.43%,0.08%,0.12%,0.13%,0.12%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.87%,1.86%,1.86%,1.86%,1.86%,1.86%,1.71%,1.71%,1.71%,1.71%,1.71%,0.96%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,52.03%,52.04%,52.05%,51.98%,52.02%,52.06%,52.20%,51.87%,52.21%,52.18%,52.16%,52.92%,,,,,,,,,
