Section,,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,178,218,213,237,266,235,257,235,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,141,169,174,199,207,177,184,167,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,37,49,39,38,59,58,73,68,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,21%,23%,18%,16%,22%,25%,28%,29%,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,2,1,3,3,3,2,18,3,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,4,4,4,3,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,6,6,6,6,6,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,29,41,32,32,52,51,82,61,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,34%,35%,31%,40%,30%,-9%,26%,19%,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,19,27,22,19,37,55,60,49,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.78,5.23,4.36,3.71,7.19,10.77,11.85,9.65,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,846,,,,993,197,214,236,288,366,446,476,484,501,616,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,682,,,,736,175,183,205,245,308,361,390,393,405,499,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,164,,,,257,21,32,31,42,58,85,87,91,95,118,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,19%,,,,26%,11%,15%,13%,15%,16%,19%,18%,19%,19%,19%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,6,,,,26,6,6,2,3,1,2,2,3,3,4,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,15,,,,10,12,12,10,12,13,12,10,8,8,8,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,23,,,,27,7,9,9,9,10,10,11,13,14,16,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,133,,,,246,8,18,14,24,36,65,67,73,75,97,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,35%,,,,18%,33%,28%,24%,27%,33%,33%,32%,31%,31%,32%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,86,,,,201,6,13,14,18,24,43,45,50,52,66,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,16.88,,,,39.47,1.10,2.51,2.74,3.45,4.75,8.48,8.85,9.81,10.16,12.94,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,19%,,,,20%,36%,24%,22%,23%,21%,19%,18%,41%,20%,22%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,10,,,,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,369,,,,526,56,64,75,88,106,140,174,199,246,299,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,165,,,,87,133,114,120,123,146,151,135,111,120,181,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,218,,,,160,54,51,52,60,78,98,93,95,147,159,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,763,,,,783,254,238,258,282,341,398,412,416,522,649,,,,,,,,,,,,,,
