Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2013,Sep 2014,Mar 201618m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,71.69,81.68,75.44,74.23,81.98,78.80,76.65,83.24,81.61,74.08,82.55,80.72,67.52,,,,,,,,,
Quarterly Results,Expenses,59.15,67.09,61.25,59.10,65.16,64.36,62.74,66.92,66.89,61.76,71.71,68.54,61.08,,,,,,,,,
Quarterly Results,Operating Profit,12.54,14.59,14.19,15.13,16.82,14.44,13.91,16.32,14.72,12.32,10.84,12.18,6.44,,,,,,,,,
Quarterly Results,OPM %,17.49%,17.86%,18.81%,20.38%,20.52%,18.32%,18.15%,19.61%,18.04%,16.63%,13.13%,15.09%,9.54%,,,,,,,,,
Quarterly Results,Other Income,1.54,0.29,0.74,0.72,0.85,0.38,0.44,1.13,0.88,0.16,1.19,1.57,2.64,,,,,,,,,
Quarterly Results,Interest,1.83,1.93,1.93,1.80,2.07,1.54,1.68,1.91,1.44,1.08,1.41,1.51,1.52,,,,,,,,,
Quarterly Results,Depreciation,7.02,6.28,6.71,6.84,7.95,5.22,5.12,5.85,5.95,5.29,5.18,5.26,6.43,,,,,,,,,
Quarterly Results,Profit before tax,5.23,6.67,6.29,7.21,7.65,8.06,7.55,9.69,8.21,6.11,5.44,6.98,1.13,,,,,,,,,
Quarterly Results,Tax %,42.07%,29.24%,28.93%,30.65%,26.01%,28.91%,24.64%,36.53%,25.70%,25.37%,24.63%,29.08%,461.06%,,,,,,,,,
Quarterly Results,Net Profit,3.03,4.72,4.47,5.00,5.66,5.73,5.69,6.15,6.10,4.56,4.10,4.95,-4.08,,,,,,,,,
Quarterly Results,EPS in Rs,1.33,2.07,1.96,2.19,2.48,2.51,2.49,2.70,2.67,2.00,1.80,2.17,-1.79,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,260,,,,313,,,,320,,,,305,135,123,200,144,150,191,220,226,
Profit & Loss,Expenses,209,,,,252,,,,260,,,,262,133,124,178,125,124,155,170,181,
Profit & Loss,Operating Profit,51,,,,62,,,,60,,,,43,2,-1,22,18,25,36,50,45,
Profit & Loss,OPM %,19%,,,,20%,,,,19%,,,,14%,1%,-1%,11%,13%,17%,19%,23%,20%,
Profit & Loss,Other Income,5,,,,3,,,,3,,,,5,0,19,5,5,6,4,4,3,
Profit & Loss,Interest,8,,,,9,,,,7,,,,6,10,7,13,8,6,7,13,10,
Profit & Loss,Depreciation,25,,,,28,,,,22,,,,22,9,9,11,8,9,13,20,22,
Profit & Loss,Profit before tax,23,,,,28,,,,34,,,,20,-17,2,2,7,15,20,20,16,
Profit & Loss,Tax %,31%,,,,29%,,,,29%,,,,52%,-2%,24%,0%,9%,20%,-11%,29%,22%,
Profit & Loss,Net Profit,16,,,,20,,,,24,,,,10,-17,2,2,6,12,22,14,12,
Profit & Loss,EPS in Rs,7.05,,,,8.70,,,,10.37,,,,4.18,-7.29,0.85,0.97,2.75,5.31,9.77,6.30,5.42,
Profit & Loss,Dividend Payout %,26%,,,,23%,,,,21%,,,,24%,0%,0%,0%,0%,0%,15%,19%,22%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,23,,,,23,,,,23,,,,23,23,23,,23,23,23,23,23,23
Balance Sheet,Reserves,66,,,,82,,,,101,,,,105,-7,-6,,-1,11,33,43,53,-7
Balance Sheet,Borrowings,81,,,,63,,,,57,,,,53,81,66,,57,50,82,121,90,85
Balance Sheet,Other Liabilities,93,,,,95,,,,102,,,,107,67,63,,52,78,99,93,72,55
Balance Sheet,Total Liabilities,263,,,,262,,,,282,,,,287,164,146,,131,162,237,280,238,156
Balance Sheet,Fixed Assets,110,,,,95,,,,87,,,,78,37,35,,36,51,87,117,108,28
Balance Sheet,CWIP,3,,,,1,,,,10,,,,9,1,3,,3,5,17,3,4,6
Balance Sheet,Investments,0,,,,0,,,,4,,,,4,8,8,,5,6,0,0,0,9
Balance Sheet,Other Assets,150,,,,165,,,,181,,,,197,118,99,,87,101,134,160,126,113
Balance Sheet,Total Assets,263,,,,262,,,,282,,,,287,164,146,,131,162,237,280,238,156
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,51,,,,58,,,,45,,,,20,26,33,,38,32,21,33,54,3
Cash Flows,Cash from Investing Activity,-18,,,,-25,,,,-19,,,,-17,-8,-7,,-3,-14,-45,-40,-8,-8
Cash Flows,Cash from Financing Activity,-19,,,,-33,,,,-20,,,,-11,-18,-24,,-40,-12,25,4,-47,5
Cash Flows,Net Cash Flow,14,,,,1,,,,6,,,,-8,-1,1,,-5,6,2,-2,-1,0
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,109,,,,96,,,,97,,,,128,152,114,,85,134,115,117,102,79
Ratios,Inventory Days,129,,,,153,,,,268,,,,415,132,145,,130,176,85,123,148,69
Ratios,Days Payable,437,,,,324,,,,364,,,,632,292,341,,340,644,391,443,455,268
Ratios,Cash Conversion Cycle,-198,,,,-75,,,,0,,,,-90,-8,-81,,-125,-334,-191,-203,-205,-120
Ratios,Working Capital Days,21,,,,37,,,,32,,,,55,98,53,,17,-15,-24,-1,22,52
Ratios,ROCE %,18%,,,,22%,,,,23%,,,,14%,-6%,5%,,17%,26%,25%,20%,14%,15%
