Section,,Mar 2017,Mar 2022,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Jun 2019
Quarterly Results,Sales,48,0,0,0,0,1,2,2,2,8,17,28,20,,,,,,,,,
Quarterly Results,Expenses,74,0,0,1,0,1,1,1,7,2,4,13,9,,,,,,,,,
Quarterly Results,Operating Profit,-27,-0,-0,-1,-0,-0,1,1,-5,6,13,16,11,,,,,,,,,
Quarterly Results,OPM %,-56%,,,,,-23%,42%,40%,-253%,74%,76%,55%,55%,,,,,,,,,
Quarterly Results,Other Income,6,0,0,-0,45,1,3,0,2,2,0,1,-0,,,,,,,,,
Quarterly Results,Interest,4,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
Quarterly Results,Depreciation,7,3,0,2,2,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Profit before tax,-30,-4,-0,-3,42,0,4,0,-4,8,13,16,10,,,,,,,,,
Quarterly Results,Tax %,3%,0%,0%,0%,0%,0%,0%,0%,-138%,5%,-1%,6%,-2%,,,,,,,,,
Quarterly Results,Net Profit,-31,-4,-0,-3,42,0,4,0,1,8,13,16,10,,,,,,,,,
Quarterly Results,EPS in Rs,-1.87,-0.21,-0.01,-0.16,13.40,0.04,1.12,0.11,0.36,1.89,3.23,3.89,2.61,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,208,0,,,0,,,,6,,,,74,304,200,416,358,196,158,168,,
Profit & Loss,Expenses,163,1,,,1,,,,4,,,,28,271,201,334,230,104,91,128,,
Profit & Loss,Operating Profit,44,-1,,,-1,,,,2,,,,46,34,-1,82,128,93,67,40,,
Profit & Loss,OPM %,21%,,,,,,,,35%,,,,62%,11%,-0%,20%,36%,47%,42%,24%,,
Profit & Loss,Other Income,-3,0,,,45,,,,0,,,,3,22,47,15,-24,-18,10,1,,
Profit & Loss,Interest,10,0,,,0,,,,1,,,,1,18,21,23,21,15,12,13,,
Profit & Loss,Depreciation,42,14,,,8,,,,1,,,,0,10,13,19,21,22,21,36,,
Profit & Loss,Profit before tax,-12,-14,,,36,,,,0,,,,48,27,12,55,62,38,44,-8,,
Profit & Loss,Tax %,-5%,0%,,,0%,,,,-2042%,,,,2%,41%,63%,14%,2%,6%,8%,12%,,
Profit & Loss,Net Profit,-11,-14,,,36,,,,6,,,,46,16,4,47,61,36,41,-9,,
Profit & Loss,EPS in Rs,-0.66,-0.85,,,11.43,,,,1.39,,,,11.62,0.96,0.26,2.81,3.63,2.13,2.45,-0.51,,
Profit & Loss,Dividend Payout %,0%,0%,,,0%,,,,0%,,,,0%,16%,59%,5%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,17,17,,,3,,,,4,,,,4,17,17,17,17,17,17,17,,
Balance Sheet,Reserves,573,25,,,174,,,,217,,,,268,227,224,259,333,374,428,566,,
Balance Sheet,Borrowings,58,131,,,18,,,,1,,,,165,186,183,166,139,66,61,64,,
Balance Sheet,Other Liabilities,105,165,,,6,,,,5,,,,24,97,67,180,121,97,98,146,,
Balance Sheet,Total Liabilities,753,338,,,201,,,,227,,,,461,527,492,621,609,554,603,793,,
Balance Sheet,Fixed Assets,324,66,,,58,,,,3,,,,1,113,218,207,216,201,189,289,,
Balance Sheet,CWIP,0,0,,,0,,,,47,,,,222,101,2,1,1,13,19,0,,
Balance Sheet,Investments,0,20,,,0,,,,15,,,,27,0,0,0,0,0,0,0,,
Balance Sheet,Other Assets,429,253,,,143,,,,164,,,,211,312,272,412,392,340,395,503,,
Balance Sheet,Total Assets,753,338,,,201,,,,227,,,,461,527,492,621,609,554,603,793,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-8,-1,,,-4,,,,4,,,,10,-13,38,58,62,89,20,22,,
Cash Flows,Cash from Investing Activity,22,0,,,0,,,,-24,,,,-167,-7,-15,-12,-10,-2,-5,-6,,
Cash Flows,Cash from Financing Activity,-13,1,,,5,,,,20,,,,164,10,-28,-43,-51,-88,-17,-18,,
Cash Flows,Net Cash Flow,1,-0,,,0,,,,-0,,,,8,-9,-4,2,2,-1,-2,-2,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,407,,,,,,,,7972,,,,974,266,334,191,195,326,553,636,,
Ratios,Inventory Days,,,,,,,,,0,,,,0,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,407,,,,,,,,7972,,,,974,266,334,191,195,326,553,636,,
Ratios,Working Capital Days,480,,,,,,,,8618,,,,994,208,254,138,219,383,578,657,,
Ratios,ROCE %,4%,,,,-4%,,,,1%,,,,15%,9%,5%,18%,26%,17%,12%,1%,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,54.83%,94.98%,94.98%,94.98%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,,,,,,,,54.83%,54.83%
Shareholding Pattern (Quarterly),FIIs,,,,0.00%,0.00%,0.00%,0.00%,12.82%,12.82%,12.82%,12.82%,12.82%,4.57%,,,,,,,,0.00%,0.00%
