Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Quarterly Results,Sales,554,539,476,489,480,557,520,513,593,620,629,644,702,,,,,,,,,
Quarterly Results,Expenses,449,430,380,378,393,426,418,431,508,504,532,552,592,,,,,,,,,
Quarterly Results,Operating Profit,105,108,97,111,88,130,102,82,84,116,97,92,110,,,,,,,,,
Quarterly Results,OPM %,19%,20%,20%,23%,18%,23%,20%,16%,14%,19%,15%,14%,16%,,,,,,,,,
Quarterly Results,Other Income,15,8,12,28,6,14,17,25,24,30,35,6,29,,,,,,,,,
Quarterly Results,Interest,4,6,6,8,7,11,10,9,9,11,14,12,18,,,,,,,,,
Quarterly Results,Depreciation,17,15,16,15,18,16,17,17,18,24,25,29,30,,,,,,,,,
Quarterly Results,Profit before tax,99,95,87,115,68,118,92,81,81,111,93,58,92,,,,,,,,,
Quarterly Results,Tax %,27%,21%,24%,24%,26%,23%,24%,24%,29%,24%,23%,28%,27%,,,,,,,,,
Quarterly Results,Net Profit,72,75,66,87,50,91,70,61,57,84,71,41,66,,,,,,,,,
Quarterly Results,EPS in Rs,28.76,29.11,25.75,34.21,21.43,37.05,28.73,25.39,23.90,35.04,30.12,17.69,28.73,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1911,,,,1985,,,,2182,,,,2596,1040,1029,921,936,1184,1313,1352,1295,
Profit & Loss,Expenses,1519,,,,1581,,,,1783,,,,2180,905,894,770,790,1010,1116,1148,1092,
Profit & Loss,Operating Profit,392,,,,403,,,,399,,,,415,135,135,151,146,175,198,204,203,
Profit & Loss,OPM %,21%,,,,20%,,,,18%,,,,16%,13%,13%,16%,16%,15%,15%,15%,16%,
Profit & Loss,Other Income,52,,,,54,,,,80,,,,100,27,15,32,41,47,37,45,68,
Profit & Loss,Interest,21,,,,28,,,,40,,,,55,5,9,10,19,23,32,37,29,
Profit & Loss,Depreciation,63,,,,64,,,,68,,,,108,27,32,26,24,29,38,52,68,
Profit & Loss,Profit before tax,360,,,,366,,,,372,,,,353,130,109,147,144,170,164,159,175,
Profit & Loss,Tax %,24%,,,,24%,,,,25%,,,,26%,31%,31%,32%,30%,29%,27%,21%,23%,
Profit & Loss,Net Profit,274,,,,278,,,,279,,,,263,90,75,100,101,120,119,126,134,
Profit & Loss,EPS in Rs,109.31,,,,116.32,,,,115.06,,,,111.57,28.43,23.85,38.17,39.14,48.84,47.73,50.18,53.19,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,18%,18%,21%,8%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,24,,,,23,,,,23,,,,23,32,32,26,26,24,24,24,24,
Balance Sheet,Reserves,1312,,,,1393,,,,1652,,,,1750,537,589,555,663,684,803,920,1048,
Balance Sheet,Borrowings,506,,,,656,,,,675,,,,846,159,222,334,345,514,642,658,467,
Balance Sheet,Other Liabilities,268,,,,292,,,,342,,,,378,149,147,91,120,164,157,214,237,
Balance Sheet,Total Liabilities,2111,,,,2364,,,,2692,,,,2996,876,991,1006,1154,1387,1626,1816,1776,
Balance Sheet,Fixed Assets,420,,,,438,,,,738,,,,855,150,158,163,203,245,319,480,424,
Balance Sheet,CWIP,17,,,,40,,,,14,,,,33,0,4,12,17,53,54,20,12,
Balance Sheet,Investments,420,,,,331,,,,410,,,,435,146,196,268,279,237,263,271,334,
Balance Sheet,Other Assets,1253,,,,1555,,,,1531,,,,1673,580,633,563,655,851,989,1044,1005,
Balance Sheet,Total Assets,2111,,,,2364,,,,2692,,,,2996,876,991,1006,1154,1387,1626,1816,1776,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,108,,,,136,,,,308,,,,276,35,64,145,54,-27,26,201,258,
Cash Flows,Cash from Investing Activity,-132,,,,22,,,,-338,,,,-185,-50,-91,-42,-49,-41,-117,-165,-30,
Cash Flows,Cash from Financing Activity,20,,,,-61,,,,-21,,,,-45,19,39,-67,-7,53,98,-25,-215,
Cash Flows,Net Cash Flow,-4,,,,97,,,,-52,,,,47,3,13,35,-2,-14,8,12,13,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,87,,,,77,,,,76,,,,76,98,86,72,74,85,91,92,97,
Ratios,Inventory Days,249,,,,371,,,,271,,,,221,108,148,187,298,259,291,357,316,
Ratios,Days Payable,64,,,,68,,,,35,,,,34,42,45,14,39,36,27,45,77,
Ratios,Cash Conversion Cycle,272,,,,380,,,,312,,,,263,164,190,244,334,308,354,404,337,
Ratios,Working Capital Days,176,,,,200,,,,185,,,,172,131,143,155,181,197,214,204,200,
Ratios,ROCE %,22%,,,,20%,,,,19%,,,,16%,18%,15%,18%,17%,17%,15%,13%,12%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.68%,74.68%,74.68%,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.74%,74.74%,74.74%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.69%,0.70%,0.77%,0.77%,0.60%,0.69%,0.65%,0.63%,0.69%,0.62%,0.45%,0.39%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,3.75%,3.80%,4.02%,4.53%,4.10%,4.17%,4.05%,3.97%,6.31%,6.85%,6.92%,7.02%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,20.89%,20.82%,20.54%,20.08%,20.68%,20.52%,20.68%,20.77%,18.37%,17.78%,17.87%,17.83%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,12609,12733,20638,11460,12693,12919,13185,13783,14416,74905,66319,60163,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.68%,,,,74.61%,,,,74.61%,,,,74.74%,,,,75.00%,73.12%,73.26%,74.68%,74.68%,76.03%
Shareholding Pattern (Yearly),FIIs,0.68%,,,,0.77%,,,,0.63%,,,,0.39%,,,,1.37%,1.58%,1.59%,0.00%,0.04%,0.00%
Shareholding Pattern (Yearly),DIIs,3.61%,,,,4.53%,,,,3.97%,,,,7.02%,,,,4.20%,3.72%,3.18%,3.66%,3.24%,2.08%
