Section,,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Mar 2018,Mar 2019,TTM
Quarterly Results,Sales,299,312,283,246,95,105,116,150,129,163,183,134,67,,,
Quarterly Results,Expenses,242,248,218,180,92,110,108,111,113,140,139,102,78,,,
Quarterly Results,Operating Profit,57,64,65,66,3,-5,8,39,16,24,43,32,-11,,,
Quarterly Results,OPM %,19%,20%,23%,27%,4%,-5%,6%,26%,12%,14%,24%,24%,-17%,,,
Quarterly Results,Other Income,1,1,13,-11,10,2,16,5,7,7,11,-622,11,,,
Quarterly Results,Interest,16,16,24,25,25,25,25,24,23,20,21,15,15,,,
Quarterly Results,Depreciation,39,41,41,45,44,41,40,40,42,38,38,19,14,,,
Quarterly Results,Profit before tax,3,9,14,-15,-55,-69,-41,-19,-43,-27,-4,-624,-30,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
Quarterly Results,Net Profit,-8,3,14,-15,-55,-69,-41,-19,-43,-27,-4,-624,-30,,,
Quarterly Results,EPS in Rs,-1.91,0.68,3.14,-3.32,-12.63,-15.67,-9.41,-4.31,-9.71,-6.10,-0.98,-142.24,-6.84,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1141,,,,466,,,,609,,938,1228,547
Profit & Loss,Expenses,,,,886,,,,413,,,,495,,854,1107,460
Profit & Loss,Operating Profit,,,,255,,,,54,,,,114,,84,121,87
Profit & Loss,OPM %,,,,22%,,,,12%,,,,19%,,9%,10%,16%
Profit & Loss,Other Income,,,,3,,,,25,,,,-596,,13,6,-593
Profit & Loss,Interest,,,,81,,,,98,,,,79,,16,18,71
Profit & Loss,Depreciation,,,,166,,,,165,,,,137,,50,45,109
Profit & Loss,Profit before tax,,,,11,,,,-184,,,,-698,,31,64,-685
Profit & Loss,Tax %,,,,0%,,,,0%,,,,0%,,0%,0%,
Profit & Loss,Net Profit,,,,-6,,,,-184,,,,-698,,30,62,-685
Profit & Loss,EPS in Rs,,,,-1.31,,,,-42.01,,,,-159.04,,7.61,15.35,-156.16
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,,13%,8%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,44,,,,44,,,,44,,40,40,
Balance Sheet,Reserves,,,,699,,,,514,,,,-184,,440,502,
Balance Sheet,Borrowings,,,,916,,,,812,,,,543,,33,218,
Balance Sheet,Other Liabilities,,,,390,,,,416,,,,362,,260,366,
Balance Sheet,Total Liabilities,,,,2049,,,,1786,,,,764,,773,1126,
Balance Sheet,Fixed Assets,,,,834,,,,698,,,,412,,318,420,
Balance Sheet,CWIP,,,,6,,,,0,,,,0,,3,55,
Balance Sheet,Investments,,,,0,,,,0,,,,0,,9,7,
Balance Sheet,Other Assets,,,,1210,,,,1088,,,,353,,442,644,
Balance Sheet,Total Assets,,,,2049,,,,1786,,,,764,,773,1126,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-192,,,,207,,,,145,,93,64,
Cash Flows,Cash from Investing Activity,,,,-331,,,,0,,,,15,,91,-182,
Cash Flows,Cash from Financing Activity,,,,408,,,,-208,,,,-160,,-156,163,
Cash Flows,Net Cash Flow,,,,-116,,,,-0,,,,-0,,27,46,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,261,,,,576,,,,115,,101,110,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,261,,,,576,,,,115,,101,110,
Ratios,Working Capital Days,,,,174,,,,463,,,,-48,,10,6,
Ratios,ROCE %,,,,9%,,,,-5%,,,,6%,,,13%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,52.42%,47.89%,47.89%,47.89%,23.39%,23.39%,23.09%,23.09%,23.09%,23.09%,22.62%,21.95%,,,
Shareholding Pattern (Quarterly),FIIs,,4.73%,3.10%,3.09%,3.09%,0.02%,0.02%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),DIIs,,17.66%,15.98%,15.33%,13.01%,0.82%,0.05%,0.06%,0.06%,0.05%,0.06%,0.06%,0.06%,,,
Shareholding Pattern (Quarterly),Public,,25.19%,33.03%,33.69%,36.01%,75.77%,76.53%,76.85%,76.85%,76.85%,76.85%,77.32%,77.99%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,29817,28566,28292,31733,54607,53005,50799,50127,48673,48916,49777,49177,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,47.89%,,,,23.09%,,,,22.62%,21.95%,52.47%,52.43%,
Shareholding Pattern (Yearly),FIIs,,,,3.09%,,,,0.00%,,,,0.00%,0.00%,5.71%,4.61%,
Shareholding Pattern (Yearly),DIIs,,,,15.33%,,,,0.06%,,,,0.06%,0.06%,18.34%,18.51%,
Shareholding Pattern (Yearly),Public,,,,33.69%,,,,76.85%,,,,77.32%,77.99%,23.48%,24.45%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,28292,,,,50799,,,,49777,49177,39664,31362,
,,,,,,,,,,,,,,,,,
