Section,,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Half Yearly Results,Sales,19,32,25,45,52,51,74,128,,,,
Half Yearly Results,Expenses,17,28,21,39,45,44,62,119,,,,
Half Yearly Results,Operating Profit,3,4,4,6,6,7,12,10,,,,
Half Yearly Results,OPM %,14%,13%,16%,14%,12%,13%,16%,8%,,,,
Half Yearly Results,Other Income,0,0,0,1,2,0,2,2,,,,
Half Yearly Results,Interest,1,1,0,0,1,0,0,1,,,,
Half Yearly Results,Depreciation,1,1,1,1,1,1,2,3,,,,
Half Yearly Results,Profit before tax,2,3,3,6,7,6,11,9,,,,
Half Yearly Results,Tax %,34%,18%,27%,27%,25%,21%,26%,38%,,,,
Half Yearly Results,Net Profit,1,2,2,4,5,4,8,5,,,,
Half Yearly Results,EPS in Rs,0.69,1.21,1.18,2.16,2.26,1.94,3.72,2.35,,,,
Half Yearly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,52,,70,,103,,202,50,44,28,
Profit & Loss,Expenses,,45,,60,,90,,181,47,40,25,
Profit & Loss,Operating Profit,,7,,10,,13,,21,3,4,3,
Profit & Loss,OPM %,,13%,,15%,,13%,,10%,7%,8%,11%,
Profit & Loss,Other Income,,0,,1,,2,,4,0,0,0,
Profit & Loss,Interest,,2,,1,,1,,1,1,1,1,
Profit & Loss,Depreciation,,1,,1,,2,,4,2,2,2,
Profit & Loss,Profit before tax,,4,,9,,12,,20,1,1,1,
Profit & Loss,Tax %,,24%,,27%,,21%,,31%,39%,26%,35%,
Profit & Loss,Net Profit,,3,,7,,10,,14,1,1,1,
Profit & Loss,EPS in Rs,,1.68,,3.36,,4.31,,6.07,0.45,0.66,0.46,
Profit & Loss,Dividend Payout %,,3%,,5%,,5%,,4%,38%,0%,0%,
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,20,,20,,22,,22,15,15,15,
Balance Sheet,Reserves,,22,,45,,100,,113,3,5,5,
Balance Sheet,Borrowings,,11,,10,,6,,13,9,11,13,
Balance Sheet,Other Liabilities,,1,,2,,6,,25,7,2,3,
Balance Sheet,Total Liabilities,,54,,76,,135,,173,33,32,36,
Balance Sheet,Fixed Assets,,13,,15,,22,,34,16,15,14,
Balance Sheet,CWIP,,0,,0,,0,,2,0,0,0,
Balance Sheet,Investments,,1,,1,,1,,1,1,0,1,
Balance Sheet,Other Assets,,40,,61,,112,,136,16,17,21,
Balance Sheet,Total Assets,,54,,76,,135,,173,33,32,36,
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,4,,-29,,-34,,46,-0,3,4,
Cash Flows,Cash from Investing Activity,,-1,,-2,,-10,,-29,1,-0,-1,
Cash Flows,Cash from Financing Activity,,16,,13,,46,,-9,-3,-3,-2,
Cash Flows,Net Cash Flow,,20,,-18,,3,,8,-2,-0,1,
,,,,,,,,,,,,,
Ratios,Debtor Days,,3,,22,,40,,41,56,21,8,
Ratios,Inventory Days,,112,,188,,341,,96,61,105,166,
Ratios,Days Payable,,6,,8,,14,,19,54,18,42,
Ratios,Cash Conversion Cycle,,109,,203,,367,,118,63,108,131,
Ratios,Working Capital Days,,123,,292,,352,,136,62,117,218,
Ratios,ROCE %,,14%,,16%,,13%,,15%,,7%,6%,
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,41.88%,41.88%,41.88%,37.19%,37.19%,37.19%,37.20%,,,,37.21%
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.05%,0.00%,11.55%,11.55%,11.80%,10.13%,,,,0.87%
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.68%,,,,10.92%
Shareholding Pattern (Quarterly),Public,,58.12%,58.07%,58.12%,51.27%,51.27%,51.01%,50.99%,,,,51.00%
Shareholding Pattern (Quarterly),No. of Shareholders,,586,253,270,285,285,331,463,,,,587
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,41.88%,,41.88%,,37.19%,,37.20%,,,,37.21%
Shareholding Pattern (Yearly),FIIs,,0.00%,,0.00%,,11.55%,,10.13%,,,,0.87%
Shareholding Pattern (Yearly),DIIs,,0.00%,,0.00%,,0.00%,,1.68%,,,,10.92%
Shareholding Pattern (Yearly),Public,,58.12%,,58.12%,,51.27%,,50.99%,,,,51.00%
Shareholding Pattern (Yearly),No. of Shareholders,,586,,270,,285,,463,,,,587
,,,,,,,,,,,,,
