Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,205,234,248,237,217,188,181,195,228,224,238,241,264,,,,
Quarterly Results,Expenses,121,143,150,129,112,112,106,108,133,129,148,142,159,,,,
Quarterly Results,Operating Profit,84,91,97,108,105,76,75,87,95,95,90,98,105,,,,
Quarterly Results,OPM %,41%,39%,39%,46%,48%,40%,41%,44%,42%,42%,38%,41%,40%,,,,
Quarterly Results,Other Income,7,2,3,13,13,13,6,8,14,10,11,5,12,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
Quarterly Results,Depreciation,7,8,9,9,10,11,11,11,13,16,18,18,17,,,,
Quarterly Results,Profit before tax,84,85,92,112,108,79,69,83,95,89,83,85,100,,,,
Quarterly Results,Tax %,26%,26%,26%,25%,25%,25%,25%,25%,26%,26%,29%,23%,26%,,,,
Quarterly Results,Net Profit,62,63,68,84,81,59,52,63,70,66,59,66,74,,,,
Quarterly Results,EPS in Rs,5.87,5.92,6.40,7.89,7.58,5.55,4.91,5.89,6.61,6.20,5.53,6.18,6.97,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,685,,,,936,,,,791,,,,967,241,393,419,512
Profit & Loss,Expenses,385,,,,533,,,,459,,,,579,167,257,234,253
Profit & Loss,Operating Profit,300,,,,403,,,,332,,,,388,74,137,186,260
Profit & Loss,OPM %,44%,,,,43%,,,,42%,,,,40%,31%,35%,44%,51%
Profit & Loss,Other Income,30,,,,30,,,,41,,,,39,5,11,11,25
Profit & Loss,Interest,0,,,,1,,,,1,,,,0,1,0,0,0
Profit & Loss,Depreciation,25,,,,36,,,,46,,,,69,8,11,14,17
Profit & Loss,Profit before tax,305,,,,396,,,,326,,,,357,70,137,182,267
Profit & Loss,Tax %,25%,,,,25%,,,,25%,,,,26%,30%,28%,23%,26%
Profit & Loss,Net Profit,228,,,,295,,,,244,,,,264,49,98,140,198
Profit & Loss,EPS in Rs,21.51,,,,27.78,,,,22.97,,,,24.88,345.41,689.84,1051.67,18.68
Profit & Loss,Dividend Payout %,15%,,,,18%,,,,22%,,,,24%,12%,15%,2%,134%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,1,1,1,11
Balance Sheet,Reserves,758,,,,999,,,,1193,,,,1406,186,271,341,529
Balance Sheet,Borrowings,0,,,,2,,,,2,,,,2,1,3,3,0
Balance Sheet,Other Liabilities,156,,,,140,,,,191,,,,189,48,53,85,120
Balance Sheet,Total Liabilities,925,,,,1152,,,,1396,,,,1608,236,327,430,660
Balance Sheet,Fixed Assets,296,,,,460,,,,636,,,,715,102,127,166,186
Balance Sheet,CWIP,44,,,,20,,,,57,,,,30,2,4,3,55
Balance Sheet,Investments,191,,,,353,,,,339,,,,381,18,75,133,232
Balance Sheet,Other Assets,394,,,,318,,,,363,,,,482,114,121,128,187
Balance Sheet,Total Assets,925,,,,1152,,,,1396,,,,1608,236,327,430,660
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,127,,,,279,,,,237,,,,214,45,85,160,193
Cash Flows,Cash from Investing Activity,-79,,,,-270,,,,-186,,,,-152,-17,-94,-105,-187
Cash Flows,Cash from Financing Activity,-0,,,,-55,,,,-53,,,,-53,-5,-11,-55,-6
Cash Flows,Net Cash Flow,49,,,,-45,,,,-2,,,,10,23,-20,-0,0
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,82,,,,57,,,,76,,,,77,60,55,61,53
Ratios,Inventory Days,143,,,,122,,,,163,,,,156,93,79,98,156
Ratios,Days Payable,166,,,,90,,,,143,,,,103,85,48,101,180
Ratios,Cash Conversion Cycle,59,,,,89,,,,96,,,,129,69,87,58,29
Ratios,Working Capital Days,90,,,,68,,,,86,,,,235,60,64,35,32
Ratios,ROCE %,47%,,,,44%,,,,30%,,,,27%,,59%,59%,61%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,78.51%,78.50%,78.50%,78.50%,74.98%,74.98%,74.98%,74.98%,74.98%,74.97%,74.97%,74.96%,,,,
Shareholding Pattern (Quarterly),FIIs,,4.43%,4.43%,3.99%,3.99%,5.84%,6.01%,5.92%,5.88%,6.05%,5.83%,5.98%,6.07%,,,,
Shareholding Pattern (Quarterly),DIIs,,4.51%,4.48%,4.65%,4.76%,6.41%,5.23%,5.13%,5.04%,4.55%,4.77%,5.46%,5.77%,,,,
Shareholding Pattern (Quarterly),Public,,12.55%,12.58%,12.86%,12.74%,12.78%,13.79%,13.98%,14.11%,14.42%,14.43%,13.59%,13.21%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,270446,270616,275102,270823,266971,285259,278653,279395,273841,254629,246798,237016,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,78.51%,,,,78.50%,,,,74.98%,,,,74.96%,,,,
Shareholding Pattern (Yearly),FIIs,5.18%,,,,3.99%,,,,5.88%,,,,6.07%,,,,
Shareholding Pattern (Yearly),DIIs,4.02%,,,,4.76%,,,,5.04%,,,,5.77%,,,,
Shareholding Pattern (Yearly),Public,12.29%,,,,12.74%,,,,14.11%,,,,13.21%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,263593,,,,270823,,,,279395,,,,237016,,,,
,,,,,,,,,,,,,,,,,,
