Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Oct 2022
Quarterly Results,Sales,11.98,15.56,14.54,13.68,16.29,16.30,16.24,16.22,16.00,17.05,19.58,23.54,,,,
Quarterly Results,Expenses,7.99,8.36,9.55,6.36,10.52,10.49,10.32,10.26,11.26,11.77,13.58,13.81,,,,
Quarterly Results,Operating Profit,3.99,7.20,4.99,7.32,5.77,5.81,5.92,5.96,4.74,5.28,6.00,9.73,,,,
Quarterly Results,OPM %,33.31%,46.27%,34.32%,53.51%,35.42%,35.64%,36.45%,36.74%,29.62%,30.97%,30.64%,41.33%,,,,
Quarterly Results,Other Income,-0.68,0.02,0.53,0.65,1.20,1.24,0.41,0.31,0.75,0.59,0.19,-0.13,,,,
Quarterly Results,Interest,0.00,0.01,0.01,0.00,0.01,0.11,0.10,0.10,0.09,0.17,0.08,0.07,,,,
Quarterly Results,Depreciation,0.08,0.08,-0.04,0.25,0.12,0.32,0.32,0.33,0.26,0.25,0.27,0.27,,,,
Quarterly Results,Profit before tax,3.23,7.13,5.55,7.72,6.84,6.62,5.91,5.84,5.14,5.45,5.84,9.26,,,,
Quarterly Results,Tax %,21.36%,22.86%,34.95%,12.69%,21.78%,38.52%,22.50%,9.08%,23.54%,24.59%,27.74%,26.35%,,,,
Quarterly Results,Net Profit,2.53,5.50,3.62,6.73,5.35,4.07,4.59,5.32,3.93,4.11,4.23,6.82,,,,
Quarterly Results,EPS in Rs,2.46,5.34,2.36,3.98,3.47,2.59,4.47,5.18,3.82,4.00,4.12,6.64,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,55,,,,65,,,,76,10,21,41,
Profit & Loss,Expenses,,,,33,,,,42,,,,50,9,14,26,
Profit & Loss,Operating Profit,,,,22,,,,23,,,,26,2,7,15,
Profit & Loss,OPM %,,,,40%,,,,35%,,,,34%,18%,35%,37%,
Profit & Loss,Other Income,,,,1,,,,4,,,,1,1,0,1,
Profit & Loss,Interest,,,,0,,,,0,,,,0,0,0,0,
Profit & Loss,Depreciation,,,,0,,,,1,,,,1,0,0,0,
Profit & Loss,Profit before tax,,,,23,,,,25,,,,26,2,7,16,
Profit & Loss,Tax %,,,,35%,,,,23%,,,,26%,10%,29%,12%,
Profit & Loss,Net Profit,,,,15,,,,19,,,,19,2,5,14,
Profit & Loss,EPS in Rs,,,,9.63,,,,15.70,,,,18.57,1.96,3.03,8.70,
Profit & Loss,Dividend Payout %,,,,5%,,,,3%,,,,3%,0%,7%,2%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,10,,,,10,,,,10,3,4,4,
Balance Sheet,Reserves,,,,24,,,,20,,,,39,3,15,19,
Balance Sheet,Borrowings,,,,4,,,,5,,,,4,3,1,0,
Balance Sheet,Other Liabilities,,,,25,,,,5,,,,8,5,1,13,
Balance Sheet,Total Liabilities,,,,63,,,,40,,,,62,14,22,37,
Balance Sheet,Fixed Assets,,,,1,,,,8,,,,7,0,1,1,
Balance Sheet,CWIP,,,,7,,,,0,,,,0,0,0,0,
Balance Sheet,Investments,,,,45,,,,7,,,,17,1,6,21,
Balance Sheet,Other Assets,,,,11,,,,25,,,,38,12,15,15,
Balance Sheet,Total Assets,,,,63,,,,40,,,,62,14,22,37,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,20,,,,7,,,,18,-0,5,16,
Cash Flows,Cash from Investing Activity,,,,-30,,,,37,,,,-21,4,-5,-15,
Cash Flows,Cash from Financing Activity,,,,3,,,,-41,,,,-2,4,3,-1,
Cash Flows,Net Cash Flow,,,,-7,,,,3,,,,-5,8,3,1,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,36,,,,82,,,,100,142,62,29,
Ratios,Inventory Days,,,,,,,,,,,,0,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,36,,,,82,,,,100,142,62,29,
Ratios,Working Capital Days,,,,-7,,,,60,,,,93,95,47,13,
Ratios,ROCE %,,,,52%,,,,53%,,,,59%,,44%,58%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.22%,,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,73.22%,,,73.22%,73.22%
Shareholding Pattern (Quarterly),Public,,26.78%,,26.78%,26.79%,26.78%,26.78%,26.78%,26.78%,26.78%,26.79%,26.79%,,,26.78%,26.78%
Shareholding Pattern (Quarterly),No. of Shareholders,,235,,287,6548,9574,12726,15397,15547,15220,15093,14831,,,162,251
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.22%,,,,73.22%,,,,73.22%,,73.22%,73.22%,
Shareholding Pattern (Yearly),Public,,,,26.78%,,,,26.78%,,,,26.79%,,26.78%,26.78%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,287,,,,15397,,,,14831,,125,162,
,,,,,,,,,,,,,,,,,
