Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1229,1529,1541,1449,1526,1942,1674,1309,1303,1060,760,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,1150,1440,1456,1394,1467,1863,1654,1305,1313,1024,762,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,79,89,85,54,59,79,20,4,-10,37,-3,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,6%,6%,6%,4%,4%,4%,1%,0%,-1%,3%,-0%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,9,7,7,5,5,2,-2,2,2,10,22,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,18,21,24,29,18,20,36,39,38,34,30,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,25,23,27,21,22,24,23,17,16,15,12,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,45,52,42,9,25,37,-41,-49,-62,-2,-23,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,41%,30%,15%,13%,19%,22%,-6%,-37%,0%,137%,-16%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,27,36,36,8,20,29,-39,-31,-62,-5,-19,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,0.84,1.22,-1.62,-1.31,-2.61,-0.19,-0.82,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,40%,30%,40%,34%,67%,49%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,14,14,7,14,14,14,14,14,20,20,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,189,212,231,230,234,246,208,177,115,132,118,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,170,164,200,206,134,156,159,292,274,217,200,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,224,267,282,210,349,477,397,240,267,297,251,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,597,656,727,652,730,893,777,723,670,666,589,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,221,218,201,191,221,212,171,159,166,139,124,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,0,2,26,1,2,3,14,0,0,0,,,,,,,,,,,,,,,,,,
