Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,505.43,549.27,600.37,583.24,621.56,588.34,611.24,521.05,853.09,522.01,529.02,837.37,901.34,,,,,,,
Quarterly Results,Expenses,478.54,520.12,566.88,540.38,566.07,545.95,579.36,474.05,783.80,481.49,493.26,771.25,822.53,,,,,,,
Quarterly Results,Operating Profit,26.89,29.15,33.49,42.86,55.49,42.39,31.88,47.00,69.29,40.52,35.76,66.12,78.81,,,,,,,
Quarterly Results,OPM %,5.32%,5.31%,5.58%,7.35%,8.93%,7.21%,5.22%,9.02%,8.12%,7.76%,6.76%,7.90%,8.74%,,,,,,,
Quarterly Results,Other Income,4.82,1.09,0.27,26.86,-0.51,-17.14,-84.82,1.37,-4.17,1.45,1.57,2.20,-7.84,,,,,,,
Quarterly Results,Interest,4.50,5.00,6.52,9.32,12.80,14.40,13.46,14.64,16.36,14.83,15.63,20.14,18.49,,,,,,,
Quarterly Results,Depreciation,21.34,21.88,21.90,24.55,28.27,24.32,23.94,20.85,33.23,21.14,21.31,32.91,35.53,,,,,,,
Quarterly Results,Profit before tax,5.87,3.36,5.34,35.85,13.91,-13.47,-90.34,12.88,15.53,6.00,0.39,15.27,16.95,,,,,,,
Quarterly Results,Tax %,143.27%,197.62%,99.06%,33.86%,31.42%,7.42%,-119.67%,29.43%,30.71%,43.17%,274.36%,97.45%,61.53%,,,,,,,
Quarterly Results,Net Profit,-2.54,-3.28,0.05,23.71,9.54,-14.47,17.77,9.09,10.76,3.41,-0.68,0.39,6.52,,,,,,,
Quarterly Results,EPS in Rs,-1.56,-2.02,0.03,14.58,5.87,-8.90,10.93,5.59,6.62,2.10,-0.42,0.24,4.01,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
