Section,,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,24.07,47.47,61.22,79.82,56.27,50.05,70.67,83.14,255.60,308.50,250.44,307.93,314.78,,,,,,,,,,,,,
Quarterly Results,Expenses,21.49,42.14,53.12,70.11,49.31,44.97,61.19,76.87,230.19,279.54,231.03,284.66,290.74,,,,,,,,,,,,,
Quarterly Results,Operating Profit,2.58,5.33,8.10,9.71,6.96,5.08,9.48,6.27,25.41,28.96,19.41,23.27,24.04,,,,,,,,,,,,,
Quarterly Results,OPM %,10.72%,11.23%,13.23%,12.16%,12.37%,10.15%,13.41%,7.54%,9.94%,9.39%,7.75%,7.56%,7.64%,,,,,,,,,,,,,
Quarterly Results,Other Income,0.07,0.05,0.10,0.02,0.09,0.11,0.92,0.87,0.33,0.99,0.64,0.28,3.36,,,,,,,,,,,,,
Quarterly Results,Interest,0.63,1.24,0.97,0.96,0.93,1.08,0.65,0.74,1.47,2.23,3.70,3.13,1.93,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.54,1.00,1.20,1.04,1.11,1.07,1.46,1.32,8.46,9.93,10.58,11.78,12.25,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.48,3.14,6.03,7.73,5.01,3.04,8.29,5.08,15.81,17.79,5.77,8.64,13.22,,,,,,,,,,,,,
Quarterly Results,Tax %,41.22%,-0.32%,52.90%,33.25%,37.33%,34.54%,34.50%,37.80%,56.36%,21.98%,31.54%,26.16%,25.26%,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.87,3.16,2.84,5.16,3.15,1.99,5.43,3.17,6.90,13.88,3.95,6.39,9.87,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.58,1.07,0.95,3.44,1.05,0.67,3.62,2.11,1.71,3.02,1.01,1.41,2.22,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,233,,,,268,,987,,,,1182,100,,,,,,,,,,,,
Profit & Loss,Expenses,,,209,,,,236,,890,,,,1086,92,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,24,,,,32,,97,,,,96,8,,,,,,,,,,,,
Profit & Loss,OPM %,,,10%,,,,12%,,10%,,,,8%,8%,,,,,,,,,,,,
Profit & Loss,Other Income,,,0,,,,0,,4,,,,5,9,,,,,,,,,,,,
Profit & Loss,Interest,,,5,,,,4,,6,,,,11,3,,,,,,,,,,,,
Profit & Loss,Depreciation,,,4,,,,5,,30,,,,45,2,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,15,,,,24,,65,,,,45,13,,,,,,,,,,,,
