Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 20139m,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2013,Mar 2015
Quarterly Results,Sales,3792,3979,4273,4466,4440,4600,4748,4842,3537,5003,5179,4019,3656,,,,,,,,,,
Quarterly Results,Expenses,3608,3826,4139,4320,4288,4446,4585,4656,3477,4819,4984,3957,3589,,,,,,,,,,
Quarterly Results,Operating Profit,184,153,135,145,152,154,164,186,60,184,196,62,67,,,,,,,,,,
Quarterly Results,OPM %,5%,4%,3%,3%,3%,3%,3%,4%,2%,4%,4%,2%,2%,,,,,,,,,,
Quarterly Results,Other Income,3,7,9,60,4,4,14,-15,56,27,5,-1,-147,,,,,,,,,,
Quarterly Results,Interest,20,20,26,29,31,27,28,40,8,24,28,9,9,,,,,,,,,,
Quarterly Results,Depreciation,64,61,68,70,76,69,70,72,15,69,70,10,10,,,,,,,,,,
Quarterly Results,Profit before tax,104,79,50,107,48,62,79,59,92,119,102,42,-99,,,,,,,,,,
Quarterly Results,Tax %,26%,15%,20%,20%,38%,23%,11%,-8%,-6%,6%,8%,1%,-4%,,,,,,,,,,
Quarterly Results,Net Profit,77,68,40,85,30,48,71,64,98,112,94,42,-95,,,,,,,,,,
Quarterly Results,EPS in Rs,4.98,4.51,2.84,5.92,2.23,3.23,4.83,4.30,6.36,6.99,6.22,2.80,-6.41,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,13692,,,,17158,,,,19100,,,,14967,1006,2567,3435,4315,6167,8527,10991,10837,,
Profit & Loss,Expenses,13067,,,,16570,,,,18400,,,,14705,966,2436,3284,4075,5805,8068,10341,10387,,
Profit & Loss,Operating Profit,624,,,,589,,,,700,,,,262,40,131,151,240,362,459,650,449,,
Profit & Loss,OPM %,5%,,,,3%,,,,4%,,,,2%,4%,5%,4%,6%,6%,5%,6%,4%,,
Profit & Loss,Other Income,27,,,,80,,,,0,,,,-141,2,6,9,15,50,71,-617,78,,
Profit & Loss,Interest,82,,,,110,,,,121,,,,39,9,23,31,49,77,117,169,114,,
Profit & Loss,Depreciation,212,,,,275,,,,283,,,,41,4,10,14,33,75,123,249,229,,
Profit & Loss,Profit before tax,358,,,,284,,,,295,,,,42,29,104,115,172,261,289,-384,185,,
Profit & Loss,Tax %,30%,,,,22%,,,,5%,,,,-10%,34%,36%,29%,29%,-18%,11%,12%,60%,,
Profit & Loss,Net Profit,251,,,,223,,,,280,,,,46,18,67,81,122,310,257,-432,74,,
