Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1236,1367,1480,1517,1597,1610,1634,1754,1808,1810,1782,2218,,,
Quarterly Results,Expenses,1196,1304,1362,1416,1484,1489,1521,1639,1713,1725,1672,2023,,,
Quarterly Results,Operating Profit,40,63,118,100,113,121,113,115,95,86,111,194,,,
Quarterly Results,OPM %,3%,5%,8%,7%,7%,8%,7%,7%,5%,5%,6%,9%,,,
Quarterly Results,Other Income,7,9,6,15,17,15,12,20,19,7,14,13,,,
Quarterly Results,Interest,8,10,11,13,14,14,12,13,12,16,16,15,,,
Quarterly Results,Depreciation,14,15,17,14,16,17,16,16,16,17,18,19,,,
Quarterly Results,Profit before tax,25,48,95,88,99,105,96,106,86,60,90,173,,,
Quarterly Results,Tax %,26%,27%,25%,26%,25%,29%,26%,26%,25%,17%,24%,25%,,,
Quarterly Results,Net Profit,18,35,71,65,74,74,71,79,64,50,69,129,,,
Quarterly Results,EPS in Rs,7.58,14.63,29.86,6.82,7.77,6.57,6.29,6.98,5.71,4.38,6.06,11.42,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,5599,,,,6595,,,,7618,2479,2724,4386
Profit & Loss,Expenses,,,,5276,,,,6133,,,,7131,2272,2492,4082
Profit & Loss,Operating Profit,,,,323,,,,462,,,,487,207,232,304
Profit & Loss,OPM %,,,,6%,,,,7%,,,,6%,8%,9%,7%
Profit & Loss,Other Income,,,,35,,,,64,,,,53,27,23,50
Profit & Loss,Interest,,,,43,,,,54,,,,60,37,29,24
Profit & Loss,Depreciation,,,,60,,,,65,,,,70,39,45,46
Profit & Loss,Profit before tax,,,,256,,,,406,,,,409,158,181,284
Profit & Loss,Tax %,,,,26%,,,,27%,,,,24%,22%,25%,25%
Profit & Loss,Net Profit,,,,190,,,,298,,,,312,122,135,214
Profit & Loss,EPS in Rs,,,,19.84,,,,26.43,,,,27.56,52.32,56.60,89.42
Profit & Loss,Dividend Payout %,,,,23%,,,,23%,,,,22%,25%,0%,11%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,48,,,,56,,,,57,23,24,24
Balance Sheet,Reserves,,,,1372,,,,1772,,,,2096,881,1023,1226
Balance Sheet,Borrowings,,,,580,,,,360,,,,290,400,507,533
Balance Sheet,Other Liabilities,,,,633,,,,681,,,,1074,242,161,268
Balance Sheet,Total Liabilities,,,,2634,,,,2869,,,,3517,1545,1715,2051
Balance Sheet,Fixed Assets,,,,517,,,,535,,,,769,391,399,398
Balance Sheet,CWIP,,,,44,,,,164,,,,235,15,7,43
Balance Sheet,Investments,,,,363,,,,342,,,,239,221,237,268
Balance Sheet,Other Assets,,,,1710,,,,1830,,,,2274,919,1072,1342
Balance Sheet,Total Assets,,,,2634,,,,2869,,,,3517,1545,1715,2051
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,454,,,,339,,,,494,216,-71,98
Cash Flows,Cash from Investing Activity,,,,-334,,,,-84,,,,-169,-128,-6,-63
Cash Flows,Cash from Financing Activity,,,,-102,,,,-205,,,,-191,-82,74,-32
Cash Flows,Net Cash Flow,,,,19,,,,50,,,,134,5,-3,4
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,39,,,,35,,,,39,62,56,43
Ratios,Inventory Days,,,,69,,,,61,,,,59,71,91,72
Ratios,Days Payable,,,,35,,,,29,,,,44,34,19,17
Ratios,Cash Conversion Cycle,,,,72,,,,67,,,,54,99,128,98
Ratios,Working Capital Days,,,,64,,,,56,,,,45,98,120,88
Ratios,ROCE %,,,,16%,,,,22%,,,,20%,,15%,18%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,62.76%,62.76%,62.76%,61.89%,61.78%,61.80%,61.80%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.99%,4.69%,4.16%,6.54%,7.35%,7.83%,7.17%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.66%,8.83%,9.37%,13.53%,14.34%,14.33%,14.75%,,,
Shareholding Pattern (Quarterly),Public,,,,,,23.58%,23.73%,23.70%,18.04%,16.54%,16.03%,16.27%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,189668,156947,145858,134822,128740,138200,146892,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,62.76%,,,,61.80%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,4.16%,,,,7.17%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,9.37%,,,,14.75%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,23.70%,,,,16.27%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,145858,,,,146892,,,
,,,,,,,,,,,,,,,,
