Section,,Dec 2023,Mar 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023
Quarterly Results,Sales,79,102,103,114,,
Quarterly Results,Expenses,64,80,77,95,,
Quarterly Results,Operating Profit,15,22,26,19,,
Quarterly Results,OPM %,19%,22%,25%,17%,,
Quarterly Results,Other Income,1,2,5,12,,
Quarterly Results,Interest,2,3,6,5,,
Quarterly Results,Depreciation,3,4,4,5,,
Quarterly Results,Profit before tax,10,18,20,21,,
Quarterly Results,Tax %,31%,19%,20%,13%,,
Quarterly Results,Net Profit,7,14,16,18,,
Quarterly Results,EPS in Rs,2.37,5.23,3.73,3.87,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,215,,398,14,35
Profit & Loss,Expenses,,173,,309,12,23
Profit & Loss,Operating Profit,,42,,90,2,13
Profit & Loss,OPM %,,19%,,23%,14%,36%
Profit & Loss,Other Income,,3,,19,0,4
Profit & Loss,Interest,,9,,22,1,2
Profit & Loss,Depreciation,,10,,17,1,2
Profit & Loss,Profit before tax,,25,,71,1,12
Profit & Loss,Tax %,,-31%,,17%,13%,32%
Profit & Loss,Net Profit,,33,,58,1,8
Profit & Loss,EPS in Rs,,10.31,,12.72,1.01,8.59
Profit & Loss,Dividend Payout %,,0%,,0%,0%,0%
,,,,,,,
Balance Sheet,Equity Capital,,31,,46,9,10
Balance Sheet,Reserves,,174,,740,28,36
Balance Sheet,Borrowings,,258,,315,15,63
Balance Sheet,Other Liabilities,,160,,126,8,23
Balance Sheet,Total Liabilities,,622,,1227,59,131
Balance Sheet,Fixed Assets,,235,,429,7,27
Balance Sheet,CWIP,,97,,44,8,34
Balance Sheet,Investments,,0,,0,15,16
Balance Sheet,Other Assets,,289,,754,29,53
Balance Sheet,Total Assets,,622,,1227,59,131
,,,,,,,
Cash Flows,Cash from Operating Activity,,-20,,-46,-10,-1
Cash Flows,Cash from Investing Activity,,-54,,-429,-24,-48
Cash Flows,Cash from Financing Activity,,87,,573,36,46
Cash Flows,Net Cash Flow,,13,,98,2,-3
,,,,,,,
Ratios,Debtor Days,,191,,114,506,228
Ratios,Inventory Days,,129,,114,135,89
Ratios,Days Payable,,389,,136,324,388
Ratios,Cash Conversion Cycle,,-70,,92,317,-71
Ratios,Working Capital Days,,181,,220,414,316
Ratios,ROCE %,,12%,,11%,,18%
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,45.77%,45.78%,,
Shareholding Pattern (Quarterly),FIIs,,,4.25%,4.17%,,
Shareholding Pattern (Quarterly),DIIs,,,11.77%,9.66%,,
Shareholding Pattern (Quarterly),Public,,,38.20%,40.39%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,49518,37653,,
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,45.78%,,
Shareholding Pattern (Yearly),FIIs,,,,4.17%,,
Shareholding Pattern (Yearly),DIIs,,,,9.66%,,
Shareholding Pattern (Yearly),Public,,,,40.39%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,37653,,
,,,,,,,
