Section,,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1025,1123,565,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,957,1055,606,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,68,68,-41,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,7%,6%,-7%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,5,2,-9,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,35,36,29,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,8,11,8,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,30,22,-87,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,29%,33%,1%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,21,15,-88,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.22,0.84,-5.02,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,8%,6%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18,18,18,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,167,180,93,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,264,245,203,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,193,361,183,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,642,803,497,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,84,81,19,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1,1,5,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,3,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,557,721,470,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,642,803,497,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-8,51,25,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-9,-0,45,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,23,-58,-71,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,5,-8,-2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,99,119,193,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,84,99,29,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,64,116,76,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,120,102,146,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,119,113,193,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,15%,-11%,,,,,,,,,,,,,,,,,,
