Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20188m,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,87.04,79.23,86.37,92.30,91.37,90.17,98.39,108.00,118.00,104.27,114.58,109.48,114.52,,,,,
Quarterly Results,Expenses,79.33,81.39,84.14,82.96,85.76,79.82,90.32,98.66,99.77,94.36,93.61,95.77,101.32,,,,,
Quarterly Results,Operating Profit,7.71,-2.16,2.23,9.34,5.61,10.35,8.07,9.34,18.23,9.91,20.97,13.71,13.20,,,,,
Quarterly Results,OPM %,8.86%,-2.73%,2.58%,10.12%,6.14%,11.48%,8.20%,8.65%,15.45%,9.50%,18.30%,12.52%,11.53%,,,,,
Quarterly Results,Other Income,2.82,1.66,1.08,0.88,1.87,0.77,0.60,0.55,0.81,1.76,1.09,2.24,2.24,,,,,
Quarterly Results,Interest,2.85,2.94,3.85,4.30,4.51,4.04,4.01,4.30,5.19,4.61,4.34,3.96,3.81,,,,,
Quarterly Results,Depreciation,4.11,3.95,4.32,4.51,4.51,4.48,4.50,5.05,4.44,4.83,2.09,2.04,2.06,,,,,
Quarterly Results,Profit before tax,3.57,-7.39,-4.86,1.41,-1.54,2.60,0.16,0.54,9.41,2.23,15.63,9.95,9.57,,,,,
Quarterly Results,Tax %,50.42%,-12.86%,-6.38%,81.56%,37.66%,60.77%,575.00%,201.85%,35.60%,69.06%,30.84%,33.77%,35.01%,,,,,
Quarterly Results,Net Profit,1.77,-6.44,-4.55,0.26,-2.12,1.02,-0.76,-0.55,6.06,0.69,10.81,6.59,6.22,,,,,
Quarterly Results,EPS in Rs,0.30,-1.11,-0.78,0.04,-0.36,0.18,-0.13,-0.09,1.04,0.12,1.86,1.13,1.07,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,324,,,,349,,,,415,,,,443,0,268,259,249,
Profit & Loss,Expenses,271,,,,334,,,,369,,,,385,0,238,235,223,
Profit & Loss,Operating Profit,53,,,,15,,,,46,,,,58,0,30,24,26,
Profit & Loss,OPM %,16%,,,,4%,,,,11%,,,,13%,,11%,9%,11%,
Profit & Loss,Other Income,9,,,,5,,,,3,,,,7,0,1,2,5,
