Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,45,51,88,28,43,73,111,,,,
Quarterly Results,Expenses,27,39,62,28,38,61,74,,,,
Quarterly Results,Operating Profit,18,13,26,-0,5,13,37,,,,
Quarterly Results,OPM %,40%,25%,29%,-1%,12%,17%,33%,,,,
Quarterly Results,Other Income,2,2,1,2,1,1,1,,,,
Quarterly Results,Interest,0,-0,0,0,0,0,0,,,,
Quarterly Results,Depreciation,17,1,1,1,1,1,1,,,,
Quarterly Results,Profit before tax,2,13,26,0,5,13,37,,,,
Quarterly Results,Tax %,16%,38%,20%,34%,14%,31%,27%,,,,
Quarterly Results,Net Profit,2,8,21,0,5,9,27,,,,
Quarterly Results,EPS in Rs,7.10,30.28,76.66,0.09,1.89,3.56,11.02,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,237,,,,255,114,148,192,201
Profit & Loss,Expenses,,,189,,,,200,113,124,162,177
Profit & Loss,Operating Profit,,,47,,,,55,1,24,30,24
Profit & Loss,OPM %,,,20%,,,,21%,1%,16%,16%,12%
Profit & Loss,Other Income,,,5,,,,5,4,1,4,9
Profit & Loss,Interest,,,2,,,,1,2,1,1,1
Profit & Loss,Depreciation,,,3,,,,3,2,3,4,3
Profit & Loss,Profit before tax,,,47,,,,55,1,20,30,29
Profit & Loss,Tax %,,,23%,,,,26%,30%,27%,27%,21%
Profit & Loss,Net Profit,,,36,,,,41,1,15,22,23
Profit & Loss,EPS in Rs,,,132.14,,,,16.56,36.12,495.96,730.15,75.74
Profit & Loss,Dividend Payout %,,,0%,,,,3%,14%,0%,1%,1%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,3,,,,25,3,3,3,3
Balance Sheet,Reserves,,,130,,,,147,38,54,101,125
Balance Sheet,Borrowings,,,13,,,,5,16,13,23,20
Balance Sheet,Other Liabilities,,,91,,,,83,62,72,89,80
Balance Sheet,Total Liabilities,,,237,,,,259,119,142,216,228
Balance Sheet,Fixed Assets,,,63,,,,63,33,31,61,63
Balance Sheet,CWIP,,,0,,,,0,0,0,0,0
Balance Sheet,Investments,,,0,,,,0,0,0,7,0
Balance Sheet,Other Assets,,,173,,,,196,86,111,147,165
Balance Sheet,Total Assets,,,237,,,,259,119,142,216,228
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,19,,,,73,12,22,37,17
Cash Flows,Cash from Investing Activity,,,12,,,,-11,-5,-0,-36,-12
Cash Flows,Cash from Financing Activity,,,-36,,,,-7,-5,-9,-3,-3
Cash Flows,Net Cash Flow,,,-5,,,,55,2,13,-2,2
,,,,,,,,,,,,
Ratios,Debtor Days,,,58,,,,45,50,30,31,32
Ratios,Inventory Days,,,254,,,,298,345,319,307,279
Ratios,Days Payable,,,100,,,,99,217,205,131,100
Ratios,Cash Conversion Cycle,,,211,,,,244,178,144,208,211
Ratios,Working Capital Days,,,41,,,,59,55,26,14,25
Ratios,ROCE %,,,33%,,,,35%,,33%,31%,22%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,62.45%,62.45%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,1.46%,0.26%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,3.70%,1.47%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,32.38%,35.83%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,65272,67086,,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,62.45%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,0.26%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,1.47%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,35.83%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,67086,,,,
,,,,,,,,,,,,
