Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Mar 201715m,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2017
Quarterly Results,Sales,45,44,43,41,46,44,43,42,44,44,44,46,51,,,,,,,,,
Quarterly Results,Expenses,31,29,30,33,33,30,32,31,35,33,34,31,33,,,,,,,,,
Quarterly Results,Operating Profit,14,15,14,8,13,14,12,11,10,11,11,14,17,,,,,,,,,
Quarterly Results,OPM %,31%,34%,31%,19%,29%,32%,27%,27%,22%,24%,24%,31%,34%,,,,,,,,,
Quarterly Results,Other Income,2,2,3,2,3,4,6,5,8,6,4,4,4,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,2,2,2,2,2,,,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Profit before tax,16,17,17,10,16,17,17,16,16,14,13,16,20,,,,,,,,,
Quarterly Results,Tax %,31%,10%,28%,32%,33%,151%,19%,123%,23%,27%,25%,12%,25%,,,,,,,,,
Quarterly Results,Net Profit,11,15,12,7,11,-9,14,-4,12,11,10,14,15,,,,,,,,,
Quarterly Results,EPS in Rs,0.99,1.34,1.08,0.62,0.99,-0.81,1.24,-0.32,1.11,0.95,0.88,1.30,1.32,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,174,,,,174,,,,174,,,,185,243,287,279,307,186,184,182,196,
Profit & Loss,Expenses,121,,,,125,,,,128,,,,132,226,286,252,298,160,141,134,140,
Profit & Loss,Operating Profit,53,,,,50,,,,47,,,,53,17,1,28,9,26,43,48,55,
Profit & Loss,OPM %,31%,,,,28%,,,,27%,,,,29%,7%,0%,10%,3%,14%,23%,26%,28%,
