Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,39,22,22,24,23,23,8,17,9,29,27,10,7,,,,,,,,,,,
Quarterly Results,Expenses,44,25,23,25,26,34,21,35,14,50,57,14,11,,,,,,,,,,,
Quarterly Results,Operating Profit,-5,-3,-1,-1,-3,-11,-13,-18,-5,-22,-30,-4,-4,,,,,,,,,,,
Quarterly Results,OPM %,-12%,-16%,-3%,-4%,-15%,-46%,-150%,-111%,-61%,-75%,-114%,-41%,-59%,,,,,,,,,,,
Quarterly Results,Other Income,-10,-2,0,9,2,-73,0,1,3,0,0,2,-2,,,,,,,,,,,
Quarterly Results,Interest,191,221,214,261,281,311,275,288,302,303,319,337,355,,,,,,,,,,,
Quarterly Results,Depreciation,6,6,2,5,8,6,4,4,3,2,2,2,2,,,,,,,,,,,
Quarterly Results,Profit before tax,-212,-233,-216,-258,-291,-400,-292,-309,-307,-326,-351,-341,-362,,,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,
Quarterly Results,Net Profit,-212,-233,-216,-258,-291,-400,-292,-309,-307,-326,-351,-341,-362,,,,,,,,,,,
Quarterly Results,EPS in Rs,-76.50,-97.71,-84.09,-96.99,-107.09,-151.16,-112.93,-120.78,-119.54,-126.96,-136.57,-132.59,-140.82,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,136,,,,97,,,,59,,,,2333,2570,1814,1290,1161,1006,677,321,263,73,
Profit & Loss,Expenses,,140,,,,111,,,,94,,,,1968,2121,1453,1050,989,1021,678,359,293,133,
Profit & Loss,Operating Profit,,-4,,,,-14,,,,-36,,,,364,450,361,239,172,-15,-1,-38,-30,-60,
Profit & Loss,OPM %,,-3%,,,,-15%,,,,-61%,,,,16%,18%,20%,19%,15%,-2%,-0%,-12%,-11%,-83%,
Profit & Loss,Other Income,,-50,,,,-61,,,,3,,,,5,8,8,-12,-119,-370,-737,-70,-105,1,
Profit & Loss,Interest,,841,,,,1103,,,,1135,,,,166,244,297,337,389,476,601,631,745,1314,
Profit & Loss,Depreciation,,25,,,,23,,,,7,,,,53,77,77,42,36,67,98,92,30,6,
Profit & Loss,Profit before tax,,-920,,,,-1202,,,,-1175,,,,151,137,-5,-151,-370,-928,-1437,-831,-910,-1380,
Profit & Loss,Tax %,,0%,,,,0%,,,,0%,,,,35%,43%,359%,6%,-4%,5%,0%,0%,0%,,
