Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,601.76,627.15,554.16,528.38,528.02,691.18,608.11,600.68,565.75,764.25,633.62,696.09,666.43,,,,,,,,,,,
Quarterly Results,Expenses,527.88,541.07,512.74,485.51,486.38,606.46,538.23,535.10,503.88,645.17,553.05,601.60,587.44,,,,,,,,,,,
Quarterly Results,Operating Profit,73.88,86.08,41.42,42.87,41.64,84.72,69.88,65.58,61.87,119.08,80.57,94.49,78.99,,,,,,,,,,,
Quarterly Results,OPM %,12.28%,13.73%,7.47%,8.11%,7.89%,12.26%,11.49%,10.92%,10.94%,15.58%,12.72%,13.57%,11.85%,,,,,,,,,,,
Quarterly Results,Other Income,1.56,1.71,0.84,1.42,0.99,1.54,319.24,5.69,4.28,2.99,3.50,-6.19,-26.34,,,,,,,,,,,
Quarterly Results,Interest,4.81,5.46,6.06,9.34,11.02,15.05,10.31,9.63,8.58,8.38,7.03,8.88,11.41,,,,,,,,,,,
Quarterly Results,Depreciation,21.87,24.80,25.80,26.95,30.91,30.56,34.60,35.42,35.48,35.67,35.93,36.61,36.55,,,,,,,,,,,
Quarterly Results,Profit before tax,48.76,57.53,10.40,8.00,0.70,40.65,344.21,26.22,22.09,78.02,41.11,42.81,4.69,,,,,,,,,,,
Quarterly Results,Tax %,25.39%,22.37%,31.92%,43.25%,17.14%,19.85%,22.44%,31.88%,33.91%,25.61%,28.39%,30.13%,89.13%,,,,,,,,,,,
Quarterly Results,Net Profit,36.38,44.66,7.08,4.54,0.58,32.57,266.96,17.86,14.59,58.03,29.43,29.90,0.51,,,,,,,,,,,
Quarterly Results,EPS in Rs,5.26,6.45,1.02,0.66,0.08,4.70,38.56,2.58,2.11,8.38,4.25,4.32,0.07,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,2201,,,,2302,,,,2539,,,,863,1106,1205,1401,1282,1329,1593,1708,1864,2760,
Profit & Loss,Expenses,,1923,,,,2088,,,,2220,,,,784,974,1075,1232,1093,1139,1386,1460,1574,2387,
Profit & Loss,Operating Profit,,278,,,,213,,,,318,,,,80,133,131,170,189,191,207,248,290,373,
Profit & Loss,OPM %,,13%,,,,9%,,,,13%,,,,9%,12%,11%,12%,15%,14%,13%,15%,16%,14%,
Profit & Loss,Other Income,,5,,,,5,,,,332,,,,7,2,23,14,25,15,81,22,7,-26,
Profit & Loss,Interest,,23,,,,44,,,,39,,,,34,43,41,37,30,25,19,16,20,36,
Profit & Loss,Depreciation,,89,,,,114,,,,141,,,,26,37,42,48,49,58,66,74,87,145,
Profit & Loss,Profit before tax,,171,,,,60,,,,471,,,,26,55,72,99,136,123,203,180,190,167,
Profit & Loss,Tax %,,24%,,,,25%,,,,24%,,,,15%,37%,24%,29%,25%,31%,33%,20%,26%,,
Profit & Loss,Net Profit,,130,,,,45,,,,357,,,,22,35,54,70,101,85,135,145,141,118,
Profit & Loss,EPS in Rs,,18.77,,,,6.47,,,,51.63,,,,3.19,5.08,7.86,10.10,14.64,12.24,19.52,20.88,20.38,17.02,
Profit & Loss,Dividend Payout %,,27%,,,,23%,,,,9%,,,,39%,30%,22%,30%,24%,29%,31%,30%,29%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,14,,,,14,,,,14,,14,,7,7,14,14,14,14,14,14,14,,
Balance Sheet,Reserves,,819,,,,814,,,,1135,,1198,,247,264,249,300,367,426,554,587,730,,
Balance Sheet,Borrowings,,823,,,,829,,,,467,,559,,437,440,433,430,433,431,367,501,618,,
Balance Sheet,Other Liabilities,,705,,,,725,,,,730,,841,,189,217,317,346,379,433,424,522,638,,
