Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2017
Quarterly Results,Sales,41.55,44.19,45.06,45.50,37.62,37.70,37.52,39.98,40.22,39.18,41.22,43.83,44.97,,,,,
Quarterly Results,Expenses,33.41,35.06,35.43,35.84,31.85,31.74,32.40,35.26,36.11,34.81,36.72,39.56,40.58,,,,,
Quarterly Results,Operating Profit,8.14,9.13,9.63,9.66,5.77,5.96,5.12,4.72,4.11,4.37,4.50,4.27,4.39,,,,,
Quarterly Results,OPM %,19.59%,20.66%,21.37%,21.23%,15.34%,15.81%,13.65%,11.81%,10.22%,11.15%,10.92%,9.74%,9.76%,,,,,
Quarterly Results,Other Income,0.81,0.23,0.07,0.05,0.21,0.17,0.35,0.50,0.92,0.18,0.11,0.11,0.30,,,,,
Quarterly Results,Interest,0.67,0.62,0.72,0.95,1.12,1.33,1.16,1.24,1.40,1.49,1.65,1.54,1.64,,,,,
Quarterly Results,Depreciation,1.40,1.64,1.96,1.74,1.87,2.11,2.17,2.19,2.20,2.28,2.35,2.33,2.16,,,,,
Quarterly Results,Profit before tax,6.88,7.10,7.02,7.02,2.99,2.69,2.14,1.79,1.43,0.78,0.61,0.51,0.89,,,,,
Quarterly Results,Tax %,25.58%,26.62%,24.07%,25.21%,40.13%,32.34%,27.10%,32.96%,32.17%,21.79%,201.64%,78.43%,41.57%,,,,,
Quarterly Results,Net Profit,5.12,5.21,5.33,5.25,1.79,1.82,1.56,1.21,0.97,0.60,-0.61,0.11,0.52,,,,,
Quarterly Results,EPS in Rs,5.51,5.60,5.73,5.65,1.94,1.96,1.68,1.30,1.04,0.64,-0.60,0.11,0.50,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,135,,,,170,,,,155,,,,169,55,60,62,80,
Profit & Loss,Expenses,110,,,,135,,,,135,,,,152,49,55,56,68,
Profit & Loss,Operating Profit,26,,,,35,,,,20,,,,18,6,5,5,11,
Profit & Loss,OPM %,19%,,,,21%,,,,13%,,,,10%,10%,8%,9%,14%,
Profit & Loss,Other Income,1,,,,1,,,,2,,,,1,1,1,1,3,
Profit & Loss,Interest,2,,,,4,,,,5,,,,6,0,1,1,1,
Profit & Loss,Depreciation,5,,,,7,,,,9,,,,9,4,3,4,4,
Profit & Loss,Profit before tax,19,,,,25,,,,8,,,,3,2,2,1,9,
Profit & Loss,Tax %,28%,,,,26%,,,,31%,,,,78%,34%,7%,38%,24%,
Profit & Loss,Net Profit,14,,,,18,,,,6,,,,1,1,2,1,7,
Profit & Loss,EPS in Rs,14.96,,,,20.02,,,,5.95,,,,0.60,1.19,2.06,0.92,7.43,
Profit & Loss,Dividend Payout %,5%,,,,5%,,,,0%,,,,0%,56%,32%,43%,9%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,,,,9,,,,9,,,,10,6,6,6,6,
Balance Sheet,Reserves,76,,,,114,,,,194,,,,247,48,49,49,56,
Balance Sheet,Borrowings,53,,,,97,,,,109,,,,105,0,5,6,10,
Balance Sheet,Other Liabilities,29,,,,70,,,,64,,,,57,19,14,14,26,
Balance Sheet,Total Liabilities,165,,,,290,,,,377,,,,419,73,75,76,99,
Balance Sheet,Fixed Assets,66,,,,97,,,,103,,,,284,22,24,24,38,
Balance Sheet,CWIP,20,,,,88,,,,144,,,,0,1,2,2,7,
Balance Sheet,Investments,0,,,,0,,,,3,,,,3,5,5,6,0,
Balance Sheet,Other Assets,79,,,,105,,,,127,,,,133,45,43,45,54,
Balance Sheet,Total Assets,165,,,,290,,,,377,,,,419,73,75,76,99,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1,,,,17,,,,-8,,,,27,5,2,7,6,
Cash Flows,Cash from Investing Activity,-46,,,,-105,,,,-73,,,,-44,-1,-7,-6,-9,
Cash Flows,Cash from Financing Activity,48,,,,87,,,,82,,,,16,-4,4,-1,3,
Cash Flows,Net Cash Flow,1,,,,0,,,,1,,,,-2,0,-1,0,-0,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,71,,,,112,,,,128,,,,134,208,197,180,123,
Ratios,Inventory Days,34,,,,45,,,,88,,,,109,149,87,89,82,
Ratios,Days Payable,98,,,,127,,,,141,,,,166,185,114,91,157,
Ratios,Cash Conversion Cycle,7,,,,30,,,,75,,,,78,172,170,179,48,
Ratios,Working Capital Days,121,,,,117,,,,177,,,,156,186,176,158,120,
Ratios,ROCE %,21%,,,,15%,,,,5%,,,,3%,,5%,4%,11%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,56.57%,56.57%,56.57%,56.57%,56.57%,56.57%,56.57%,56.57%,56.57%,51.59%,51.13%,51.21%,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.22%,1.22%,1.31%,1.31%,1.31%,1.31%,1.31%,1.31%,0.18%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,42.21%,42.23%,42.12%,42.13%,42.13%,42.13%,42.13%,42.13%,43.25%,48.39%,48.86%,48.80%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,7141,7877,8235,8666,10805,11675,11399,10954,10514,9862,9661,9425,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,56.57%,,,,56.57%,,,,56.57%,,,,51.21%,52.17%,52.17%,52.17%,54.37%,52.17%
Shareholding Pattern (Yearly),DIIs,1.22%,,,,1.31%,,,,1.31%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%
Shareholding Pattern (Yearly),Public,42.21%,,,,42.13%,,,,42.13%,,,,48.80%,47.82%,47.82%,47.82%,45.63%,47.76%
Shareholding Pattern (Yearly),No. of Shareholders,6118,,,,8666,,,,10954,,,,9425,3741,3580,3463,3714,4314
,,,,,,,,,,,,,,,,,,,
