Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,166,184,110,115,200,219,114,178,269,196,185,182,255,,,,,,,,,
Quarterly Results,Expenses,148,167,99,97,185,194,90,143,202,168,143,135,190,,,,,,,,,
Quarterly Results,Operating Profit,18,18,12,18,15,25,24,34,67,28,42,48,66,,,,,,,,,
Quarterly Results,OPM %,11%,10%,11%,15%,7%,11%,21%,19%,25%,14%,23%,26%,26%,,,,,,,,,
Quarterly Results,Other Income,0,0,0,0,0,0,0,29,1,1,1,3,2,,,,,,,,,
Quarterly Results,Interest,3,3,3,4,3,4,5,3,4,4,5,9,9,,,,,,,,,
Quarterly Results,Depreciation,4,4,4,4,4,6,4,4,4,5,5,5,5,,,,,,,,,
Quarterly Results,Profit before tax,12,10,5,10,9,15,15,57,59,20,33,36,54,,,,,,,,,
Quarterly Results,Tax %,41%,28%,17%,27%,42%,26%,26%,21%,27%,29%,25%,32%,26%,,,,,,,,,
Quarterly Results,Net Profit,6,8,3,7,5,11,11,44,43,13,25,25,40,,,,,,,,,
Quarterly Results,EPS in Rs,0.68,0.80,0.36,0.70,0.50,1.16,1.18,4.70,4.59,1.39,2.61,2.63,4.23,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,572,,,,598,,,,742,,,,818,376,344,271,329,334,371,399,488,
Profit & Loss,Expenses,503,,,,537,,,,592,,,,635,330,316,248,282,308,344,359,437,
Profit & Loss,Operating Profit,69,,,,62,,,,150,,,,183,46,28,23,47,26,27,40,52,
Profit & Loss,OPM %,12%,,,,10%,,,,20%,,,,22%,12%,8%,9%,14%,8%,7%,10%,11%,
