Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2024,Sep 2024
Quarterly Results,Sales,81,93,91,103,143,143,157,137,175,178,189,207,192,,,,,,,,,,
Quarterly Results,Expenses,30,32,29,37,42,61,58,51,66,64,72,81,85,,,,,,,,,,
Quarterly Results,Operating Profit,50,61,62,66,101,82,99,86,109,114,117,125,107,,,,,,,,,,
Quarterly Results,OPM %,62%,65%,69%,65%,71%,57%,63%,63%,62%,64%,62%,61%,56%,,,,,,,,,,
Quarterly Results,Other Income,10,10,12,8,16,19,20,25,23,27,31,31,20,,,,,,,,,,
Quarterly Results,Interest,2,2,3,3,5,3,2,3,5,6,0,2,1,,,,,,,,,,
Quarterly Results,Depreciation,7,7,8,8,8,8,9,14,14,14,12,13,13,,,,,,,,,,
Quarterly Results,Profit before tax,51,61,64,63,104,90,109,94,112,121,136,142,112,,,,,,,,,,
Quarterly Results,Tax %,13%,20%,16%,15%,22%,22%,22%,19%,22%,23%,23%,22%,21%,,,,,,,,,,
Quarterly Results,Net Profit,44,49,54,54,82,70,85,76,88,94,105,110,89,,,,,,,,,,
Quarterly Results,EPS in Rs,6.24,7.00,7.60,7.62,11.62,9.95,12.05,10.80,12.46,13.31,14.92,15.60,12.58,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,337,,,,546,,,,678,,732,160,195,263,311,321,361,432,291,,
Profit & Loss,Expenses,,,117,,,,179,,,,252,,294,50,56,75,97,103,128,154,105,,
Profit & Loss,Operating Profit,,,220,,,,367,,,,426,,438,110,138,189,215,218,233,278,186,,
Profit & Loss,OPM %,,,65%,,,,67%,,,,63%,,60%,69%,71%,72%,69%,68%,64%,64%,64%,,
Profit & Loss,Other Income,,,44,,,,45,,,,105,,114,18,28,33,43,36,32,43,65,,
Profit & Loss,Interest,,,9,,,,12,,,,14,,12,0,0,4,5,6,5,6,8,,
Profit & Loss,Depreciation,,,28,,,,33,,,,54,,50,11,7,7,8,11,12,22,26,,
Profit & Loss,Profit before tax,,,226,,,,367,,,,463,,489,117,160,211,244,238,248,292,216,,
Profit & Loss,Tax %,,,16%,,,,21%,,,,22%,,23%,31%,30%,32%,30%,25%,27%,20%,20%,,
Profit & Loss,Net Profit,,,189,,,,291,,,,363,,375,81,112,144,170,179,180,234,172,,
Profit & Loss,EPS in Rs,,,26.85,,,,41.25,,,,51.49,,53.25,11.49,15.82,20.45,24.11,25.36,25.61,33.19,24.48,,
Profit & Loss,Dividend Payout %,,,11%,,,,11%,,,,12%,,12%,9%,8%,8%,9%,9%,10%,9%,12%,,
