Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2020,Sep 2021
Quarterly Results,Sales,14,15,24,26,28,25,26,22,25,23,29,27,,,,,,,,
Quarterly Results,Expenses,11,11,12,15,14,14,13,14,13,11,12,12,,,,,,,,
Quarterly Results,Operating Profit,3,4,12,11,13,11,13,7,12,12,17,15,,,,,,,,
Quarterly Results,OPM %,23%,29%,51%,42%,48%,45%,49%,34%,49%,54%,57%,56%,,,,,,,,
Quarterly Results,Other Income,3,2,0,1,2,4,4,4,3,5,1,2,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,2,2,2,,,,,,,,
Quarterly Results,Profit before tax,5,5,11,11,14,14,15,10,13,14,15,14,,,,,,,,
Quarterly Results,Tax %,29%,39%,6%,10%,27%,21%,24%,12%,27%,26%,24%,22%,,,,,,,,
Quarterly Results,Net Profit,3,3,11,10,10,11,11,9,10,11,12,12,,,,,,,,
Quarterly Results,EPS in Rs,1.66,1.38,5.23,4.86,4.89,5.41,5.51,4.17,4.95,5.32,5.70,5.56,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,79,,,,101,,,,103,16,31,45,64,57,58,,
Profit & Loss,Expenses,,,,48,,,,56,,,,47,14,20,31,40,40,32,,
Profit & Loss,Operating Profit,,,,31,,,,45,,,,56,1,11,14,24,16,26,,
Profit & Loss,OPM %,,,,39%,,,,45%,,,,54%,8%,36%,31%,38%,28%,45%,,
Profit & Loss,Other Income,,,,7,,,,14,,,,10,0,0,1,3,4,4,,
Profit & Loss,Interest,,,,1,,,,2,,,,4,0,0,0,0,0,1,,
Profit & Loss,Depreciation,,,,4,,,,4,,,,7,0,0,1,1,1,3,,
Profit & Loss,Profit before tax,,,,33,,,,53,,,,55,1,11,14,26,19,26,,
Profit & Loss,Tax %,,,,16%,,,,22%,,,,25%,38%,29%,24%,16%,18%,18%,,
Profit & Loss,Net Profit,,,,27,,,,41,,,,45,1,8,11,22,16,21,,
Profit & Loss,EPS in Rs,,,,13.12,,,,19.98,,,,21.53,7.20,3.69,5.20,10.61,7.59,10.14,,
