Section,,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,884,1098,987,1070,1001,1103,939,995,935,1005,962,,,,,,
Quarterly Results,Expenses,789,1028,940,986,925,1018,906,934,895,964,928,,,,,,
Quarterly Results,Operating Profit,95,70,47,84,76,85,34,60,40,42,34,,,,,,
Quarterly Results,OPM %,11%,6%,5%,8%,8%,8%,4%,6%,4%,4%,3%,,,,,,
Quarterly Results,Other Income,2,16,6,1,2,2,5,5,2,2,4,,,,,,
Quarterly Results,Interest,10,19,14,13,15,16,14,13,11,10,14,,,,,,
Quarterly Results,Depreciation,4,4,5,5,5,5,6,6,6,6,7,,,,,,
Quarterly Results,Profit before tax,83,63,34,67,58,66,19,46,25,27,17,,,,,,
Quarterly Results,Tax %,21%,21%,18%,19%,18%,23%,37%,29%,26%,24%,27%,,,,,,
Quarterly Results,Net Profit,65,49,28,54,48,51,12,33,18,20,12,,,,,,
Quarterly Results,EPS in Rs,8.13,5.42,2.77,5.59,4.91,4.83,0.93,3.15,1.86,1.98,1.19,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,4079,,,,4113,,,,3897,1756,2169,3568,2504,2221,3543
Profit & Loss,Expenses,,,3762,,,,3833,,,,3721,1680,2042,3496,2444,2081,3296
Profit & Loss,Operating Profit,,,317,,,,280,,,,176,76,127,72,60,140,247
Profit & Loss,OPM %,,,8%,,,,7%,,,,4%,4%,6%,2%,2%,6%,7%
Profit & Loss,Other Income,,,24,,,,10,,,,13,10,13,11,13,29,26
Profit & Loss,Interest,,,52,,,,59,,,,48,47,31,48,50,37,33
Profit & Loss,Depreciation,,,17,,,,20,,,,26,8,9,8,11,11,15
Profit & Loss,Profit before tax,,,272,,,,210,,,,114,31,100,27,13,120,225
Profit & Loss,Tax %,,,21%,,,,21%,,,,27%,16%,26%,30%,24%,17%,27%
Profit & Loss,Net Profit,,,214,,,,165,,,,83,26,74,19,10,100,164
Profit & Loss,EPS in Rs,,,23.86,,,,14.36,,,,8.18,162.19,46.43,11.71,6.16,62.70,18.42
Profit & Loss,Dividend Payout %,,,2%,,,,3%,,,,6%,1778%,0%,85%,73%,0%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,16,,,,20,,,,20,16,16,16,16,16,16
Balance Sheet,Reserves,,,727,,,,1153,,,,1217,212,285,368,330,429,525
Balance Sheet,Borrowings,,,220,,,,271,,,,305,272,326,116,146,90,191
Balance Sheet,Other Liabilities,,,668,,,,497,,,,418,374,481,771,516,566,586
Balance Sheet,Total Liabilities,,,1632,,,,1940,,,,1959,875,1108,1271,1008,1101,1318
Balance Sheet,Fixed Assets,,,238,,,,361,,,,450,74,78,99,97,88,190
Balance Sheet,CWIP,,,73,,,,9,,,,8,2,4,5,12,22,44
Balance Sheet,Investments,,,0,,,,0,,,,0,0,0,1,0,7,0
Balance Sheet,Other Assets,,,1321,,,,1570,,,,1501,798,1025,1166,899,984,1084
Balance Sheet,Total Assets,,,1632,,,,1940,,,,1959,875,1108,1271,1008,1101,1318
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,88,,,,-69,,,,15,214,-26,165,70,118,167
Cash Flows,Cash from Investing Activity,,,-72,,,,-66,,,,-48,-10,-8,1,-24,-22,-116
Cash Flows,Cash from Financing Activity,,,-29,,,,160,,,,13,-221,24,-176,-45,-91,-4
Cash Flows,Net Cash Flow,,,-13,,,,25,,,,-21,-16,-10,-11,2,5,47
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,50,,,,55,,,,63,90,95,63,64,84,46
Ratios,Inventory Days,,,47,,,,46,,,,49,54,51,30,32,38,40
Ratios,Days Payable,,,59,,,,38,,,,33,84,81,84,82,101,63
Ratios,Cash Conversion Cycle,,,38,,,,63,,,,78,60,65,9,14,22,22
Ratios,Working Capital Days,,,46,,,,74,,,,92,70,75,28,41,48,32
Ratios,ROCE %,,,37%,,,,22%,,,,11%,,23%,,13%,31%,39%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,64.63%,64.63%,64.63%,64.63%,64.63%,64.63%,65.01%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,3.87%,2.53%,0.53%,0.18%,0.02%,0.62%,0.18%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,10.72%,6.61%,3.47%,2.65%,1.84%,1.70%,1.79%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,20.79%,26.24%,31.37%,32.56%,33.52%,33.05%,33.03%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,122463,182532,180727,172305,167001,153263,150403,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,64.63%,,,,65.01%,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,0.53%,,,,0.18%,,,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,3.47%,,,,1.79%,,,,,,
Shareholding Pattern (Yearly),Public,,,,,,,31.37%,,,,33.03%,,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,180727,,,,150403,,,,,,
,,,,,,,,,,,,,,,,,,
