Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2023,Jun 2023,Sep 2023,Jun 2024
Quarterly Results,Sales,18.05,13.01,20.97,25.12,20.83,16.16,23.21,16.49,15.87,16.96,18.47,19.05,17.16,,,,,,,,,,,
Quarterly Results,Expenses,17.15,12.15,19.61,23.23,20.91,15.02,21.72,16.26,14.74,15.89,16.90,17.82,14.84,,,,,,,,,,,
Quarterly Results,Operating Profit,0.90,0.86,1.36,1.89,-0.08,1.14,1.49,0.23,1.13,1.07,1.57,1.23,2.32,,,,,,,,,,,
Quarterly Results,OPM %,4.99%,6.61%,6.49%,7.52%,-0.38%,7.05%,6.42%,1.39%,7.12%,6.31%,8.50%,6.46%,13.52%,,,,,,,,,,,
Quarterly Results,Other Income,0.01,0.02,0.00,0.00,-0.01,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.16,,,,,,,,,,,
Quarterly Results,Interest,0.23,0.19,0.35,0.52,0.30,0.31,0.37,0.33,0.34,0.37,0.37,0.37,1.05,,,,,,,,,,,
Quarterly Results,Depreciation,0.72,0.68,0.79,0.70,0.76,0.77,0.70,0.80,0.71,0.63,0.73,0.76,0.76,,,,,,,,,,,
Quarterly Results,Profit before tax,-0.04,0.01,0.22,0.67,-1.15,0.06,0.42,-0.90,0.19,0.07,0.47,0.10,0.67,,,,,,,,,,,
Quarterly Results,Tax %,-125.00%,0.00%,-4.55%,34.33%,-27.83%,-16.67%,2.38%,0.00%,5.26%,185.71%,19.15%,20.00%,29.85%,,,,,,,,,,,
Quarterly Results,Net Profit,0.01,0.01,0.23,0.44,-0.83,0.07,0.40,-0.90,0.18,-0.06,0.39,0.08,0.47,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.01,0.01,0.24,0.46,-0.87,0.07,0.42,-0.95,0.19,-0.06,0.41,0.08,0.49,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,62.89,,,,79.93,,,,,75.53,,,72.47,51.27,57.15,58.18,72.18,65.35,52.98,60.85,,,,
Profit & Loss,Expenses,59.35,,,,75.93,,,,,70.22,,,65.85,44.03,49.08,50.07,60.12,57.93,53.75,57.02,,,,
Profit & Loss,Operating Profit,3.54,,,,4.00,,,,,5.31,,,6.62,7.24,8.07,8.11,12.06,7.42,-0.77,3.83,,,,
Profit & Loss,OPM %,5.63%,,,,5.00%,,,,,7.03%,,,9.13%,14.12%,14.12%,13.94%,16.71%,11.35%,-1.45%,6.29%,,,,
Profit & Loss,Other Income,0.04,,,,0.03,,,,,-0.54,,,0.17,-1.46,-0.15,1.83,1.29,1.52,0.87,0.03,,,,
Profit & Loss,Interest,0.78,,,,1.36,,,,,1.40,,,2.12,2.40,2.43,2.52,1.99,1.45,1.32,1.08,,,,
Profit & Loss,Depreciation,2.69,,,,2.93,,,,,3.19,,,2.96,2.09,2.29,2.21,2.45,2.54,2.42,2.78,,,,
Profit & Loss,Profit before tax,0.11,,,,-0.26,,,,,0.18,,,1.71,1.29,3.20,5.21,8.91,4.95,-3.64,0.00,,,,
Profit & Loss,Tax %,-18.18%,,,,-38.46%,,,,,172.22%,,,22.81%,32.56%,-21.25%,16.89%,16.95%,18.99%,12.09%,,,,,
Profit & Loss,Net Profit,0.12,,,,-0.15,,,,,-0.12,,,1.31,0.87,3.88,4.33,7.39,4.02,-4.09,0.71,,,,
Profit & Loss,EPS in Rs,0.13,,,,-0.16,,,,,-0.13,,,1.38,0.92,4.08,4.56,7.78,4.23,-4.30,0.75,,,,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,,0.00%,,,0.00%,0.00%,0.00%,0.00%,6.43%,0.00%,0.00%,0.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,9.50,,,,9.50,,,,,9.50,,,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,,,,
Balance Sheet,Reserves,47.94,,,,48.69,,,,,50.65,,,52.04,28.13,32.01,39.81,47.19,50.76,46.60,47.34,,,,
Balance Sheet,Borrowings,15.97,,,,18.85,,,,,19.29,,,26.89,19.92,21.25,16.48,15.38,14.28,19.06,12.22,,,,
Balance Sheet,Other Liabilities,13.27,,,,10.96,,,,,13.13,,,15.05,11.13,9.98,11.09,11.62,12.80,12.78,11.76,,,,
Balance Sheet,Total Liabilities,86.68,,,,88.00,,,,,92.57,,,103.48,68.68,72.74,76.88,83.69,87.34,87.94,80.82,,,,
Balance Sheet,Fixed Assets,13.56,,,,16.72,,,,,39.16,,,39.98,14.13,13.38,12.68,12.11,11.22,11.32,10.69,,,,
Balance Sheet,CWIP,5.27,,,,5.27,,,,,5.55,,,9.99,4.47,4.22,4.35,4.35,4.35,4.65,4.65,,,,
Balance Sheet,Investments,0.02,,,,0.02,,,,,0.01,,,0.01,1.14,1.14,1.14,1.14,1.14,0.02,0.02,,,,
Balance Sheet,Other Assets,67.83,,,,65.99,,,,,47.85,,,53.50,48.94,54.00,58.71,66.09,70.63,71.95,65.46,,,,
Balance Sheet,Total Assets,86.68,,,,88.00,,,,,92.57,,,103.48,68.68,72.74,76.88,83.69,87.34,87.94,80.82,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1.07,,,,3.61,,,,,8.69,,,5.34,3.71,,10.46,5.28,3.58,2.44,9.08,,,,
Cash Flows,Cash from Investing Activity,-4.31,,,,-3.26,,,,,-11.79,,,-12.08,-2.26,,-2.11,-4.53,-0.48,-2.58,-2.32,,,,
Cash Flows,Cash from Financing Activity,0.81,,,,-0.69,,,,,3.68,,,6.33,-1.17,,-6.44,-2.57,-2.86,4.11,-7.93,,,,
Cash Flows,Net Cash Flow,-2.44,,,,-0.34,,,,,0.59,,,-0.41,0.28,,1.92,-1.82,0.24,3.98,-1.18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,124.43,,,,75.80,,,,,77.95,,,74.69,73.11,71.72,67.82,99.92,116.96,131.45,102.03,,,,
Ratios,Inventory Days,218.50,,,,200.69,,,,,139.47,,,164.71,103.27,89.94,93.37,51.27,65.80,159.07,251.54,,,,
Ratios,Days Payable,49.86,,,,27.06,,,,,22.68,,,29.59,106.16,75.61,64.23,65.33,56.23,74.60,37.42,,,,
