Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,28,37,33,52,96,132,66,100,141,255,242,152,325,,,,,,,,,
Quarterly Results,Expenses,23,26,23,36,61,64,48,57,91,143,162,108,187,,,,,,,,,
Quarterly Results,Operating Profit,5,11,10,17,35,69,19,42,50,111,80,44,138,,,,,,,,,
Quarterly Results,OPM %,17%,29%,30%,32%,37%,52%,29%,43%,36%,44%,33%,29%,42%,,,,,,,,,
Quarterly Results,Other Income,2,2,3,4,-0,3,5,4,5,3,8,22,25,,,,,,,,,
Quarterly Results,Interest,1,1,1,2,1,0,1,1,1,1,2,3,4,,,,,,,,,
Quarterly Results,Depreciation,1,2,1,2,2,2,2,3,3,3,4,4,5,,,,,,,,,
Quarterly Results,Profit before tax,5,11,11,17,33,69,22,44,52,110,82,59,154,,,,,,,,,
Quarterly Results,Tax %,3%,34%,31%,30%,29%,30%,37%,32%,27%,28%,23%,28%,26%,,,,,,,,,
Quarterly Results,Net Profit,5,7,8,12,23,48,14,30,38,79,63,43,114,,,,,,,,,
Quarterly Results,EPS in Rs,0.42,0.94,0.71,1.19,2.54,5.60,1.82,3.64,4.16,9.14,6.94,4.40,11.19,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,70,,,,219,,,,440,,,,974,37,46,79,53,62,92,149,55,
Profit & Loss,Expenses,65,,,,146,,,,259,,,,600,33,46,58,48,50,76,87,47,
Profit & Loss,Operating Profit,5,,,,73,,,,181,,,,373,5,1,21,4,11,17,63,7,
Profit & Loss,OPM %,7%,,,,33%,,,,41%,,,,38%,12%,1%,27%,8%,18%,18%,42%,14%,
