Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1074,1334,1461,1418,1471,1209,947,992,1133,1176,1188,1148,1225,,,,
Quarterly Results,Expenses,742,875,926,895,942,861,783,786,895,914,893,854,919,,,,
Quarterly Results,Operating Profit,331,459,536,523,529,348,164,206,238,262,295,294,306,,,,
Quarterly Results,OPM %,31%,34%,37%,37%,36%,29%,17%,21%,21%,22%,25%,26%,25%,,,,
Quarterly Results,Other Income,27,26,24,21,19,15,13,13,18,9,9,14,26,,,,
Quarterly Results,Interest,13,21,23,38,35,28,34,37,34,37,42,42,26,,,,
Quarterly Results,Depreciation,52,55,57,60,64,66,68,72,81,85,90,91,89,,,,
Quarterly Results,Profit before tax,293,409,480,446,449,269,75,110,141,149,172,175,217,,,,
Quarterly Results,Tax %,25%,26%,26%,26%,26%,25%,29%,27%,28%,28%,30%,28%,12%,,,,
Quarterly Results,Net Profit,218,303,357,331,332,201,53,80,101,108,121,126,191,,,,
Quarterly Results,EPS in Rs,20.17,27.88,32.88,29.99,30.21,18.30,4.82,7.28,9.19,9.83,11.02,11.47,17.39,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3954,,,,5685,,,,4281,,,,4737,3851,2729,2606,2650
Profit & Loss,Expenses,2785,,,,3719,,,,3366,,,,3580,3105,1941,2167,2052
Profit & Loss,Operating Profit,1168,,,,1965,,,,915,,,,1157,745,788,439,598
Profit & Loss,OPM %,30%,,,,35%,,,,21%,,,,24%,19%,29%,17%,23%
Profit & Loss,Other Income,161,,,,172,,,,100,,,,58,112,78,190,199
Profit & Loss,Interest,78,,,,117,,,,133,,,,147,279,56,105,113
Profit & Loss,Depreciation,205,,,,236,,,,286,,,,355,299,164,192,202
Profit & Loss,Profit before tax,1045,,,,1785,,,,595,,,,713,279,645,332,482
Profit & Loss,Tax %,26%,,,,26%,,,,27%,,,,23%,14%,-93%,43%,146%
Profit & Loss,Net Profit,776,,,,1323,,,,435,,,,546,240,1246,189,-222
Profit & Loss,EPS in Rs,71.66,,,,120.97,,,,39.59,,,,49.70,,,17.87,-19.91
Profit & Loss,Dividend Payout %,6%,,,,3%,,,,8%,,,,6%,15%,0%,0%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,11,11,11,11
Balance Sheet,Reserves,4244,,,,5510,,,,5925,,,,7242,4756,3499,3705,3482
Balance Sheet,Borrowings,1556,,,,1515,,,,2096,,,,2080,2000,968,1718,1581
Balance Sheet,Other Liabilities,1067,,,,1335,,,,1201,,,,1276,2986,441,634,895
Balance Sheet,Total Liabilities,6878,,,,8371,,,,9233,,,,10609,9753,4919,6067,5969
Balance Sheet,Fixed Assets,2514,,,,3111,,,,4264,,,,4329,3813,2305,2414,2367
Balance Sheet,CWIP,680,,,,1158,,,,1128,,,,1524,724,229,318,400
Balance Sheet,Investments,20,,,,1,,,,1,,,,290,524,342,259,88
Balance Sheet,Other Assets,3665,,,,4101,,,,3840,,,,4466,4691,2042,3076,3114
Balance Sheet,Total Assets,6878,,,,8371,,,,9233,,,,10609,9753,4919,6067,5969
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,741,,,,739,,,,626,,,,545,952,782,546,616
Cash Flows,Cash from Investing Activity,-584,,,,-476,,,,-966,,,,-1120,589,-428,-1152,-373
Cash Flows,Cash from Financing Activity,-144,,,,-264,,,,348,,,,599,-1668,110,622,-248
Cash Flows,Net Cash Flow,14,,,,-2,,,,7,,,,24,-127,464,17,-5
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,72,,,,71,,,,72,,,,92,184,77,79,92
Ratios,Inventory Days,314,,,,375,,,,435,,,,449,736,351,390,404
Ratios,Days Payable,170,,,,174,,,,144,,,,149,471,127,176,159
Ratios,Cash Conversion Cycle,216,,,,272,,,,363,,,,392,449,301,293,338
Ratios,Working Capital Days,137,,,,146,,,,199,,,,242,169,116,146,146
Ratios,ROCE %,20%,,,,30%,,,,10%,,,,10%,,11%,9%,11%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,66.08%,66.08%,63.80%,63.80%,63.80%,63.80%,63.80%,63.80%,62.57%,62.57%,62.57%,62.57%,,,,
Shareholding Pattern (Quarterly),FIIs,,4.10%,4.99%,5.75%,4.85%,6.44%,4.82%,4.58%,4.51%,5.20%,4.88%,4.61%,4.63%,,,,
Shareholding Pattern (Quarterly),DIIs,,4.25%,3.90%,4.25%,5.87%,5.86%,7.68%,8.59%,8.76%,9.60%,9.56%,10.05%,10.74%,,,,
Shareholding Pattern (Quarterly),Public,,25.57%,25.04%,26.19%,25.47%,23.88%,23.69%,23.01%,22.91%,22.62%,22.98%,22.77%,22.05%,,,,
