Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Aug 2019
Quarterly Results,Sales,151.40,158.13,151.77,133.55,157.84,148.70,143.86,138.75,158.55,143.41,150.84,162.78,202.05,,,
Quarterly Results,Expenses,147.22,146.63,143.00,119.98,143.94,133.90,127.60,122.02,144.21,133.79,147.12,153.89,182.36,,,
Quarterly Results,Operating Profit,4.18,11.50,8.77,13.57,13.90,14.80,16.26,16.73,14.34,9.62,3.72,8.89,19.69,,,
Quarterly Results,OPM %,2.76%,7.27%,5.78%,10.16%,8.81%,9.95%,11.30%,12.06%,9.04%,6.71%,2.47%,5.46%,9.75%,,,
Quarterly Results,Other Income,0.24,0.10,0.09,0.06,0.09,0.03,0.03,0.03,0.05,0.49,6.21,-0.16,1.14,,,
Quarterly Results,Interest,2.25,2.98,3.74,4.16,3.91,3.32,3.66,3.65,3.41,2.57,2.60,3.12,3.26,,,
Quarterly Results,Depreciation,2.04,3.49,4.06,4.01,3.93,3.95,3.85,4.02,4.21,4.23,4.31,4.40,4.41,,,
Quarterly Results,Profit before tax,0.13,5.13,1.06,5.46,6.15,7.56,8.78,9.09,6.77,3.31,3.02,1.21,13.16,,,
Quarterly Results,Tax %,-1723.08%,27.68%,69.81%,27.11%,23.90%,30.56%,45.90%,26.40%,31.17%,32.93%,40.07%,33.88%,26.22%,,,
Quarterly Results,Net Profit,2.37,3.71,0.32,3.98,4.69,5.25,4.74,6.68,4.65,2.22,1.81,0.80,9.72,,,
Quarterly Results,EPS in Rs,2.79,4.36,0.38,4.68,5.52,6.18,5.58,7.86,5.50,2.62,2.14,0.95,11.49,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,576,,,,601,,,,590,,,,659,326,466,
Profit & Loss,Expenses,543,,,,554,,,,528,,,,617,302,420,
Profit & Loss,Operating Profit,32,,,,48,,,,62,,,,42,24,46,
Profit & Loss,OPM %,6%,,,,8%,,,,11%,,,,6%,7%,10%,
Profit & Loss,Other Income,0,,,,0,,,,0,,,,8,0,0,
Profit & Loss,Interest,11,,,,15,,,,14,,,,12,10,10,
Profit & Loss,Depreciation,12,,,,15,,,,16,,,,17,11,12,
Profit & Loss,Profit before tax,9,,,,18,,,,32,,,,21,3,23,
Profit & Loss,Tax %,41%,,,,29%,,,,34%,,,,30%,29%,6%,
Profit & Loss,Net Profit,5,,,,13,,,,21,,,,15,2,22,
Profit & Loss,EPS in Rs,6.46,,,,14.94,,,,25.22,,,,17.19,2.46,25.45,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,6%,0%,11%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,8,,,,8,,,,8,,,,8,8,8,
Balance Sheet,Reserves,128,,,,160,,,,210,,,,224,103,125,
Balance Sheet,Borrowings,162,,,,149,,,,99,,,,110,109,152,
Balance Sheet,Other Liabilities,105,,,,86,,,,105,,,,134,42,102,
Balance Sheet,Total Liabilities,402,,,,404,,,,422,,,,477,262,387,
Balance Sheet,Fixed Assets,173,,,,207,,,,208,,,,206,151,187,
Balance Sheet,CWIP,52,,,,8,,,,8,,,,13,14,20,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,
Balance Sheet,Other Assets,178,,,,188,,,,206,,,,259,97,180,
Balance Sheet,Total Assets,402,,,,404,,,,422,,,,477,262,387,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,23,,,,25,,,,52,,,,11,18,36,
Cash Flows,Cash from Investing Activity,-23,,,,-11,,,,-16,,,,-16,-2,-60,
Cash Flows,Cash from Financing Activity,-6,,,,-8,,,,-37,,,,-0,-16,32,
Cash Flows,Net Cash Flow,-5,,,,6,,,,-1,,,,-5,0,7,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,35,,,,40,,,,43,,,,42,20,43,
Ratios,Inventory Days,60,,,,60,,,,81,,,,92,83,76,
Ratios,Days Payable,56,,,,44,,,,55,,,,63,28,81,
Ratios,Cash Conversion Cycle,38,,,,55,,,,69,,,,71,75,38,
Ratios,Working Capital Days,51,,,,66,,,,70,,,,81,67,59,
Ratios,ROCE %,7%,,,,11%,,,,15%,,,,8%,,13%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,45.04%,45.04%,45.04%,49.81%,49.81%,49.81%,49.81%,49.81%,49.81%,49.92%,49.92%,49.92%,,,
Shareholding Pattern (Quarterly),FIIs,,0.65%,0.64%,0.59%,0.06%,0.04%,0.04%,0.04%,0.09%,0.04%,0.06%,0.00%,0.14%,,,
Shareholding Pattern (Quarterly),DIIs,,0.30%,0.30%,0.30%,0.16%,0.00%,0.00%,0.01%,0.00%,0.00%,1.06%,0.80%,0.80%,,,
Shareholding Pattern (Quarterly),Government,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,
Shareholding Pattern (Quarterly),Public,,54.00%,54.01%,54.05%,49.95%,50.14%,50.14%,50.14%,50.10%,50.14%,48.95%,49.26%,49.13%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,40890,41465,40877,41140,40848,41228,41711,43091,41653,40028,39417,38548,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,45.04%,,,,49.81%,,,,49.81%,,,,49.92%,,48.68%,44.10%
Shareholding Pattern (Yearly),FIIs,0.62%,,,,0.06%,,,,0.09%,,,,0.14%,,1.61%,8.95%
Shareholding Pattern (Yearly),DIIs,0.30%,,,,0.16%,,,,0.00%,,,,0.80%,,0.55%,18.98%
Shareholding Pattern (Yearly),Government,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,,0.00%,0.00%
Shareholding Pattern (Yearly),Public,54.03%,,,,49.95%,,,,50.10%,,,,49.13%,,49.16%,27.97%
Shareholding Pattern (Yearly),No. of Shareholders,39697,,,,41140,,,,43091,,,,38548,,28116,29074
,,,,,,,,,,,,,,,,,
