Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,418,448,431,525,490,591,564,603,544,646,616,726,595,,,,,,,,,,,,,,,
Quarterly Results,Expenses,363,387,377,448,432,506,493,522,483,555,529,628,528,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,55,61,54,77,57,85,70,81,61,91,88,98,68,,,,,,,,,,,,,,,
Quarterly Results,OPM %,13%,14%,13%,15%,12%,14%,12%,13%,11%,14%,14%,14%,11%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,11,15,12,11,10,11,11,9,13,13,10,14,16,,,,,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,2,1,1,2,2,1,1,1,0,1,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,10,11,12,12,12,12,12,14,13,13,14,14,14,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,55,64,53,73,55,83,67,75,60,90,83,98,69,,,,,,,,,,,,,,,
Quarterly Results,Tax %,26%,26%,27%,24%,26%,24%,25%,27%,25%,24%,26%,25%,25%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,40,47,39,56,41,63,50,55,45,68,62,73,52,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.32,2.72,2.24,3.21,2.35,3.61,2.88,3.16,2.56,3.91,3.55,4.20,2.96,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1822,,,,2247,,,,2533,,731,802,819,826,946,1093,1294,1208,1497,2584,,,,,
Profit & Loss,Expenses,,,,1575,,,,1954,,,,2196,,629,701,713,720,838,965,1142,1039,1287,2240,,,,,
Profit & Loss,Operating Profit,,,,247,,,,294,,,,338,,102,101,106,106,108,128,152,169,210,344,,,,,
Profit & Loss,OPM %,,,,14%,,,,13%,,,,13%,,14%,13%,13%,13%,11%,12%,12%,14%,14%,13%,,,,,
Profit & Loss,Other Income,,,,50,,,,42,,,,50,,12,23,24,29,35,24,40,33,40,54,,,,,
Profit & Loss,Interest,,,,6,,,,5,,,,3,,3,2,2,3,4,4,5,3,5,3,,,,,
Profit & Loss,Depreciation,,,,45,,,,50,,,,54,,27,28,28,29,31,40,46,42,44,55,,,,,
