Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,143,130,133,118,166,150,133,124,186,156,153,,
Quarterly Results,Expenses,91,88,92,88,109,108,102,91,128,108,112,,
Quarterly Results,Operating Profit,51,43,41,30,57,43,31,33,58,48,41,,
Quarterly Results,OPM %,36%,33%,31%,26%,34%,28%,23%,27%,31%,31%,27%,,
Quarterly Results,Other Income,1,1,8,1,1,1,1,1,1,1,3,,
Quarterly Results,Interest,4,5,5,5,6,7,6,6,6,7,6,,
Quarterly Results,Depreciation,13,13,14,15,15,16,16,15,16,18,19,,
Quarterly Results,Profit before tax,35,26,29,11,37,21,10,13,35,24,19,,
Quarterly Results,Tax %,25%,26%,25%,24%,24%,25%,29%,25%,25%,25%,27%,,
Quarterly Results,Net Profit,26,19,22,9,28,16,7,10,26,18,14,,
Quarterly Results,EPS in Rs,80.90,60.25,67.43,1.33,4.35,2.42,1.10,1.51,4.07,2.81,2.12,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,498,,,,567,,,,618,245,341
Profit & Loss,Expenses,,,334,,,,406,,,,438,195,245
Profit & Loss,Operating Profit,,,164,,,,161,,,,180,50,96
Profit & Loss,OPM %,,,33%,,,,28%,,,,29%,20%,28%
Profit & Loss,Other Income,,,11,,,,4,,,,6,15,13
Profit & Loss,Interest,,,18,,,,24,,,,25,17,15
Profit & Loss,Depreciation,,,53,,,,62,,,,69,44,46
Profit & Loss,Profit before tax,,,104,,,,79,,,,92,4,48
Profit & Loss,Tax %,,,25%,,,,25%,,,,26%,14%,25%
Profit & Loss,Net Profit,,,78,,,,59,,,,68,3,36
Profit & Loss,EPS in Rs,,,241.08,,,,9.18,,,,10.47,10.78,111.97
Profit & Loss,Dividend Payout %,,,0%,,,,5%,,,,29%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,3,,,,13,,,,13,3,3
Balance Sheet,Reserves,,,278,,,,329,,,,397,189,233
Balance Sheet,Borrowings,,,192,,,,253,,,,237,144,154
Balance Sheet,Other Liabilities,,,101,,,,115,,,,122,81,86
Balance Sheet,Total Liabilities,,,574,,,,710,,,,769,417,476
Balance Sheet,Fixed Assets,,,237,,,,281,,,,291,167,179
Balance Sheet,CWIP,,,0,,,,1,,,,1,0,1
Balance Sheet,Investments,,,0,,,,0,,,,0,0,0
Balance Sheet,Other Assets,,,338,,,,428,,,,478,249,296
Balance Sheet,Total Assets,,,574,,,,710,,,,769,417,476
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,72,,,,56,,,,166,96,78
Cash Flows,Cash from Investing Activity,,,-19,,,,-35,,,,-20,-6,-28
Cash Flows,Cash from Financing Activity,,,-82,,,,-28,,,,-103,-66,-39
Cash Flows,Net Cash Flow,,,-29,,,,-6,,,,44,24,11
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,101,,,,137,,,,141,183,132
Ratios,Inventory Days,,,195,,,,189,,,,141,171,163
Ratios,Days Payable,,,73,,,,45,,,,35,101,91
Ratios,Cash Conversion Cycle,,,223,,,,281,,,,246,252,204
Ratios,Working Capital Days,,,159,,,,189,,,,173,207,160
Ratios,ROCE %,,,28%,,,,19%,,,,19%,,17%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,55.40%,55.24%,55.19%,54.83%,54.64%,55.06%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.56%,2.72%,1.89%,1.47%,0.47%,0.26%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,10.42%,8.45%,7.65%,6.69%,5.68%,4.42%,,
Shareholding Pattern (Quarterly),Public,,,,,,30.61%,33.58%,35.26%,36.99%,39.21%,40.26%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,88348,81579,80182,78243,77216,75677,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,55.24%,,,,55.06%,,
Shareholding Pattern (Yearly),FIIs,,,,,,,2.72%,,,,0.26%,,
Shareholding Pattern (Yearly),DIIs,,,,,,,8.45%,,,,4.42%,,
Shareholding Pattern (Yearly),Public,,,,,,,33.58%,,,,40.26%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,81579,,,,75677,,
,,,,,,,,,,,,,,
