Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,2675.49,2680.79,2373.41,2321.61,2288.92,2262.91,2221.84,2426.31,2539.39,2512.88,2444.62,2498.83,,,,
Quarterly Results,Expenses,2517.19,2515.80,2197.47,2154.76,2118.50,2077.85,2059.77,2260.84,2357.57,2344.08,2293.54,2329.82,,,,
Quarterly Results,Operating Profit,158.30,164.99,175.94,166.85,170.42,185.06,162.07,165.47,181.82,168.80,151.08,169.01,,,,
Quarterly Results,OPM %,5.92%,6.15%,7.41%,7.19%,7.45%,8.18%,7.29%,6.82%,7.16%,6.72%,6.18%,6.76%,,,,
Quarterly Results,Other Income,16.65,24.68,27.64,-0.69,-18.27,-12.62,22.23,16.23,6.58,29.26,8.73,14.36,,,,
Quarterly Results,Interest,43.19,42.75,48.80,51.86,63.32,57.13,44.03,38.23,39.50,40.66,39.48,37.08,,,,
Quarterly Results,Depreciation,123.62,124.99,125.30,133.79,136.77,141.75,139.67,138.53,135.14,139.57,135.52,133.33,,,,
Quarterly Results,Profit before tax,8.14,21.93,29.48,-19.49,-47.94,-26.44,0.60,4.94,13.76,17.83,-15.19,12.96,,,,
Quarterly Results,Tax %,122.11%,-81.67%,45.49%,-36.63%,36.13%,53.56%,-1565.00%,-8.91%,45.71%,40.49%,56.68%,130.25%,,,,
Quarterly Results,Net Profit,-1.80,39.84,16.07,-12.35,-65.26,-40.60,9.99,5.38,7.47,10.61,-23.80,-3.92,,,,
Quarterly Results,EPS in Rs,-0.11,1.08,0.44,-0.31,-1.80,-1.13,0.22,0.10,0.15,0.21,-0.56,-0.11,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,9994,,,,9200,,,,9996,6780,6605,6934,9250
Profit & Loss,Expenses,,,,9322,,,,8502,,,,9304,6271,6349,6538,8629
Profit & Loss,Operating Profit,,,,672,,,,698,,,,691,509,255,396,621
Profit & Loss,OPM %,,,,7%,,,,8%,,,,7%,8%,4%,6%,7%
Profit & Loss,Other Income,,,,62,,,,-0,,,,38,63,184,111,12
Profit & Loss,Interest,,,,193,,,,210,,,,157,146,237,182,160
Profit & Loss,Depreciation,,,,502,,,,557,,,,544,418,444,443,461
Profit & Loss,Profit before tax,,,,40,,,,-69,,,,29,8,-242,-119,13
Profit & Loss,Tax %,,,,-4%,,,,31%,,,,133%,497%,3%,-36%,463%
