Section,,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023,Jun 2022,Sep 2022,Jun 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,34.22,39.15,11.21,2.75,23.92,31.50,22.81,30.11,,,,,,,,,,
Quarterly Results,Expenses,31.20,31.86,25.30,6.95,25.73,28.34,18.66,26.38,,,,,,,,,,
Quarterly Results,Operating Profit,3.02,7.29,-14.09,-4.20,-1.81,3.16,4.15,3.73,,,,,,,,,,
Quarterly Results,OPM %,8.83%,18.62%,-125.69%,-152.73%,-7.57%,10.03%,18.19%,12.39%,,,,,,,,,,
Quarterly Results,Other Income,0.04,0.10,0.29,0.06,3.31,1.77,0.03,0.31,,,,,,,,,,
Quarterly Results,Interest,0.58,0.75,0.73,1.19,0.97,0.85,0.93,1.08,,,,,,,,,,
Quarterly Results,Depreciation,0.41,0.41,0.41,0.50,0.49,0.49,0.49,0.48,,,,,,,,,,
Quarterly Results,Profit before tax,2.07,6.23,-14.94,-5.83,0.04,3.59,2.76,2.48,,,,,,,,,,
Quarterly Results,Tax %,28.02%,29.53%,-2.81%,-26.76%,625.00%,87.74%,10.87%,5.65%,,,,,,,,,,
Quarterly Results,Net Profit,1.49,4.39,-14.53,-4.27,-0.20,0.43,2.47,2.34,,,,,,,,,,
Quarterly Results,EPS in Rs,0.73,2.17,-7.17,-2.11,-0.10,0.21,1.22,1.15,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,107,,,,120,131,,,,,,,,,
Profit & Loss,Expenses,,,,110,,,,106,121,,,,,,,,,
Profit & Loss,Operating Profit,,,,-3,,,,14,10,,,,,,,,,
Profit & Loss,OPM %,,,,-3%,,,,11%,8%,,,,,,,,,
Profit & Loss,Other Income,,,,1,,,,1,0,,,,,,,,,
Profit & Loss,Interest,,,,3,,,,4,2,,,,,,,,,
Profit & Loss,Depreciation,,,,2,,,,2,2,,,,,,,,,
Profit & Loss,Profit before tax,,,,-7,,,,9,7,,,,,,,,,
Profit & Loss,Tax %,,,,-27%,,,,43%,30%,,,,,,,,,
Profit & Loss,Net Profit,,,,-5,,,,5,5,,,,,,,,,
Profit & Loss,EPS in Rs,,,,-2.60,,,,2.49,2.47,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,20,,,,20,,,,,,,,,,
Balance Sheet,Reserves,,,,28,,,,45,,,,,,,,,,
Balance Sheet,Borrowings,,,,29,,,,28,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,22,,,,64,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,99,,,,158,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,24,,,,23,,,,,,,,,,
Balance Sheet,CWIP,,,,0,,,,0,,,,,,,,,,
Balance Sheet,Investments,,,,6,,,,6,,,,,,,,,,
Balance Sheet,Other Assets,,,,68,,,,129,,,,,,,,,,
Balance Sheet,Total Assets,,,,99,,,,158,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,3,,,,3,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-2,,,,0,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-1,,,,-4,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,-0,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,43,,,,68,,,,,,,,,,
Ratios,Inventory Days,,,,154,,,,278,,,,,,,,,,
Ratios,Days Payable,,,,74,,,,217,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,122,,,,129,,,,,,,,,,
Ratios,Working Capital Days,,,,160,,,,200,,,,,,,,,,
Ratios,ROCE %,,,,,,,,15%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,54.27%,54.27%,54.27%,54.27%,54.27%,54.27%,54.27%,54.27%,54.27%,54.27%,54.27%,54.27%,,,,,,
Shareholding Pattern (Quarterly),Public,45.73%,45.73%,45.73%,45.73%,45.73%,45.73%,45.73%,45.73%,45.73%,45.73%,45.73%,45.73%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,21756,20328,19774,21865,21502,20920,20795,20465,21158,22971,21653,20728,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,54.27%,,,,54.27%,54.27%,,,,54.27%,54.27%,54.27%,54.27%,54.27%,54.27%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,0.00%,,,,0.12%,2.84%,3.31%,0.08%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,,,,45.73%,,,,45.73%,45.73%,,,,45.61%,42.89%,42.42%,45.65%,45.73%,45.72%
Shareholding Pattern (Yearly),No. of Shareholders,,,,21865,,,,20465,21158,,,,502,226,281,17637,15688,18500
,,,,,,,,,,,,,,,,,,,
