Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,89,82,90,119,110,94,110,108,101,236,235,219,,,,
Quarterly Results,Expenses,77,79,87,101,94,103,107,104,96,227,222,202,,,,
Quarterly Results,Operating Profit,12,4,2,19,16,-8,4,4,5,9,14,17,,,,
Quarterly Results,OPM %,13%,5%,3%,16%,14%,-9%,3%,3%,5%,4%,6%,8%,,,,
Quarterly Results,Other Income,3,7,4,3,2,3,9,11,8,8,6,10,,,,
Quarterly Results,Interest,3,7,5,8,6,6,6,4,2,2,2,3,,,,
Quarterly Results,Depreciation,5,5,5,4,5,5,5,5,6,7,7,10,,,,
Quarterly Results,Profit before tax,7,-1,-4,10,7,-16,2,5,4,7,10,13,,,,
Quarterly Results,Tax %,13%,117%,31%,14%,18%,6%,52%,-3%,7%,1%,1%,-14%,,,,
Quarterly Results,Net Profit,6,-2,-6,9,6,-17,1,6,4,7,10,15,,,,
Quarterly Results,EPS in Rs,0.52,-0.14,-0.49,0.78,0.52,-1.09,0.07,0.36,0.26,0.47,0.64,0.97,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,380,,,,422,,,,791,845,673,125,198
Profit & Loss,Expenses,,,,344,,,,408,,,,747,1004,628,148,207
Profit & Loss,Operating Profit,,,,37,,,,15,,,,44,-160,46,-23,-9
Profit & Loss,OPM %,,,,10%,,,,3%,,,,6%,-19%,7%,-18%,-4%
Profit & Loss,Other Income,,,,17,,,,26,,,,32,30,-31,-27,18
Profit & Loss,Interest,,,,23,,,,22,,,,10,16,18,10,10
Profit & Loss,Depreciation,,,,18,,,,20,,,,31,62,62,52,28
Profit & Loss,Profit before tax,,,,12,,,,-1,,,,35,-207,-66,-112,-29
Profit & Loss,Tax %,,,,37%,,,,247%,,,,-4%,3%,6%,6%,5%
Profit & Loss,Net Profit,,,,8,,,,-5,,,,37,-212,-70,-119,-31
Profit & Loss,EPS in Rs,,,,0.67,,,,-0.29,,,,2.33,-207.75,-65.76,-107.17,-2.75
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,11,,,,16,,,,16,10,11,11,11
Balance Sheet,Reserves,,,,158,,,,732,,,,768,224,202,112,90
Balance Sheet,Borrowings,,,,178,,,,85,,,,78,116,151,61,63
Balance Sheet,Other Liabilities,,,,333,,,,384,,,,461,854,511,376,383
Balance Sheet,Total Liabilities,,,,681,,,,1217,,,,1323,1204,874,561,547
Balance Sheet,Fixed Assets,,,,115,,,,123,,,,283,285,236,146,112
Balance Sheet,CWIP,,,,4,,,,8,,,,0,8,3,2,4
Balance Sheet,Investments,,,,0,,,,0,,,,0,0,0,0,0
Balance Sheet,Other Assets,,,,562,,,,1086,,,,1040,911,636,413,431
Balance Sheet,Total Assets,,,,681,,,,1217,,,,1323,1204,874,561,547
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-153,,,,-142,,,,-89,-409,-43,104,-83
Cash Flows,Cash from Investing Activity,,,,-14,,,,-231,,,,94,-64,13,-21,-8
Cash Flows,Cash from Financing Activity,,,,138,,,,466,,,,-102,358,32,6,20
Cash Flows,Net Cash Flow,,,,-29,,,,93,,,,-97,-115,2,90,-71
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,276,,,,389,,,,251,208,133,284,358
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,276,,,,389,,,,251,208,133,284,358
Ratios,Working Capital Days,,,,72,,,,203,,,,194,-61,-28,-277,-207
Ratios,ROCE %,,,,14%,,,,4%,,,,5%,,1%,-21%,-7%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,64.46%,64.46%,64.46%,64.46%,64.46%,64.46%,64.46%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,9.34%,4.52%,5.00%,4.66%,4.26%,3.09%,2.75%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,19.40%,24.39%,23.55%,22.51%,21.61%,21.40%,20.29%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,6.79%,6.61%,6.98%,8.37%,9.66%,11.04%,12.50%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,57804,35524,30915,33856,35253,38319,39831,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,64.46%,,,,64.46%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,5.00%,,,,2.75%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,23.55%,,,,20.29%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,6.98%,,,,12.50%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,30915,,,,39831,,,,
,,,,,,,,,,,,,,,,,
