Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Apr 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,16,11,15,19,19,21,30,38,42,44,72,88,105,,,,,,
Quarterly Results,Expenses,21,8,12,14,14,15,24,31,35,36,62,72,86,,,,,,
Quarterly Results,Operating Profit,-5,3,4,5,4,5,6,7,7,8,10,16,19,,,,,,
Quarterly Results,OPM %,-30%,28%,24%,25%,22%,26%,19%,18%,17%,18%,14%,18%,18%,,,,,,
Quarterly Results,Other Income,0,0,0,0,0,0,0,0,1,0,2,1,1,,,,,,
Quarterly Results,Interest,1,1,1,2,1,2,2,1,2,1,2,1,2,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,2,2,2,2,,,,,,
Quarterly Results,Profit before tax,-8,1,1,2,2,2,3,4,5,5,8,14,17,,,,,,
Quarterly Results,Tax %,3%,33%,20%,17%,14%,16%,17%,15%,11%,9%,9%,9%,9%,,,,,,
Quarterly Results,Net Profit,-8,0,1,1,1,2,2,4,4,5,8,12,16,,,,,,
Quarterly Results,EPS in Rs,-0.75,0.03,0.08,0.12,0.13,0.16,0.23,0.34,0.41,0.37,0.61,1.01,1.24,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,37,,,,63,,,,131,,,,309,,,,,,
Profit & Loss,Expenses,41,,,,48,,,,106,,,,256,,,,,,
Profit & Loss,Operating Profit,-4,,,,15,,,,25,,,,53,,,,,,
Profit & Loss,OPM %,-12%,,,,24%,,,,19%,,,,17%,,,,,,
Profit & Loss,Other Income,1,,,,0,,,,1,,,,4,,,,,,
Profit & Loss,Interest,4,,,,6,,,,7,,,,6,,,,,,
Profit & Loss,Depreciation,3,,,,5,,,,5,,,,7,,,,,,
Profit & Loss,Profit before tax,-12,,,,5,,,,14,,,,44,,,,,,
Profit & Loss,Tax %,5%,,,,19%,,,,14%,,,,9%,,,,,,
Profit & Loss,Net Profit,-12,,,,4,,,,12,,,,40,,,,,,
Profit & Loss,EPS in Rs,-1.17,,,,0.37,,,,1.14,,,,3.19,,,,,,
Profit & Loss,Dividend Payout %,0%,,,,9%,,,,4%,,,,3%,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,70,,,,70,,,,105,,,,126,,,,,,
Balance Sheet,Reserves,35,,,,39,,,,62,,,,177,,,,,,
Balance Sheet,Borrowings,110,,,,102,,,,97,,,,82,,,,,,
Balance Sheet,Other Liabilities,32,,,,35,,,,25,,,,25,,,,,,
Balance Sheet,Total Liabilities,246,,,,246,,,,288,,,,409,,,,,,
Balance Sheet,Fixed Assets,157,,,,152,,,,149,,,,151,,,,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,,,,,
Balance Sheet,Other Assets,89,,,,94,,,,139,,,,258,,,,,,
Balance Sheet,Total Assets,246,,,,246,,,,288,,,,409,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-27,,,,11,,,,-36,,,,-26,,,,,,
Cash Flows,Cash from Investing Activity,-157,,,,-1,,,,-4,,,,-48,,,,,,
Cash Flows,Cash from Financing Activity,186,,,,-11,,,,43,,,,76,,,,,,
Cash Flows,Net Cash Flow,2,,,,-1,,,,3,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,124,,,,70,,,,60,,,,93,,,,,,
Ratios,Inventory Days,924,,,,676,,,,318,,,,125,,,,,,
Ratios,Days Payable,127,,,,138,,,,9,,,,12,,,,,,
Ratios,Cash Conversion Cycle,921,,,,608,,,,370,,,,206,,,,,,
