Section,,Dec 2021,Mar 2022,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Sep 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,0.00,0.00,0.00,0.60,0.30,0.00,0.00,0.31,1.56,0.45,0.48,0.50,5.71,,,,,,,,,,,,
Quarterly Results,Expenses,0.08,0.31,0.07,0.35,0.08,0.43,0.27,0.35,0.71,0.43,0.81,0.58,3.39,,,,,,,,,,,,
Quarterly Results,Operating Profit,-0.08,-0.31,-0.07,0.25,0.22,-0.43,-0.27,-0.04,0.85,0.02,-0.33,-0.08,2.32,,,,,,,,,,,,
Quarterly Results,OPM %,,,,41.67%,73.33%,,,-12.90%,54.49%,4.44%,-68.75%,-16.00%,40.63%,,,,,,,,,,,,
Quarterly Results,Other Income,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,,,,,,,,,,,,
Quarterly Results,Interest,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.02,0.05,0.11,0.15,0.17,0.13,,,,,,,,,,,,
Quarterly Results,Depreciation,0.18,0.18,0.18,0.19,-0.32,0.06,0.06,0.06,0.07,0.06,0.07,0.07,0.08,,,,,,,,,,,,
Quarterly Results,Profit before tax,-0.26,-0.49,-0.25,0.04,0.53,-0.52,-0.36,-0.12,0.73,-0.15,-0.53,-0.31,2.11,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.59%,,,,,,,,,,,,
Quarterly Results,Net Profit,-0.26,-0.49,-0.25,0.04,0.53,-0.53,-0.36,-0.13,0.74,-0.16,-0.52,-0.30,1.57,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.03,-0.05,-0.02,0.00,0.05,-0.05,-0.03,-0.01,0.07,-0.02,-0.05,-0.03,0.15,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,0.00,,,1.50,,,,1.87,,,,7.14,105.94,294.58,551.25,560.34,74.46,129.67,,,,,,
Profit & Loss,Expenses,,0.60,,,0.93,,,,1.77,,,,5.18,75.91,239.77,454.04,808.62,200.76,125.71,,,,,,
Profit & Loss,Operating Profit,,-0.60,,,0.57,,,,0.10,,,,1.96,30.03,54.81,97.21,-248.28,-126.30,3.96,,,,,,
Profit & Loss,OPM %,,,,,38.00%,,,,5.35%,,,,27.45%,28.35%,18.61%,17.63%,-44.31%,-169.62%,3.05%,,,,,,
Profit & Loss,Other Income,,-1.64,,,0.01,,,,0.00,,,,0.00,0.68,11.57,1.18,18.10,11.92,2.48,,,,,,
Profit & Loss,Interest,,0.00,,,0.07,,,,0.12,,,,0.56,0.20,0.32,0.56,1.45,0.40,1.31,,,,,,
Profit & Loss,Depreciation,,0.71,,,0.24,,,,0.26,,,,0.27,5.07,6.84,17.90,71.57,29.41,3.53,,,,,,
Profit & Loss,Profit before tax,,-2.95,,,0.27,,,,-0.28,,,,1.13,25.44,59.22,79.93,-303.20,-144.19,1.60,,,,,,
Profit & Loss,Tax %,,0.00%,,,0.00%,,,,0.00%,,,,47.79%,9.83%,3.70%,9.06%,-2.55%,1.93%,11.88%,,,,,,
Profit & Loss,Net Profit,,-2.95,,,0.27,,,,-0.28,,,,0.58,22.94,57.03,72.69,-295.48,-146.98,1.41,,,,,,
Profit & Loss,EPS in Rs,,-0.29,,,0.03,,,,-0.03,,,,0.06,,17.40,20.87,-84.41,-41.99,0.21,,,,,,
Profit & Loss,Dividend Payout %,,0.00%,,,0.00%,,,,0.00%,,,,0.00%,12.03%,11.59%,9.61%,0.00%,0.00%,0.00%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,10.31,,,10.31,,,,10.31,,,,10.31,13.97,16.64,34.99,35.15,35.15,49.15,,,,,,
