Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1148.68,1167.54,1119.12,1069.81,1133.49,1179.86,1203.67,1098.71,1091.92,1087.15,1064.05,1161.06,,,,,,,,,
Quarterly Results,Expenses,1098.18,1092.50,1036.84,1033.51,1056.66,1082.35,1088.34,1032.46,1075.18,1052.73,1000.50,1018.56,,,,,,,,,
Quarterly Results,Operating Profit,50.50,75.04,82.28,36.30,76.83,97.51,115.33,66.25,16.74,34.42,63.55,142.50,,,,,,,,,
Quarterly Results,OPM %,4.40%,6.43%,7.35%,3.39%,6.78%,8.26%,9.58%,6.03%,1.53%,3.17%,5.97%,12.27%,,,,,,,,,
Quarterly Results,Other Income,172.15,248.16,78.17,98.31,114.13,107.54,91.24,159.15,345.22,120.43,170.82,136.66,,,,,,,,,
Quarterly Results,Interest,40.03,35.47,37.98,23.79,38.77,45.68,48.50,50.61,56.42,62.36,55.58,54.78,,,,,,,,,
Quarterly Results,Depreciation,106.21,117.62,117.94,113.61,123.84,134.85,141.88,133.37,131.20,133.15,137.53,120.93,,,,,,,,,
Quarterly Results,Profit before tax,76.41,170.11,4.53,-2.79,28.35,24.52,16.19,41.42,174.34,-40.66,41.26,103.45,,,,,,,,,
Quarterly Results,Tax %,55.22%,-40.48%,-1039.51%,-1020.07%,41.31%,24.84%,49.54%,-112.26%,7.35%,24.23%,120.82%,101.63%,,,,,,,,,
Quarterly Results,Net Profit,34.21,238.96,51.62,25.66,16.64,18.43,8.18,87.92,161.52,-50.51,-8.59,-1.69,,,,,,,,,
Quarterly Results,EPS in Rs,8.28,56.79,9.68,4.82,3.20,3.81,2.18,19.45,35.59,-9.74,-0.57,0.82,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,4505,,,,4616,,,,4404,2505,2808,3321,3711,3849,4470,4986,2602,4273
Profit & Loss,Expenses,,,,4257,,,,4255,,,,4147,2183,2495,3010,3293,3440,4052,4320,2520,4002
Profit & Loss,Operating Profit,,,,248,,,,360,,,,257,322,313,311,418,409,419,667,81,271
