Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,397,421,274,332,517,257,172,149,303,382,,,,
Quarterly Results,Expenses,362,378,260,294,498,224,159,140,262,352,,,,
Quarterly Results,Operating Profit,35,43,14,38,19,32,14,10,41,29,,,,
Quarterly Results,OPM %,9%,10%,5%,11%,4%,13%,8%,6%,14%,8%,,,,
Quarterly Results,Other Income,5,-0,3,6,8,5,3,4,6,4,,,,
Quarterly Results,Interest,4,7,6,6,6,7,8,9,11,10,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,3,4,4,3,,,,
Quarterly Results,Profit before tax,33,33,8,35,17,27,6,1,33,20,,,,
Quarterly Results,Tax %,17%,34%,45%,18%,31%,-8%,5%,-40%,19%,30%,,,,
Quarterly Results,Net Profit,27,22,4,29,12,29,5,1,27,14,,,,
Quarterly Results,EPS in Rs,1.03,0.99,0.16,1.28,0.48,0.91,0.14,0.07,0.88,0.45,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,1177,,,,1380,,,,1006,409,549,604,770
Profit & Loss,Expenses,,1091,,,,1274,,,,912,385,525,582,723
Profit & Loss,Operating Profit,,86,,,,105,,,,95,23,24,22,48
Profit & Loss,OPM %,,7%,,,,8%,,,,9%,6%,4%,4%,6%
Profit & Loss,Other Income,,8,,,,19,,,,16,2,8,10,7
Profit & Loss,Interest,,16,,,,25,,,,37,4,7,8,10
Profit & Loss,Depreciation,,12,,,,12,,,,14,2,5,8,9
Profit & Loss,Profit before tax,,66,,,,87,,,,60,19,20,15,36
Profit & Loss,Tax %,,28%,,,,15%,,,,20%,27%,31%,29%,28%
Profit & Loss,Net Profit,,48,,,,74,,,,48,14,14,11,26
Profit & Loss,EPS in Rs,,2.00,,,,2.34,,,,1.55,,,,1.10
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,22,,,,30,,,,30,6,6,6,22
Balance Sheet,Reserves,,126,,,,366,,,,411,38,51,61,76
Balance Sheet,Borrowings,,262,,,,365,,,,453,83,142,159,175
Balance Sheet,Other Liabilities,,166,,,,179,,,,183,74,95,129,119
Balance Sheet,Total Liabilities,,575,,,,941,,,,1076,201,293,355,392
Balance Sheet,Fixed Assets,,85,,,,85,,,,94,49,78,79,83
Balance Sheet,CWIP,,0,,,,0,,,,9,0,2,4,0
Balance Sheet,Investments,,21,,,,31,,,,37,8,4,12,21
Balance Sheet,Other Assets,,469,,,,825,,,,937,144,209,260,289
Balance Sheet,Total Assets,,575,,,,941,,,,1076,201,293,355,392
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-56,,,,-150,,,,-112,-20,-25,2,5
Cash Flows,Cash from Investing Activity,,-3,,,,-51,,,,-35,-23,-28,-14,-11
Cash Flows,Cash from Financing Activity,,75,,,,266,,,,56,34,54,13,15
Cash Flows,Net Cash Flow,,15,,,,65,,,,-91,-9,1,2,8
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,35,,,,49,,,,72,25,23,29,29
Ratios,Inventory Days,,89,,,,136,,,,266,95,89,106,95
Ratios,Days Payable,,51,,,,44,,,,67,63,63,71,56
Ratios,Cash Conversion Cycle,,73,,,,141,,,,272,57,49,64,68
Ratios,Working Capital Days,,88,,,,139,,,,262,63,76,79,77
Ratios,ROCE %,,24%,,,,19%,,,,12%,,15%,9%,18%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,73.33%,73.33%,73.33%,73.33%,73.33%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,6.46%,5.08%,2.81%,2.63%,2.63%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,2.00%,2.50%,2.00%,1.98%,1.98%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,18.21%,19.09%,21.84%,22.06%,22.05%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,115928,112093,144549,146062,147308,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,73.33%,,,,73.33%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,6.46%,,,,2.63%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,2.00%,,,,1.98%,,,,
Shareholding Pattern (Yearly),Public,,,,,,18.21%,,,,22.05%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,115928,,,,147308,,,,
,,,,,,,,,,,,,,,
