Section,,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2.51,5.37,11.81,11.50,11.24,10.52,16.63,14.62,12.66,13.80,13.01,12.36,,,,,,,,,,,,,,,
Profit & Loss,Expenses,2.58,1.41,4.77,5.43,3.47,2.01,2.15,1.79,2.54,2.61,2.36,2.31,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-0.07,3.96,7.04,6.07,7.77,8.51,14.48,12.83,10.12,11.19,10.65,10.05,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-2.79%,73.74%,59.61%,52.78%,69.13%,80.89%,87.07%,87.76%,79.94%,81.09%,81.86%,81.31%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,0.86,1.72,1.55,8.20,3.20,0.65,0.48,0.37,0.23,1.74,0.04,2.03,,,,,,,,,,,,,,,
Profit & Loss,Interest,0.72,5.48,8.16,10.33,10.78,8.50,7.80,4.94,8.04,8.56,8.60,6.07,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,0.71,0.44,0.15,0.06,0.05,0.05,0.04,0.04,0.07,0.06,0.04,0.03,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-0.64,-0.24,0.28,3.88,0.14,0.61,7.12,8.22,2.24,4.31,2.05,5.98,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-9.38%,-50.00%,185.71%,0.77%,78.57%,-4.92%,20.37%,17.03%,13.39%,15.31%,18.54%,17.39%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-0.58,-1.04,-0.79,3.76,0.03,0.65,5.67,6.82,1.94,3.64,1.67,4.94,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-0.44,-0.76,-0.61,2.92,0.02,0.50,4.40,5.30,1.51,2.83,1.30,3.84,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14.20,14.20,14.20,14.20,14.20,14.20,14.20,14.20,14.20,14.20,14.20,14.20,,,,,,,,,,,,,,,
Balance Sheet,Reserves,10.08,9.10,8.30,12.07,12.10,12.75,18.42,25.22,27.16,30.80,32.47,37.45,,,,,,,,,,,,,,,
