Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,238,199,273,289,365,297,361,509,637,504,572,661,984,,,
Quarterly Results,Expenses,198,175,230,248,305,257,312,439,542,437,490,567,817,,,
Quarterly Results,Operating Profit,40,25,43,41,59,40,49,70,95,67,82,94,168,,,
Quarterly Results,OPM %,17%,12%,16%,14%,16%,14%,14%,14%,15%,13%,14%,14%,17%,,,
Quarterly Results,Other Income,-0,1,1,3,7,8,9,9,29,28,34,25,20,,,
Quarterly Results,Interest,7,7,10,9,8,11,12,15,15,23,22,27,29,,,
Quarterly Results,Depreciation,4,5,5,5,5,5,7,6,7,8,9,11,17,,,
Quarterly Results,Profit before tax,29,13,29,30,54,32,39,58,102,64,85,81,142,,,
Quarterly Results,Tax %,32%,25%,27%,24%,23%,23%,18%,23%,20%,21%,29%,18%,18%,,,
Quarterly Results,Net Profit,20,10,21,23,41,25,32,45,81,51,60,66,116,,,
Quarterly Results,EPS in Rs,4.30,2.18,4.55,3.93,7.10,4.24,5.56,7.07,12.71,7.94,9.41,10.38,18.15,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,706,,,,1126,,,,1805,,,,2722,368,421,
Profit & Loss,Expenses,611,,,,956,,,,1548,,,,2311,325,379,
Profit & Loss,Operating Profit,95,,,,170,,,,257,,,,411,43,42,
Profit & Loss,OPM %,13%,,,,15%,,,,14%,,,,15%,12%,10%,
Profit & Loss,Other Income,4,,,,11,,,,56,,,,107,1,4,
Profit & Loss,Interest,27,,,,36,,,,56,,,,101,25,25,
Profit & Loss,Depreciation,13,,,,19,,,,25,,,,45,8,10,
Profit & Loss,Profit before tax,59,,,,126,,,,232,,,,372,11,11,
Profit & Loss,Tax %,29%,,,,24%,,,,21%,,,,21%,17%,10%,
Profit & Loss,Net Profit,42,,,,95,,,,183,,,,293,9,10,
Profit & Loss,EPS in Rs,9.03,,,,16.37,,,,28.68,,,,45.84,13.94,14.31,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,46,,,,58,,,,64,,,,64,7,7,
Balance Sheet,Reserves,156,,,,901,,,,2423,,,,2776,96,131,
Balance Sheet,Borrowings,189,,,,155,,,,323,,,,903,153,141,
Balance Sheet,Other Liabilities,231,,,,304,,,,456,,,,898,122,141,
Balance Sheet,Total Liabilities,622,,,,1418,,,,3265,,,,4641,378,419,
Balance Sheet,Fixed Assets,113,,,,132,,,,319,,,,936,66,72,
Balance Sheet,CWIP,8,,,,29,,,,105,,,,300,12,13,
Balance Sheet,Investments,2,,,,3,,,,132,,,,132,2,2,
Balance Sheet,Other Assets,499,,,,1254,,,,2709,,,,3273,299,333,
Balance Sheet,Total Assets,622,,,,1418,,,,3265,,,,4641,378,419,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,21,,,,-42,,,,70,,,,-82,45,26,
Cash Flows,Cash from Investing Activity,-45,,,,-494,,,,-1505,,,,-355,-10,-24,
Cash Flows,Cash from Financing Activity,27,,,,554,,,,1429,,,,465,-35,1,
Cash Flows,Net Cash Flow,4,,,,19,,,,-7,,,,28,-0,2,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,102,,,,74,,,,72,,,,77,93,106,
Ratios,Inventory Days,167,,,,191,,,,150,,,,156,228,209,
Ratios,Days Payable,121,,,,103,,,,99,,,,131,139,122,
Ratios,Cash Conversion Cycle,148,,,,162,,,,123,,,,102,182,193,
Ratios,Working Capital Days,127,,,,147,,,,126,,,,101,166,156,
Ratios,ROCE %,26%,,,,22%,,,,15%,,,,14%,,13%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,63.57%,63.57%,63.57%,63.57%,57.83%,57.83%,57.83%,57.75%,57.75%,57.75%,,,53.52%
Shareholding Pattern (Quarterly),FIIs,,,,8.53%,8.16%,7.96%,9.90%,12.71%,14.19%,14.27%,14.92%,14.84%,11.17%,,,10.67%
Shareholding Pattern (Quarterly),DIIs,,,,11.43%,12.96%,13.12%,15.58%,19.04%,18.36%,17.88%,16.07%,15.04%,16.98%,,,21.94%
Shareholding Pattern (Quarterly),Public,,,,16.48%,15.31%,15.35%,10.94%,10.41%,9.61%,10.03%,11.25%,12.37%,14.10%,,,13.87%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,62502,45643,60583,67588,86158,97423,112176,156829,192214,230533,,,228254
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,63.57%,,,,57.83%,,,,57.75%,,,53.52%
Shareholding Pattern (Yearly),FIIs,,,,,8.16%,,,,14.19%,,,,11.17%,,,10.67%
Shareholding Pattern (Yearly),DIIs,,,,,12.96%,,,,18.36%,,,,16.98%,,,21.94%
Shareholding Pattern (Yearly),Public,,,,,15.31%,,,,9.61%,,,,14.10%,,,13.87%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,45643,,,,97423,,,,230533,,,228254
,,,,,,,,,,,,,,,,,
