Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,126,124,258,534,698
Quarterly Results,Expenses,52,48,171,296,346
Quarterly Results,Operating Profit,74,76,87,238,352
Quarterly Results,OPM %,59%,61%,34%,45%,50%
Quarterly Results,Other Income,7,4,10,26,19
Quarterly Results,Interest,11,12,71,99,75
Quarterly Results,Depreciation,12,12,50,92,103
Quarterly Results,Profit before tax,57,56,-24,73,193
Quarterly Results,Tax %,25%,15%,96%,53%,22%
Quarterly Results,Net Profit,43,47,-47,35,151
Quarterly Results,EPS in Rs,41.41,45.22,-2.70,0.95,5.48
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,,478,,,1605
Profit & Loss,Expenses,,194,,,860
Profit & Loss,Operating Profit,,284,,,745
Profit & Loss,OPM %,,59%,,,46%
Profit & Loss,Other Income,,17,,,62
Profit & Loss,Interest,,47,,,257
Profit & Loss,Depreciation,,48,,,256
Profit & Loss,Profit before tax,,205,,,294
Profit & Loss,Tax %,,19%,,,44%
Profit & Loss,Net Profit,,166,,,165
Profit & Loss,EPS in Rs,,159.25,,,5.15
Profit & Loss,Dividend Payout %,,0%,,,0%
,,,,,,
Balance Sheet,Equity Capital,,10,,,23
Balance Sheet,Reserves,,324,,,4783
Balance Sheet,Borrowings,,470,,,2744
Balance Sheet,Other Liabilities,,148,,,2292
Balance Sheet,Total Liabilities,,952,,,9843
Balance Sheet,Fixed Assets,,556,,,8606
Balance Sheet,CWIP,,9,,,84
Balance Sheet,Investments,,158,,,0
Balance Sheet,Other Assets,,229,,,1152
Balance Sheet,Total Assets,,952,,,9843
,,,,,,
Cash Flows,Cash from Operating Activity,,265,,,677
Cash Flows,Cash from Investing Activity,,-198,,,-2035
Cash Flows,Cash from Financing Activity,,-57,,,1364
Cash Flows,Net Cash Flow,,10,,,6
,,,,,,
Ratios,Debtor Days,,13,,,26
Ratios,Inventory Days,,51,,,165
Ratios,Days Payable,,311,,,583
Ratios,Cash Conversion Cycle,,-246,,,-391
Ratios,Working Capital Days,,133,,,4
Ratios,ROCE %,,,,,12%
,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,88.99%,88.99%
Shareholding Pattern (Quarterly),FIIs,,,,3.31%,2.92%
Shareholding Pattern (Quarterly),DIIs,,,,3.78%,5.41%
Shareholding Pattern (Quarterly),Public,,,,3.93%,2.69%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,71296,37687
,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,88.99%
Shareholding Pattern (Yearly),FIIs,,,,,2.92%
Shareholding Pattern (Yearly),DIIs,,,,,5.41%
Shareholding Pattern (Yearly),Public,,,,,2.69%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,37687
,,,,,,
