Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Quarterly Results,Sales,195.66,6.94,10.16,622.80,58.35,2.43,68.02,142.80,144.22,79.45,79.05,329.50,645.08,,,,,,,,,
Quarterly Results,Expenses,155.44,19.93,25.42,1271.74,102.73,11.57,19.02,62.52,114.51,66.76,289.29,311.56,617.22,,,,,,,,,
Quarterly Results,Operating Profit,40.22,-12.99,-15.26,-648.94,-44.38,-9.14,49.00,80.28,29.71,12.69,-210.24,17.94,27.86,,,,,,,,,
Quarterly Results,OPM %,20.56%,-187.18%,-150.20%,-104.20%,-76.06%,-376.13%,72.04%,56.22%,20.60%,15.97%,-265.96%,5.44%,4.32%,,,,,,,,,
Quarterly Results,Other Income,527.04,39.42,598.99,45.49,31.96,6.26,915.30,401.07,8.63,13.67,63.88,10.55,18.81,,,,,,,,,
Quarterly Results,Interest,6.20,12.47,8.76,13.48,19.70,21.78,23.38,5.09,33.07,30.09,8.19,27.26,27.37,,,,,,,,,
Quarterly Results,Depreciation,0.14,0.09,0.11,0.12,0.11,0.13,0.09,13.60,12.24,13.16,12.97,13.72,13.19,,,,,,,,,
Quarterly Results,Profit before tax,560.92,13.87,574.86,-617.05,-32.23,-24.79,940.83,462.66,-6.97,-16.89,-167.52,-12.49,6.11,,,,,,,,,
Quarterly Results,Tax %,9.72%,39.08%,1.58%,0.92%,28.92%,4.52%,5.01%,0.00%,91.25%,-21.91%,-33.60%,-163.41%,125.20%,,,,,,,,,
Quarterly Results,Net Profit,506.41,8.45,565.80,-622.70,-41.55,-25.91,893.74,462.64,-13.33,-13.19,-111.23,7.93,-1.54,,,,,,,,,
Quarterly Results,EPS in Rs,19.54,0.46,16.62,-18.11,-1.47,-0.64,17.63,9.26,-0.12,-0.25,-2.12,0.08,-0.04,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,219,,,,698,,,,357,,,,1133,318,263,206,141,120,365,169,25,
Profit & Loss,Expenses,317,,,,1413,,,,208,,,,1230,277,247,265,224,358,466,405,134,
Profit & Loss,Operating Profit,-98,,,,-715,,,,150,,,,-97,41,17,-59,-83,-238,-101,-235,-109,
Profit & Loss,OPM %,-45%,,,,-102%,,,,42%,,,,-9%,13%,6%,-29%,-59%,-199%,-28%,-139%,-444%,
Profit & Loss,Other Income,527,,,,709,,,,1331,,,,52,27,29,140,142,74,-34,97,282,
Profit & Loss,Interest,286,,,,54,,,,83,,,,93,38,53,86,96,119,160,261,334,
Profit & Loss,Depreciation,1,,,,0,,,,26,,,,53,8,14,14,11,6,2,1,1,
Profit & Loss,Profit before tax,142,,,,-61,,,,1372,,,,-191,22,-21,-19,-47,-289,-296,-401,-162,
Profit & Loss,Tax %,85%,,,,49%,,,,4%,,,,-38%,27%,-112%,19%,57%,4%,-17%,10%,3%,
Profit & Loss,Net Profit,22,,,,-90,,,,1317,,,,-118,13,8,-23,-74,-301,-247,-440,-167,
Profit & Loss,EPS in Rs,1.04,,,,-2.57,,,,24.53,,,,-2.33,0.47,0.02,-0.76,-2.45,-10.30,-10.90,-17.20,-6.98,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,259,,,,352,,,,538,,,,538,243,243,243,243,243,243,243,243,
Balance Sheet,Reserves,1630,,,,1785,,,,4477,,,,4355,3168,3168,2595,2531,2260,1996,1314,1093,
Balance Sheet,Borrowings,3721,,,,2978,,,,2223,,,,1897,658,1195,1307,1549,1734,2095,2191,2501,
Balance Sheet,Other Liabilities,3152,,,,3332,,,,1925,,,,1757,1441,1863,1850,2188,2409,2648,2949,3508,
Balance Sheet,Total Liabilities,8761,,,,8448,,,,9163,,,,8547,5510,6470,5996,6512,6646,6983,6697,7345,
Balance Sheet,Fixed Assets,75,,,,72,,,,2429,,,,2427,455,481,243,431,353,348,212,153,
Balance Sheet,CWIP,0,,,,0,,,,10,,,,6,28,30,30,0,0,0,0,0,
Balance Sheet,Investments,1564,,,,1728,,,,800,,,,1290,1699,1707,1562,1556,1730,1741,1510,1399,
Balance Sheet,Other Assets,7123,,,,6648,,,,5925,,,,4825,3327,4252,4161,4525,4562,4894,4976,5793,
Balance Sheet,Total Assets,8761,,,,8448,,,,9163,,,,8547,5510,6470,5996,6512,6646,6983,6697,7345,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-267,,,,96,,,,237,,,,540,236,-208,-71,555,-40,-195,227,95,
Cash Flows,Cash from Investing Activity,275,,,,-200,,,,486,,,,-689,-226,-231,-394,-588,165,-36,-160,-165,
Cash Flows,Cash from Financing Activity,86,,,,52,,,,18,,,,-595,1,417,472,-94,-102,326,-63,75,
Cash Flows,Net Cash Flow,94,,,,-52,,,,741,,,,-743,11,-22,7,-127,22,95,5,5,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,372,,,,36,,,,84,,,,81,181,189,102,203,171,90,181,1109,
Ratios,Inventory Days,,,,,1231,,,,,,,,872,,,,,,,24576,,
Ratios,Days Payable,,,,,44,,,,,,,,77,,,,,,,1746,,
Ratios,Cash Conversion Cycle,372,,,,1222,,,,84,,,,877,181,189,102,203,171,90,23012,1109,
Ratios,Working Capital Days,4200,,,,916,,,,2189,,,,663,761,1953,3417,4404,4579,1274,1898,26192,
Ratios,ROCE %,-1%,,,,-11%,,,,22%,,,,-1%,2%,1%,2%,1%,-2%,-0%,-3%,-0%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.28%,58.14%,58.14%,58.97%,58.97%,53.82%,50.89%,47.44%,47.38%,47.38%,47.37%,47.37%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.35%,2.42%,2.59%,2.57%,2.34%,2.17%,2.14%,5.23%,3.60%,3.46%,3.56%,4.68%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.07%,0.05%,0.05%,0.05%,0.05%,0.04%,0.09%,0.49%,0.43%,0.37%,0.43%,0.38%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,31.30%,39.40%,39.22%,38.42%,38.65%,43.96%,46.89%,46.85%,48.59%,48.78%,48.64%,47.57%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,52774,65852,59907,60398,58179,53973,60389,69249,94660,101107,104928,101588,,,,,,,,,
