Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,TTM,Jun 2022,Sep 2022,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,35.71,47.47,41.05,41.24,39.94,57.30,38.14,,,,,,,,,,,,
Quarterly Results,Expenses,30.60,43.21,36.51,36.01,33.91,43.99,32.51,,,,,,,,,,,,
Quarterly Results,Operating Profit,5.11,4.26,4.54,5.23,6.03,13.31,5.63,,,,,,,,,,,,
Quarterly Results,OPM %,14.31%,8.97%,11.06%,12.68%,15.10%,23.23%,14.76%,,,,,,,,,,,,
Quarterly Results,Other Income,6.74,90.37,3.19,6.76,8.46,3.98,3.81,,,,,,,,,,,,
Quarterly Results,Interest,0.16,0.16,0.15,0.14,0.13,0.13,0.12,,,,,,,,,,,,
Quarterly Results,Depreciation,1.01,0.97,1.06,1.09,1.08,1.10,1.19,,,,,,,,,,,,
Quarterly Results,Profit before tax,10.68,93.50,6.52,10.76,13.28,16.06,8.13,,,,,,,,,,,,
Quarterly Results,Tax %,17.04%,9.16%,26.38%,17.19%,21.84%,26.21%,27.06%,,,,,,,,,,,,
Quarterly Results,Net Profit,8.85,84.95,4.81,8.92,10.38,11.85,5.94,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.77,26.55,1.50,2.79,3.24,3.70,1.86,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,151,,,,180,,177,,,,,,,,,,,
Profit & Loss,Expenses,,134,,,,150,,146,,,,,,,,,,,
Profit & Loss,Operating Profit,,17,,,,29,,30,,,,,,,,,,,
Profit & Loss,OPM %,,11%,,,,16%,,17%,,,,,,,,,,,
Profit & Loss,Other Income,,104,,,,22,,23,,,,,,,,,,,
Profit & Loss,Interest,,1,,,,1,,1,,,,,,,,,,,
Profit & Loss,Depreciation,,4,,,,4,,4,,,,,,,,,,,
Profit & Loss,Profit before tax,,116,,,,47,,48,,,,,,,,,,,
Profit & Loss,Tax %,,11%,,,,23%,,,,,,,,,,,,,
Profit & Loss,Net Profit,,103,,,,36,,37,,,,,,,,,,,
Profit & Loss,EPS in Rs,,32.28,,,,11.24,,11.59,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,9%,,,,36%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,3,,,,3,,,,,,,,,,,,,
Balance Sheet,Reserves,,703,,,,945,,,,,,,,,,,,,
Balance Sheet,Borrowings,,7,,,,5,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,60,,,,97,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,774,,,,1051,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,36,,,,34,,,,,,,,,,,,,
Balance Sheet,CWIP,,0,,,,0,,,,,,,,,,,,,
Balance Sheet,Investments,,662,,,,944,,,,,,,,,,,,,
Balance Sheet,Other Assets,,76,,,,73,,,,,,,,,,,,,
Balance Sheet,Total Assets,,774,,,,1051,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,12,,,,28,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-1,,,,-22,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-9,,,,-10,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,2,,,,-3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,27,,,,40,,,,,,,,,,,,,
Ratios,Inventory Days,,124,,,,83,,,,,,,,,,,,,
Ratios,Days Payable,,77,,,,84,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,74,,,,39,,,,,,,,,,,,,
Ratios,Working Capital Days,,72,,,,47,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,6%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,69.62%,69.62%,69.62%,69.62%,69.61%,69.61%,69.61%,,69.61%,69.61%,69.61%,69.61%,69.61%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.03%,0.07%,0.11%,0.06%,1.92%,1.72%,,0.05%,0.02%,1.66%,0.00%,0.06%,,,,,,
Shareholding Pattern (Quarterly),Public,30.40%,30.35%,30.31%,30.28%,30.33%,28.46%,28.68%,,30.34%,30.37%,28.72%,30.39%,30.33%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,15952,15623,15695,16267,16627,17375,17504,,15762,16353,18134,24253,23795,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,69.62%,,,,69.61%,,,,,,,69.61%,69.47%,69.61%,69.61%,69.61%,69.61%,69.61%
Shareholding Pattern (Yearly),FIIs,,0.03%,,,,1.92%,,,,,,,0.06%,0.00%,0.02%,0.00%,0.00%,0.00%,0.07%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,,,,0.00%,0.06%,0.09%,0.11%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,30.35%,,,,28.46%,,,,,,,30.33%,30.47%,30.28%,30.28%,30.39%,30.39%,30.32%
Shareholding Pattern (Yearly),No. of Shareholders,,15623,,,,17375,,,,,,,23795,9754,10845,11387,11327,17052,16130
,,,,,,,,,,,,,,,,,,,,
