Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,45.62%,45.76%,45.76%,42.41%,42.41%,42.41%,42.41%,42.41%,42.41%,42.41%,42.41%,42.41%,
Shareholding Pattern (Quarterly),FIIs,1.43%,1.60%,2.30%,5.08%,5.32%,7.17%,6.74%,14.56%,14.95%,14.39%,14.05%,12.75%,
Shareholding Pattern (Quarterly),DIIs,8.25%,9.24%,7.90%,11.64%,11.11%,9.55%,9.15%,11.58%,8.52%,8.72%,8.84%,7.36%,
Shareholding Pattern (Quarterly),Public,44.70%,43.40%,44.03%,40.88%,41.15%,40.88%,41.71%,31.44%,34.12%,34.47%,34.70%,37.47%,
Shareholding Pattern (Quarterly),No. of Shareholders,96927,90397,92521,93551,105277,119555,129610,137499,179719,190556,201026,223255,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,42.41%,,,,42.41%,,,,42.41%,45.62%
Shareholding Pattern (Yearly),FIIs,,,,5.08%,,,,14.56%,,,,12.75%,1.48%
Shareholding Pattern (Yearly),DIIs,,,,11.64%,,,,11.58%,,,,7.36%,8.01%
Shareholding Pattern (Yearly),Public,,,,40.88%,,,,31.44%,,,,37.47%,44.89%
Shareholding Pattern (Yearly),No. of Shareholders,,,,93551,,,,137499,,,,223255,109171
,,,,,,,,,,,,,,
