Section,,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,208,191,190,182,217,235,247,270,594,2523,4112,2761,,,,,,,,,,,,,,,
Profit & Loss,Expenses,214,191,188,172,207,227,235,254,577,2510,4088,2745,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-6,-0,2,9,10,8,12,16,16,14,24,16,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-3%,-0%,1%,5%,5%,4%,5%,6%,3%,1%,1%,1%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,26,5,10,1,3,7,1,1,5,2,5,4,,,,,,,,,,,,,,,
Profit & Loss,Interest,6,5,7,6,7,10,7,7,6,3,1,0,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,5,5,4,4,5,6,6,7,9,6,5,4,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,9,-6,1,1,1,-1,1,3,7,7,23,16,,,,,,,,,,,,,,,
Profit & Loss,Tax %,26%,14%,344%,-153%,1%,722%,3%,28%,26%,35%,35%,43%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,6,-6,-2,1,1,-4,1,2,5,4,15,9,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,3.55,-3.63,-0.87,0.84,0.74,-2.38,0.33,1.27,2.65,3.04,8.68,5.29,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,28%,0%,0%,0%,0%,0%,0%,0%,0%,16%,17%,28%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18,18,18,18,18,18,18,18,19,19,19,19,,,,,,,,,,,,,,,
Balance Sheet,Reserves,26,19,18,20,21,24,25,27,32,48,64,68,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,45,57,61,45,66,65,58,53,35,25,3,0,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,40,48,37,34,46,43,40,51,79,292,950,78,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,130,142,134,117,151,149,141,149,165,384,1036,165,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,28,32,22,18,50,47,45,41,38,35,31,30,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Balance Sheet,Investments,6,15,15,25,8,8,8,8,9,5,1,16,,,,,,,,,,,,,,,
